site_id,sensor,period,valid_frac,B2,B3,B4,B8,B11,B12,NDVI,NDWI,VV,VH,VV_minus_VH
treatment_0007,sentinel2,before,1.0,0.034351225942373276,0.05161767825484276,0.02803279086947441,0.3780040442943573,0.19639651477336884,0.08049406111240387,0.8623923063278198,-0.7601425051689148,,,
treatment_0007,sentinel2,after,1.0,0.014753044582903385,0.03660579398274422,0.02483479492366314,0.28314897418022156,0.18045233190059662,0.08025006204843521,0.8358561396598816,-0.770193338394165,,,
treatment_0007,sentinel2,change,1.0,-0.019598182290792465,-0.015011887066066265,-0.0031979952473193407,-0.09485508501529694,-0.015944182872772217,-0.00024399574613198638,-0.02653631567955017,-0.010050835087895393,,,
treatment_0007,sentinel1,before,1.0,,,,,,,,,-8.745936393737793,-15.32722282409668,6.581287384033203
treatment_0007,sentinel1,after,1.0,,,,,,,,,-9.083222389221191,-15.32768726348877,6.24446439743042
treatment_0007,sentinel1,change,1.0,,,,,,,,,-0.33728674054145813,-0.0004638456448446959,-0.33682286739349365
treatment_0008,sentinel2,before,1.0,0.03610892966389656,0.055694907903671265,0.03406775742769241,0.36999085545539856,0.2083974927663803,0.09352149814367294,0.8313427567481995,-0.7381735444068909,,,
treatment_0008,sentinel2,after,1.0,0.020938262343406677,0.04439225420355797,0.03484764322638512,0.2924644649028778,0.2048022747039795,0.10041919350624084,0.7863419651985168,-0.7376461029052734,,,
treatment_0008,sentinel2,change,1.0,-0.015170669183135033,-0.011302651837468147,0.0007798843435011804,-0.07752642035484314,-0.003595216665416956,0.006897695828229189,-0.04500080645084381,0.0005274444120004773,,,
treatment_0008,sentinel1,before,1.0,,,,,,,,,-9.500737190246582,-15.883750915527344,6.383015155792236
treatment_0008,sentinel1,after,1.0,,,,,,,,,-9.626300811767578,-15.709480285644531,6.08317756652832
treatment_0008,sentinel1,change,1.0,,,,,,,,,-0.1255653351545334,0.174272820353508,-0.2998381555080414
treatment_0009,sentinel2,before,1.0,0.037010688334703445,0.05633551999926567,0.03547288849949837,0.37012404203414917,0.21215832233428955,0.09600578248500824,0.8248323202133179,-0.7351381778717041,,,
treatment_0009,sentinel2,after,1.0,0.02108556032180786,0.04402470588684082,0.034950319677591324,0.29172036051750183,0.20520195364952087,0.10011784732341766,0.7856051325798035,-0.7388536930084229,,,
treatment_0009,sentinel2,change,1.0,-0.015925124287605286,-0.012310813181102276,-0.000522566435392946,-0.07840372622013092,-0.006956387311220169,0.004112057387828827,-0.039227183908224106,-0.0037154362071305513,,,
treatment_0009,sentinel1,before,1.0,,,,,,,,,-9.326105117797852,-15.746167182922363,6.4200615882873535
treatment_0009,sentinel1,after,1.0,,,,,,,,,-9.453359603881836,-15.60783863067627,6.154479026794434
treatment_0009,sentinel1,change,1.0,,,,,,,,,-0.12725390493869781,0.13832873106002808,-0.2655826210975647
