site_id,sensor,band,valid_before,valid_after,valid_both,chg_p01,chg_p05,chg_p50,chg_p95,chg_p99,frac_below_t1,frac_below_t2
treatment_0009,sentinel2,NDVI,1.0,1.0,1.0,-0.27907395362854004,-0.14792978763580322,-0.03267312049865723,0.04906725883483887,0.10384207963943481,0.12547789432408588,0.024115282815410255
treatment_0009,sentinel1,VV,1.0,1.0,1.0,-3.7854275703430176,-2.6694564819335938,-0.11717033386230469,2.3580093383789062,3.5250587463378906,0.10440152926183707,0.006666013135967062
treatment_0010,sentinel2,NDVI,1.0,1.0,1.0,-0.18339169025421143,-0.11584019660949707,-0.01242053508758545,0.10232341289520264,0.15796953439712524,0.0806783648661896,0.008822664444662289
treatment_0010,sentinel1,VV,1.0,1.0,1.0,-3.485856056213379,-2.475839614868164,-0.11778545379638672,2.2456226348876953,3.485337257385254,0.09606901284187824,0.003234976963042839
treatment_0011,sentinel2,NDVI,1.0,1.0,1.0,-0.1647363305091858,-0.11138671636581421,-0.025869786739349365,0.03760957717895508,0.1203908920288086,0.07116949318694246,0.0046073914322125285
treatment_0011,sentinel1,VV,1.0,1.0,1.0,-3.73653507232666,-2.7296972274780273,-0.43197059631347656,1.8553624153137207,2.8347268104553223,0.13341829232428193,0.006371924321144986
treatment_0012,sentinel2,NDVI,1.0,1.0,1.0,-0.12181073427200317,-0.08951151371002197,-0.021505653858184814,0.03188014030456543,0.08402848243713379,0.028918733457504165,0.00039211841976276833
treatment_0012,sentinel1,VV,1.0,1.0,1.0,-3.481412410736084,-2.538990020751953,-0.21681690216064453,2.1683976650238037,3.1027774810791016,0.10332320360748946,0.004117243407509068
treatment_0013,sentinel2,NDVI,0.9900990099009901,0.9900990099009901,0.9900990099009901,-0.1768301898241043,-0.13238691985607148,-0.03653651475906372,0.02002813816070552,0.09199349582195289,0.12217821782178218,0.0033663366336633663
treatment_0013,sentinel1,VV,0.9900990099009901,0.9900990099009901,0.9900990099009901,-3.8028771018981935,-2.7044249057769774,-0.22007274627685547,2.1459550857543945,3.1713259053230285,0.11504950495049505,0.007326732673267326
