arm,sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,improvement,ascm_better,latent_frac_outside_01
quality40,sentinel2,treatment_0007,frozen_joint,pooled,1.0506932450803343,1.0506932460408374,-9.605030104609114e-10,False,0.0
quality40,sentinel2,treatment_0007,expanding,P09,1.0656674923826568,1.0656674935897386,-1.2070817678733192e-09,False,0.0
quality40,sentinel2,treatment_0007,expanding,P10,1.0291375971500432,1.0291375968741006,2.759426021015088e-10,True,0.0
quality40,sentinel2,treatment_0008,frozen_joint,pooled,1.1645034707199442,1.1645035458197055,-7.509976129860263e-08,False,0.0
quality40,sentinel2,treatment_0008,expanding,P09,1.098604659916436,1.0986048030323423,-1.4311590623705683e-07,False,0.0
quality40,sentinel2,treatment_0008,expanding,P10,1.2366986256122532,1.2366986309012626,-5.289009452624782e-09,False,0.0
quality40,sentinel2,treatment_0009,frozen_joint,pooled,1.235264656335457,1.235264654587632,1.7478249958458036e-09,True,0.0
quality40,sentinel2,treatment_0009,expanding,P09,1.1403246082544003,1.1403246220233614,-1.376896108240544e-08,False,0.0
quality40,sentinel2,treatment_0009,expanding,P10,1.3280631412615782,1.3280631425034848,-1.2419065775759464e-09,False,0.0
quality40,sentinel2,treatment_0010,frozen_joint,pooled,1.440104109031052,1.4401041085614692,4.695828170753202e-10,True,0.0
quality40,sentinel2,treatment_0010,expanding,P09,,,,False,
quality40,sentinel2,treatment_0010,expanding,P10,1.440104109031052,1.4401041085614692,4.695828170753202e-10,True,0.0
