arm,sensor,treatment_site_id,fit_window,donor,weight,lambda,lambda_at_boundary,weight_distance_from_scm,n_negative_weights,sum_negative_weight,n_train_periods
main,sentinel1,treatment_0009,P01-09,counterfactual_0001_05,0.20459914357194786,10000.0,True,3.1130894631567344e-07,0,-0.0,9
main,sentinel1,treatment_0009,P01-09,counterfactual_0005_03,0.20361214374630826,10000.0,True,3.1130894631567344e-07,0,-0.0,9
main,sentinel1,treatment_0009,P01-09,counterfactual_0009_05,0.19357910134061576,10000.0,True,3.1130894631567344e-07,0,-0.0,9
main,sentinel1,treatment_0010,P01-08,counterfactual_0007_04,0.19535245355364456,10000.0,True,1.6978446204662777e-09,0,-0.0,8
main,sentinel1,treatment_0010,P01-08,counterfactual_0009_02,0.21356524666880522,10000.0,True,1.6978446204662777e-09,0,-0.0,8
main,sentinel1,treatment_0010,P01-08,counterfactual_0008_03,0.20442183385757223,10000.0,True,1.6978446204662777e-09,0,-0.0,8
main,sentinel1,treatment_0010,P01-08,counterfactual_0001_01,0.2085534308990986,10000.0,True,1.6978446204662777e-09,0,-0.0,8
main,sentinel1,treatment_0010,P01-08,counterfactual_0003_02,0.17810703502087935,10000.0,True,1.6978446204662777e-09,0,-0.0,8
main,sentinel1,treatment_0010,P01-09,counterfactual_0007_04,0.19278709250161738,10000.0,True,1.7305073184899341e-07,0,-0.0,9
main,sentinel1,treatment_0010,P01-09,counterfactual_0009_02,0.21337799729854787,10000.0,True,1.7305073184899341e-07,0,-0.0,9
main,sentinel1,treatment_0010,P01-09,counterfactual_0008_03,0.2070451839953275,10000.0,True,1.7305073184899341e-07,0,-0.0,9
main,sentinel1,treatment_0010,P01-09,counterfactual_0001_01,0.2112691927628531,10000.0,True,1.7305073184899341e-07,0,-0.0,9
main,sentinel1,treatment_0010,P01-09,counterfactual_0003_02,0.1755205334416541,10000.0,True,1.7305073184899341e-07,0,-0.0,9
main,sentinel2,treatment_0001,P01-08,counterfactual_0002_02,0.37897665627749333,0.0001,True,1.089921575679115e-08,0,-0.0,8
main,sentinel2,treatment_0001,P01-08,counterfactual_0005_02,0.1348819421451467,0.0001,True,1.089921575679115e-08,0,-0.0,8
main,sentinel2,treatment_0001,P01-08,counterfactual_0009_03,0.3340506441934653,0.0001,True,1.089921575679115e-08,0,-0.0,8
main,sentinel2,treatment_0001,P01-08,counterfactual_0005_03,0.11119324999583433,0.0001,True,1.089921575679115e-08,0,-0.0,8
main,sentinel2,treatment_0001,P01-08,counterfactual_0008_03,0.04089750738806034,0.0001,True,1.089921575679115e-08,0,-0.0,8
main,sentinel2,treatment_0001,P01-09,counterfactual_0002_02,0.3336542978381134,10000.0,True,2.408569391754858e-07,0,-0.0,9
main,sentinel2,treatment_0001,P01-09,counterfactual_0005_02,0.2110472142799623,10000.0,True,2.408569391754858e-07,0,-0.0,9
main,sentinel2,treatment_0001,P01-09,counterfactual_0009_03,0.32918448884792006,10000.0,True,2.408569391754858e-07,0,-0.0,9
main,sentinel2,treatment_0001,P01-09,counterfactual_0005_03,0.06746965227654417,10000.0,True,2.408569391754858e-07,0,-0.0,9
main,sentinel2,treatment_0001,P01-09,counterfactual_0008_03,0.058644346757459956,10000.0,True,2.408569391754858e-07,0,-0.0,9
main,sentinel2,treatment_0002,P01-08,counterfactual_0004_01,0.32564329298899375,0.0001,True,3.776774781948762e-08,0,-0.0,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0008_01,0.20548106636936275,0.0001,True,3.776774781948762e-08,0,-0.0,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0001_01,0.24601379275083515,0.0001,True,3.776774781948762e-08,0,-0.0,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0009_05,0.06525389778028363,0.0001,True,3.776774781948762e-08,0,-0.0,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0003_04,0.15760795011052492,0.0001,True,3.776774781948762e-08,0,-0.0,8
main,sentinel2,treatment_0002,P01-09,counterfactual_0004_01,0.28955943595340494,0.0001,True,2.5212506676347365e-08,0,-0.0,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0008_01,0.16311044114832343,0.0001,True,2.5212506676347365e-08,0,-0.0,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0001_01,0.3363854946561538,0.0001,True,2.5212506676347365e-08,0,-0.0,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0009_05,0.03278820149609816,0.0001,True,2.5212506676347365e-08,0,-0.0,9
