sensor,treatment_site_id,scheme,eval_period,scm_chipmean,scm_genfill,ascm_chipmean,ascm_genfill,scm_level_chipmean,scm_level_genfill
sentinel2,treatment_0006,expanding,P09,1.225693874130533,0.9027776557613477,1.2256938764414669,0.9027776511241845,FAIL,pass
sentinel2,treatment_0007,expanding,P09,1.098851881727695,1.1123541270840056,1.0988518809037977,1.1123539447292037,FAIL,FAIL
sentinel2,treatment_0008,expanding,P09,0.9840971249969078,1.1850167001866294,0.9840971195819216,1.1850166912134201,pass,FAIL
sentinel2,treatment_0009,expanding,P09,1.074132680625744,0.6338276583465174,1.0741326791877035,0.6338276719385586,FAIL,pass
sentinel2,treatment_0010,expanding,P09,1.0111362152233547,1.1966090597866335,1.0111362182514263,1.1966091187738142,FAIL,FAIL
sentinel1,treatment_0001,expanding,P10,1.085693999123312,1.0937128111418066,1.0856939989578414,1.0937128111151735,FAIL,FAIL
sentinel1,treatment_0002,expanding,P10,1.0851422993937814,1.086323972111535,1.0851422993966764,1.0863239721015718,FAIL,FAIL
sentinel1,treatment_0003,expanding,P10,1.0306310678885604,1.0315919922783519,1.030631067863788,1.0315919922584167,FAIL,FAIL
sentinel1,treatment_0004,expanding,P10,1.0589988670568593,1.059868066344029,1.0589988641342738,1.05986806288792,FAIL,FAIL
sentinel1,treatment_0005,expanding,P10,1.0652853247758989,1.0659601559252327,1.065285324763833,1.0659601559660672,FAIL,FAIL
sentinel1,treatment_0006,expanding,P10,1.0866458146407127,1.0955164018660142,1.0866458255160525,1.0955163886884802,FAIL,FAIL
sentinel1,treatment_0007,expanding,P10,1.0459074201934788,1.0475132056312397,1.0459074173311118,1.0475132056089729,FAIL,FAIL
sentinel1,treatment_0008,expanding,P10,1.0442519479835344,1.0454411434646242,1.044251950431287,1.0454411439892861,FAIL,FAIL
sentinel1,treatment_0009,expanding,P10,1.0514216675978922,1.052413924728391,1.0514216635669666,1.052413925540941,FAIL,FAIL
sentinel1,treatment_0010,expanding,P10,1.0454053553725662,1.0465395285656416,1.045405364416054,1.0465395338806887,FAIL,FAIL
sentinel2,treatment_0001,expanding,P10,1.2852433290219123,1.2072574893206067,1.285243322709154,1.207257442151391,FAIL,FAIL
sentinel2,treatment_0002,expanding,P10,1.2022760446284766,1.1803003558594132,1.202276042348923,1.1803003620313812,FAIL,FAIL
sentinel2,treatment_0003,expanding,P10,0.9615244663339296,0.9226614973065101,0.9615244624576784,0.9226615301695215,pass,pass
sentinel2,treatment_0004,expanding,P10,1.370714717761032,0.730080867751268,1.370714747324426,0.7300808729121109,FAIL,pass
sentinel2,treatment_0005,expanding,P10,1.2653148666309604,1.0567100313676967,1.2653148665088372,1.0567100325525693,FAIL,FAIL
sentinel2,treatment_0006,expanding,P10,1.2382087628333809,1.1573540401576157,1.2382087633721708,1.1573540412561072,FAIL,FAIL
sentinel2,treatment_0007,expanding,P10,1.0677809254143826,1.0421828794971222,1.0677809412882486,1.0421828781458427,FAIL,FAIL
sentinel2,treatment_0008,expanding,P10,1.2664792097407642,1.1691283325076252,1.2664792115471268,1.1691283073022791,FAIL,FAIL
sentinel2,treatment_0009,expanding,P10,1.3621910305849758,1.2619288265536945,1.362191019402094,1.2619288092917622,FAIL,FAIL
sentinel2,treatment_0010,expanding,P10,1.418794507605385,1.3474430684077077,1.4187945014752688,1.3474430518197085,FAIL,FAIL
