sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
sentinel2,treatment_0005,P16,1.131859753945505,True,True
sentinel2,treatment_0005,P17,1.1696471676327715,True,True
sentinel2,treatment_0005,P18,1.1250652501461664,True,True
sentinel2,treatment_0005,P19,1.2397668741987935,True,True
sentinel2,treatment_0005,P20,1.2208369921826487,True,True
sentinel2,treatment_0006,P11,1.1736633391880227,True,True
sentinel2,treatment_0006,P12,1.19386634066273,True,True
sentinel2,treatment_0006,P13,0.9807030148533218,True,True
sentinel2,treatment_0006,P14,1.194817509184635,True,True
sentinel2,treatment_0006,P15,,False,False
sentinel2,treatment_0006,P16,1.244480696229148,True,True
sentinel2,treatment_0006,P17,1.1896399897732275,True,True
sentinel2,treatment_0006,P18,1.175016232232697,True,True
sentinel2,treatment_0006,P19,1.2861436642677038,True,True
sentinel2,treatment_0006,P20,1.3639026772542,True,True
sentinel2,treatment_0007,P11,1.1212245771480753,True,True
sentinel2,treatment_0007,P12,1.159646912928381,True,True
sentinel2,treatment_0007,P13,1.1449791623600059,True,True
sentinel2,treatment_0007,P14,1.0680778322377409,True,True
sentinel2,treatment_0007,P15,,True,False
sentinel2,treatment_0007,P16,1.2292524217903469,True,True
sentinel2,treatment_0007,P17,1.0909706168514228,True,True
sentinel2,treatment_0007,P18,1.1451382642772712,True,True
sentinel2,treatment_0007,P19,1.258473622058214,True,True
sentinel2,treatment_0007,P20,1.34703062018051,True,True
sentinel2,treatment_0008,P11,1.1213606666308373,True,True
sentinel2,treatment_0008,P12,1.173220734752446,True,True
sentinel2,treatment_0008,P13,1.097874385377456,True,True
sentinel2,treatment_0008,P14,1.0244994941375303,True,True
sentinel2,treatment_0008,P15,,True,False
sentinel2,treatment_0008,P16,1.197920733021142,True,True
sentinel2,treatment_0008,P17,1.19952102337159,True,True
sentinel2,treatment_0008,P18,1.2461425125211054,True,True
sentinel2,treatment_0008,P19,1.1639789792316069,True,True
sentinel2,treatment_0008,P20,1.365656200540276,True,True
sentinel2,treatment_0009,P11,1.2467076229880234,True,True
sentinel2,treatment_0009,P12,1.3045028906196354,True,True
sentinel2,treatment_0009,P13,0.7221341348759487,True,True
sentinel2,treatment_0009,P14,0.8169195147429924,True,True
sentinel2,treatment_0009,P15,0.6895867643333662,True,True
sentinel2,treatment_0009,P16,0.686421042771937,True,True
sentinel2,treatment_0009,P17,0.7258548824444669,True,True
sentinel2,treatment_0009,P18,0.7504442755111937,True,True
sentinel2,treatment_0009,P19,0.7663047211690683,True,True
sentinel2,treatment_0009,P20,1.4103951540494946,True,True
sentinel2,treatment_0010,P11,1.3070927860404136,True,True
sentinel2,treatment_0010,P12,1.3716635355930926,True,True
sentinel2,treatment_0010,P13,1.210143125709728,True,True
sentinel2,treatment_0010,P14,1.2160859439784295,True,True
sentinel2,treatment_0010,P15,,True,False
sentinel2,treatment_0010,P16,1.1731301991083334,True,True
sentinel2,treatment_0010,P17,1.2476746740413118,True,True
sentinel2,treatment_0010,P18,1.3507765175660107,True,True
sentinel2,treatment_0010,P19,1.212328369297389,True,True
sentinel2,treatment_0010,P20,1.4063412922956684,True,True
