sensor,site_id,role,target_site,control_rank,seq,period_id,month,usable,mean_VV,mean_VH,mean_VV_minus_VH,mean_B2,mean_B3,mean_B4,mean_B8,mean_B11,mean_B12,mean_NDVI,mean_NDWI
sentinel1,treatment_0016,target,treatment_0016,0,9,P09,2024-07,True,-10.027520946726684,-16.005823553642706,5.996461298085736,,,,,,,,
sentinel1,treatment_0016,target,treatment_0016,0,10,P10,2024-08,True,-10.15660840968807,-16.376549793591558,6.219941382463183,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,1,P01,2023-11,True,-9.52869685637391,-14.94242636244293,5.413729498953682,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,2,P02,2023-12,True,-9.531782097798237,-14.880375254260548,5.369877135563948,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,3,P03,2024-01,True,-10.808653263820876,-17.061284522310963,6.2526312653717016,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,4,P04,2024-02,True,-9.720061829833117,-15.185113987073327,5.465052159282346,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,5,P05,2024-03,True,-10.075006268723504,-15.434982181869175,5.359975920043446,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,6,P06,2024-04,True,-9.743674093853572,-14.96933464938058,5.238454304586407,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,7,P07,2024-05,True,-9.370547498467973,-15.76590405598702,6.38111543266433,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,8,P08,2024-06,True,-9.816880319436594,-16.323664881367154,6.506784557645437,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,9,P09,2024-07,True,-9.517182999201328,-15.989448675255298,6.463925951677506,,,,,,,,
sentinel1,counterfactual_0016_01,donor,treatment_0016,1,10,P10,2024-08,True,-10.193069459129672,-16.698118213952352,6.505048756280514,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,1,P01,2023-11,True,-8.895731159672879,-14.137920574433732,5.242189409279422,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,2,P02,2023-12,True,-9.181383859001764,-14.332107279560354,5.149513002899798,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,3,P03,2024-01,True,-10.502589996403987,-16.510180039358612,6.007590048159703,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,4,P04,2024-02,True,-9.311168983832445,-14.518974106477039,5.2078051328843475,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,5,P05,2024-03,True,-9.247763862580356,-14.318730865185804,5.070966997890109,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,6,P06,2024-04,True,-8.9866930050425,-14.095923347378722,5.107495542799151,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,7,P07,2024-05,True,-9.166020425074171,-15.156450219012724,6.003457555042045,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,8,P08,2024-06,True,-9.442701269423608,-15.639587103588747,6.196885825754097,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,9,P09,2024-07,True,-9.263782036682167,-15.14773207466201,5.912926855715232,,,,,,,,
sentinel1,counterfactual_0016_02,donor,treatment_0016,2,10,P10,2024-08,True,-9.646675868978594,-15.84642427265054,6.199748399365362,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,1,P01,2023-11,True,-9.68981874453041,-15.039724896321307,5.349906144828574,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,2,P02,2023-12,True,-9.845915965876875,-15.191264338101163,5.374177121186629,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,3,P03,2024-01,True,-11.23466079785022,-17.43320146769522,6.198540678792853,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,4,P04,2024-02,True,-10.08581673197975,-15.43793484940504,5.3521181267733935,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,5,P05,2024-03,True,-10.105648391726625,-15.38406306123654,5.278414666455204,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,6,P06,2024-04,True,-9.78401064954544,-15.067945423973224,5.2877708960021605,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,7,P07,2024-05,True,-10.038833964678508,-16.19926513151706,6.173475866288067,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,8,P08,2024-06,True,-10.380104623066655,-16.48223273448647,6.102128108064458,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,9,P09,2024-07,True,-10.285401500798757,-16.29238679616805,6.016965098532899,,,,,,,,
sentinel1,counterfactual_0016_03,donor,treatment_0016,3,10,P10,2024-08,True,-10.67868504679889,-16.934724380778118,6.256039340812638,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,1,P01,2023-11,True,-10.525157229739502,-16.33290800755193,5.807750778100196,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,2,P02,2023-12,True,-10.694676752257813,-16.939776792489784,6.235653174424093,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,3,P03,2024-01,True,-11.543489332707907,-19.540144430189876,7.996655096029981,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,4,P04,2024-02,True,-10.408309351476474,-17.28130609584128,6.87299675485887,,,,,,,,
sentinel1,counterfactual_0016_04,donor,treatment_0016,4,5,P05,2024-03,True,-11.214701691905887,-17.50522213521605,6.29052045603535,,,,,,,,
