method,sensor,site_id,ok,validation_rmse_std,err_VV,err_VH,err_VV-VH,training_rmse_std,validation_to_training_rmse_ratio,validation_flag,largest_donor_weight,effective_number_of_donors,weights,err_B2,err_B3,err_B4,err_B8,err_B11,err_B12,err_NDVI,err_NDWI
gpt-oss-120b,sentinel2,treatment_0009,True,1.1998147742739316,,,,,,,,,,-1.7375348339232766,-0.9600853781027732,-1.6579770676879042,-0.38601182171246495,-1.3607579915098214,-1.143002484510811,0.7635097960755477,-0.9678302665987969
gpt-oss-120b (default effort),sentinel2,treatment_0009,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0010,True,0.16876949481700707,,,,0.5153710348157164,0.32747182789842805,good,0.5523067993179601,2.2863466430322763,0.3506 0.5523 0.0000 0.0000 0.0971,-0.036767709509492486,-0.018997509330562323,0.016365504426722466,-0.07595149369856358,0.3394322591339324,0.2677100420439724,-0.08251221106137896,0.16255682073229327
Kimi-K3-thinking-low,sentinel2,treatment_0010,True,0.41637958192273294,,,,,,,,,,-0.7078419984498456,-0.6053329955374706,-0.5925387577997331,-0.10600920489670929,-0.16325014014703926,-0.26592814247029534,0.1334723810880657,-0.20489979730255892
gpt-oss-120b,sentinel2,treatment_0010,True,1.030934750626282,,,,,,,,,,-1.6995846295186985,-1.302744172965148,-1.219510461623672,-0.2144535352231025,-1.0394153084417006,-0.8199658105785844,0.5361888684090967,-0.5860534838854611
gpt-oss-120b (default effort),sentinel2,treatment_0010,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0011,True,0.5397635079698312,,,,0.5962650752797177,0.9052408573764266,good,0.5496492841882791,2.0305986186369895,0.5496 0.0000 0.4361 0.0000 0.0143,-0.520869299899926,-0.4513042023609492,-0.6167367806696396,0.3519092636270256,-0.44614372698532306,-0.6563210177591287,0.41716954875112144,-0.7400949420831621
Kimi-K3-thinking-low,sentinel2,treatment_0011,True,0.10525639570803702,,,,,,,,,,0.15685854270837485,0.011395459266112906,0.0909529495042305,-0.13238627095834676,0.06250470102105299,-0.0006245853654940348,-0.09111860528413107,0.16089878818618586
gpt-oss-120b,sentinel2,treatment_0011,True,0.8191805359574988,,,,,,,,,,-0.23983850971916643,-0.09589856803045299,-0.7450093222610217,0.5105336874052695,-0.813660467273607,-0.9457476662561058,0.035105965368729564,-1.7112384370886558
gpt-oss-120b (default effort),sentinel2,treatment_0011,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0012,True,0.5037988911485225,,,,0.4369607430900165,1.1529614481746178,good,0.4244143804203868,3.102104558014131,0.0464 0.4244 0.0000 0.2698 0.2594,-0.4599349981966654,-0.6340134062313605,-0.5562871246165921,-0.16177532449691445,-0.6595175497664411,-0.6536010306374156,0.25028433767703273,-0.3956852333808487
Kimi-K3-thinking-low,sentinel2,treatment_0012,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel2,treatment_0012,True,0.45922066726506927,,,,,,,,,,-0.776669320754547,-0.7131637029269001,-0.6098315454508476,-0.182299867312383,-0.014591507439255302,-0.2659081729404946,0.14738749897980363,-0.2783529596443364
gpt-oss-120b (default effort),sentinel2,treatment_0012,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0013,True,0.21256284289671942,,,,0.5831684559377874,0.3644964687860204,good,0.5772012895666578,2.304905648519557,0.0648 0.5772 0.0000 0.3063 0.0517,-0.33039284491823634,-0.26564946517529575,-0.2609768725541187,0.05074809768862498,-0.1888087389180792,-0.13003313662863847,0.1361362250075926,-0.1998997284185713
Kimi-K3-thinking-low,sentinel2,treatment_0013,True,0.0872251495401232,,,,,,,,,,-0.013425834897329361,0.030682114807513317,0.12415540198185449,0.006286359145871723,0.04832019605107135,0.1831028345072665,-0.06549415756219568,0.0643359332585236
gpt-oss-120b,sentinel2,treatment_0013,True,0.10433045463561164,,,,,,,,,,0.05269034050726047,-0.022964898840769632,-0.08483516595945861,0.06050852430906828,-0.0768462565624517,-0.11021122507947512,0.09078388229372703,-0.21592413040537495
gpt-oss-120b (default effort),sentinel2,treatment_0013,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0014,True,0.35222646643238764,,,,0.765025194256448,0.4604115904636678,good,0.7912233249690355,1.4933797356016258,0.0000 0.2088 0.0000 0.7912 0.0000,0.7462985410195679,0.34483373330441225,0.25742913304835935,0.3429456024003854,0.34890307935309933,0.09732452992833762,0.002674028975262255,-0.03926875608384317
Kimi-K3-thinking-low,sentinel2,treatment_0014,False,,,,,,,,,,,,,,,,,,
gpt-oss-120b,sentinel2,treatment_0014,True,0.3697850756688913,,,,,,,,,,0.7419228542462567,0.37575497597407626,0.14522012558886876,0.4652789057007255,0.3397652622197224,0.1603689171027276,0.03875263745531021,-0.14850238724545184
gpt-oss-120b (default effort),sentinel2,treatment_0014,False,,,,,,,,,,,,,,,,,,
scm,sentinel2,treatment_0015,True,0.3153323643943032,,,,0.7442851024216823,0.42367147127935983,good,0.7682623911103598,1.5529652279219675,0.0000 0.0000 0.0000 0.7683 0.2317,0.21618133801320635,0.23582694232082255,0.19182408341137858,0.30177072558067863,0.44895886810010777,0.48883520928207624,0.14761497886350117,-0.32085997535979205
Kimi-K3-thinking-low,sentinel2,treatment_0015,True,0.2620002728295496,,,,,,,,,,0.1618298200661792,0.27093734322175106,0.17685025402163568,0.3120040787989247,0.41978176672799494,0.37650651314911254,0.045460485858360045,-0.029901666462154752
gpt-oss-120b,sentinel2,treatment_0015,True,0.7749598824974655,,,,,,,,,,-1.0282613372164453,-1.016590984337039,-1.0248455116409145,0.2732739608252128,-0.3312169489531427,-0.568616567741499,0.7727544405724611,-0.7473674294417341
gpt-oss-120b (default effort),sentinel2,treatment_0015,False,,,,,,,,,,,,,,,,,,
