method,sensor,site_id,ok,nmse_VV,nmse_VH,nmse_VV-VH,nmse10_VV,nmse10_VH,nmse10_VV-VH,joint_nmse,joint_nmse_p10var,selected_blocks,weights,her_stored_joint_nmse,nmse_B2,nmse_B3,nmse_B4,nmse_B8,nmse_B11,nmse_B12,nmse_NDVI,nmse_NDWI,nmse10_B2,nmse10_B3,nmse10_B4,nmse10_B8,nmse10_B11,nmse10_B12,nmse10_NDVI,nmse10_NDWI
Kimi-K3-thinking-low [anon],sentinel2,treatment_0007,True,,,,,,,0.1755570012730887,0.18279951734848537,,,,0.02104441018307828,0.16838163897342376,0.03690229295846363,0.3691542409153648,0.6687546142959063,0.13804272933539594,2.045570881975931e-05,0.002155627814257025,0.02336163123742185,0.18742975852753221,0.038584310474191884,0.3947585381421966,0.6840169307917232,0.13203381086053703,1.9567036223861073e-05,0.002191591718056542
gpt-oss-120b [anon],sentinel2,treatment_0007,True,,,,,,,0.1676467494137222,0.1723618271245187,,,,0.17089097294766417,0.05112108054634878,0.23507762152680303,0.006422427827035782,0.5886862386985824,0.2076483298704604,0.06307938043949521,0.018247943453387944,0.1897079489078648,0.056904136584517824,0.2457925296060619,0.00686788322961641,0.6021212348835572,0.19860952071593677,0.06033897592666453,0.01855238714193019
Kimi-K3-thinking-low [nocal],sentinel2,treatment_0007,True,,,,,,,0.18559706494641134,0.19291923548625947,,,,0.05499391551990292,0.20830481166513595,0.06742176054510318,0.24845739241930123,0.710702646511413,0.17107549983887277,0.00862644953684859,0.015194043534713014,0.06104935056393086,0.2318692274796168,0.07049486449302711,0.2656902350054599,0.7269223009161785,0.16362868437436617,0.00825168426369945,0.015447536793796995
gpt-oss-120b [nocal],sentinel2,treatment_0007,True,,,,,,,0.1755570012730887,0.18279951734848537,,,,0.02104441018307828,0.16838163897342376,0.03690229295846363,0.3691542409153648,0.6687546142959063,0.13804272933539594,2.045570881975931e-05,0.002155627814257025,0.02336163123742185,0.18742975852753221,0.038584310474191884,0.3947585381421966,0.6840169307917232,0.13203381086053703,1.9567036223861073e-05,0.002191591718056542
Kimi-K3-thinking-low [rule],sentinel2,treatment_0007,True,,,,,,,0.19440175325365272,0.1999939372807808,,,,0.11992988160692378,0.16838163897342376,0.13857194058218997,0.06551223652504541,0.6687546142959063,0.2914141685179672,0.044340625112276474,0.058308920415488845,0.13313548082718404,0.18742975852753221,0.14488809095013724,0.0700561224948299,0.6840169307917232,0.27872908188230144,0.0424143023057935,0.05928173046674489
gpt-oss-120b [rule],sentinel2,treatment_0007,True,,,,,,,0.3400217170815196,0.3534847491490588,,,,0.32479876183426526,0.41042963477176064,0.5041554861386074,0.0022253103798474437,0.7984263997761138,0.33860717713388644,0.11315310781379213,0.22837785880388353,0.36056267837074624,0.45685935715328163,0.5271350435143541,0.0023796564554777414,0.8166480855058316,0.3238678067070956,0.10823731306227011,0.23218805242341306
own_mean,sentinel2,treatment_0008,True,,,,,,,1.174640479949221,1.0951597533915942,,,,0.14042833334191065,0.07231015726608073,2.0299297395919984,0.2573318495753322,1.0955803541068287,2.767108151381337,1.6475500412798942,1.3868852130503848,0.15552486404638266,0.08069250207884539,1.8591111444026416,0.28135320252345214,1.0972845200313455,2.3739780834031388,1.5636687615229237,1.3496649491240256
shc,sentinel2,treatment_0008,True,,,,,,,0.23962106872228037,0.2321215823296633,5,1.0000,0.239621,0.010630853223053117,0.04983017490987659,0.16643405203736145,0.12802283465593728,1.0864253533081627,0.4652635504230128,0.007104952736706313,0.003256778484132622,0.011773706650685863,0.055606593105704406,0.15242862593507248,0.13997348010368937,1.088115278706787,0.39916237865845094,0.006743220156065097,0.003169375320851004
DeepSeek-V4-Flash-thinking-low,sentinel2,treatment_0008,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-5.3,sentinel2,treatment_0008,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimi-K3-thinking-low,sentinel2,treatment_0008,True,,,,,,,0.27135624571542316,0.2603069486107927,,,,0.0005192667770133907,0.00040560878055456305,0.20717659792061158,0.0001645882883225274,1.4208629357268692,0.5015155533623902,0.039800775812198465,0.0004046390554251489,0.0005750897484639484,0.0004526277995449724,0.18974268642965414,0.00017995223713588625,1.423073075941047,0.4302639676637763,0.03777440943375817,0.00039377963296097007
gpt-oss-120b,sentinel2,treatment_0008,True,,,,,,,0.20118749452092582,0.1944194605733287,,,,0.0017432203321684917,0.11597258964498461,0.20717659792061158,0.03893496951293413,0.8303800461869972,0.37457413154519353,0.039800775812198465,0.0009176252123183884,0.0019306225368586713,0.12941637502711825,0.18974268642965414,0.042569461886256495,0.8316716952876826,0.32135743536231165,0.03777440943375817,0.0008929986229895921
gpt-oss-120b (default effort),sentinel2,treatment_0008,True,,,,,,,0.2666036891679,0.26464491305531007,,,,0.08994550078901616,0.32422793761451313,0.09213051773290572,0.002368531191873257,1.1059166813220804,0.37457413154519353,0.001706692702181926,0.14195952044543586,0.09961495268719117,0.3618131189192046,0.08437773432062552,0.0025896282842950134,1.1076369253156855,0.32135743536231165,0.001619800307763551,0.13814970924540357
persistence,sentinel2,treatment_0008,True,,,,,,,0.23962106872228037,0.2321215823296633,,,,0.010630853223053117,0.04983017490987659,0.16643405203736145,0.12802283465593728,1.0864253533081627,0.4652635504230128,0.007104952736706313,0.003256778484132622,0.011773706650685863,0.055606593105704406,0.15242862593507248,0.13997348010368937,1.088115278706787,0.39916237865845094,0.006743220156065097,0.003169375320851004
last3_mean,sentinel2,treatment_0008,True,,,,,,,0.364355040374661,0.36767490467403763,,,,0.09328116228042238,0.3931525021162385,0.16719931057719079,0.5353076870155534,1.2507765661277108,0.46970490811586196,0.0005043822245370626,0.004913804539772946,0.10330920930627817,0.4387275632326575,0.15312948796590906,0.5852774630338072,1.252722138440311,0.4029727414077763,0.00047870274566189016,0.004781931259899533
linear9,sentinel2,treatment_0008,True,,,,,,,1.1668021262315844,1.1942450175924906,,,,1.1816467973893365,1.8339368203752098,0.6904012457981874,1.139485390823068,3.2346011326599267,1.203608928667701,0.04248769914953547,0.008248994989711031,1.3086779080925863,2.0465306159694183,0.632303978378512,1.2458538049830663,3.2396325272162634,1.03260915776605,0.04032453415345221,0.008027614180574735
linear4,sentinel2,treatment_0008,True,,,,,,,0.8298129432966669,0.8394992772230963,,,,1.3768794995547093,0.47142528064525324,1.1605921488413027,0.9619493299891605,0.09963076952179233,0.3186686189876177,0.4910994089569314,1.7582584898765676,1.524898799839192,0.52607388611408,1.0629283151695446,1.05174514971381,0.0997857443365706,0.27339456065976303,0.46609619456036117,1.7110715673914476
holt_damped,sentinel2,treatment_0008,True,,,,,,,0.19343116123691598,0.1859917995599293,,,,0.022704865904136413,0.04623111837701131,0.19443328129884585,0.01160396372759618,0.8949458130073631,0.37567714481026876,0.00023010562007719573,0.0016229971500291147,0.025145717384073594,0.05159032640486648,0.17807171994933754,0.012687167803414123,0.8963378936093008,0.32230374073735973,0.00021839031346571815,0.0015794402776164748
