group,site_id,seq,n_valid_parcels,masked
2,counterfactual_0002_04,18,32,True
2,counterfactual_0002_04,19,196,True
2,counterfactual_0002_04,20,196,True
2,counterfactual_0002_05,1,196,True
2,counterfactual_0002_05,2,196,True
2,counterfactual_0002_05,3,0,False
2,counterfactual_0002_05,4,196,True
2,counterfactual_0002_05,5,196,True
2,counterfactual_0002_05,6,114,True
2,counterfactual_0002_05,7,154,True
2,counterfactual_0002_05,8,196,True
2,counterfactual_0002_05,9,166,True
2,counterfactual_0002_05,10,196,True
2,counterfactual_0002_05,11,196,True
2,counterfactual_0002_05,12,196,True
2,counterfactual_0002_05,13,0,False
2,counterfactual_0002_05,14,196,True
2,counterfactual_0002_05,16,164,True
2,counterfactual_0002_05,17,23,True
2,counterfactual_0002_05,18,26,True
2,counterfactual_0002_05,19,196,True
2,counterfactual_0002_05,20,196,True
3,treatment_0003,1,196,True
3,treatment_0003,2,186,True
3,treatment_0003,3,0,False
3,treatment_0003,4,196,True
3,treatment_0003,5,196,True
3,treatment_0003,6,39,True
3,treatment_0003,7,122,True
3,treatment_0003,8,132,True
3,treatment_0003,9,196,True
3,treatment_0003,10,196,True
3,treatment_0003,11,196,True
3,treatment_0003,12,196,True
3,treatment_0003,13,192,True
3,treatment_0003,14,0,False
3,treatment_0003,16,122,True
3,treatment_0003,17,0,False
3,treatment_0003,18,165,True
3,treatment_0003,19,196,True
3,treatment_0003,20,127,True
3,counterfactual_0003_01,1,133,True
3,counterfactual_0003_01,2,196,True
3,counterfactual_0003_01,3,0,False
3,counterfactual_0003_01,4,82,True
3,counterfactual_0003_01,5,196,True
3,counterfactual_0003_01,6,10,True
3,counterfactual_0003_01,7,116,True
3,counterfactual_0003_01,8,131,True
3,counterfactual_0003_01,9,171,True
3,counterfactual_0003_01,10,196,True
3,counterfactual_0003_01,11,196,True
3,counterfactual_0003_01,12,196,True
3,counterfactual_0003_01,13,125,True
3,counterfactual_0003_01,14,123,True
3,counterfactual_0003_01,16,124,True
3,counterfactual_0003_01,17,0,False
3,counterfactual_0003_01,18,111,True
3,counterfactual_0003_01,19,106,True
3,counterfactual_0003_01,20,195,True
3,counterfactual_0003_02,1,196,True
3,counterfactual_0003_02,2,196,True
3,counterfactual_0003_02,3,12,True
3,counterfactual_0003_02,4,187,True
3,counterfactual_0003_02,5,196,True
3,counterfactual_0003_02,6,38,True
3,counterfactual_0003_02,7,1,False
3,counterfactual_0003_02,8,19,True
3,counterfactual_0003_02,9,153,True
3,counterfactual_0003_02,10,196,True
3,counterfactual_0003_02,11,196,True
3,counterfactual_0003_02,12,196,True
3,counterfactual_0003_02,13,146,True
3,counterfactual_0003_02,14,79,True
3,counterfactual_0003_02,16,129,True
3,counterfactual_0003_02,17,0,False
3,counterfactual_0003_02,18,143,True
3,counterfactual_0003_02,19,192,True
3,counterfactual_0003_02,20,190,True
3,counterfactual_0003_03,1,137,True
3,counterfactual_0003_03,2,196,True
3,counterfactual_0003_03,3,0,False
3,counterfactual_0003_03,4,7,False
3,counterfactual_0003_03,5,196,True
3,counterfactual_0003_03,6,54,True
3,counterfactual_0003_03,7,65,True
3,counterfactual_0003_03,8,65,True
3,counterfactual_0003_03,9,183,True
3,counterfactual_0003_03,10,196,True
3,counterfactual_0003_03,11,196,True
3,counterfactual_0003_03,12,196,True
3,counterfactual_0003_03,13,81,True
3,counterfactual_0003_03,14,147,True
3,counterfactual_0003_03,16,60,True
3,counterfactual_0003_03,17,0,False
3,counterfactual_0003_03,18,105,True
3,counterfactual_0003_03,19,129,True
3,counterfactual_0003_03,20,175,True
3,counterfactual_0003_04,1,193,True
3,counterfactual_0003_04,2,169,True
3,counterfactual_0003_04,3,0,False
3,counterfactual_0003_04,4,196,True
3,counterfactual_0003_04,5,196,True
3,counterfactual_0003_04,6,4,False
3,counterfactual_0003_04,7,25,True
3,counterfactual_0003_04,8,189,True
3,counterfactual_0003_04,9,196,True
3,counterfactual_0003_04,10,196,True
3,counterfactual_0003_04,11,196,True
3,counterfactual_0003_04,12,196,True
3,counterfactual_0003_04,13,92,True
3,counterfactual_0003_04,14,86,True
3,counterfactual_0003_04,16,191,True
3,counterfactual_0003_04,17,0,False
3,counterfactual_0003_04,18,176,True
3,counterfactual_0003_04,19,196,True
3,counterfactual_0003_04,20,171,True
3,counterfactual_0003_05,1,196,True
3,counterfactual_0003_05,2,196,True
3,counterfactual_0003_05,3,59,True
3,counterfactual_0003_05,4,85,True
3,counterfactual_0003_05,5,196,True
3,counterfactual_0003_05,6,7,False
3,counterfactual_0003_05,7,6,False
3,counterfactual_0003_05,8,196,True
3,counterfactual_0003_05,9,195,True
3,counterfactual_0003_05,10,97,True
3,counterfactual_0003_05,11,196,True
3,counterfactual_0003_05,12,196,True
3,counterfactual_0003_05,13,0,False
3,counterfactual_0003_05,14,0,False
3,counterfactual_0003_05,16,178,True
3,counterfactual_0003_05,17,0,False
3,counterfactual_0003_05,18,21,True
3,counterfactual_0003_05,19,196,True
3,counterfactual_0003_05,20,196,True
4,treatment_0004,1,185,True
4,treatment_0004,2,147,True
4,treatment_0004,3,11,True
4,treatment_0004,4,85,True
4,treatment_0004,5,117,True
4,treatment_0004,6,0,False
4,treatment_0004,7,185,True
4,treatment_0004,8,196,True
4,treatment_0004,9,167,True
4,treatment_0004,10,196,True
4,treatment_0004,11,196,True
4,treatment_0004,12,196,True
4,treatment_0004,13,0,False
4,treatment_0004,14,79,True
4,treatment_0004,16,47,True
4,treatment_0004,17,6,False
4,treatment_0004,18,0,False
4,treatment_0004,19,181,True
4,treatment_0004,20,196,True
4,counterfactual_0004_01,1,53,True
4,counterfactual_0004_01,2,5,False
4,counterfactual_0004_01,3,66,True
4,counterfactual_0004_01,4,96,True
4,counterfactual_0004_01,5,196,True
4,counterfactual_0004_01,6,0,False
4,counterfactual_0004_01,7,67,True
4,counterfactual_0004_01,8,143,True
4,counterfactual_0004_01,9,194,True
4,counterfactual_0004_01,10,196,True
4,counterfactual_0004_01,11,196,True
4,counterfactual_0004_01,12,196,True
4,counterfactual_0004_01,13,4,False
4,counterfactual_0004_01,14,56,True
4,counterfactual_0004_01,16,196,True
4,counterfactual_0004_01,17,2,False
4,counterfactual_0004_01,18,159,True
4,counterfactual_0004_01,19,158,True
4,counterfactual_0004_01,20,190,True
4,counterfactual_0004_02,1,157,True
4,counterfactual_0004_02,2,0,False
4,counterfactual_0004_02,3,0,False
4,counterfactual_0004_02,4,107,True
4,counterfactual_0004_02,5,123,True
4,counterfactual_0004_02,6,0,False
4,counterfactual_0004_02,7,92,True
4,counterfactual_0004_02,8,173,True
4,counterfactual_0004_02,9,145,True
4,counterfactual_0004_02,10,196,True
4,counterfactual_0004_02,11,196,True
4,counterfactual_0004_02,12,196,True
4,counterfactual_0004_02,13,0,False
4,counterfactual_0004_02,14,130,True
4,counterfactual_0004_02,16,189,True
4,counterfactual_0004_02,17,36,True
4,counterfactual_0004_02,18,60,True
4,counterfactual_0004_02,19,196,True
4,counterfactual_0004_02,20,171,True
4,counterfactual_0004_03,1,77,True
4,counterfactual_0004_03,2,182,True
4,counterfactual_0004_03,3,0,False
4,counterfactual_0004_03,4,46,True
4,counterfactual_0004_03,5,163,True
4,counterfactual_0004_03,6,0,False
4,counterfactual_0004_03,7,196,True
4,counterfactual_0004_03,8,196,True
4,counterfactual_0004_03,9,181,True
4,counterfactual_0004_03,10,165,True
4,counterfactual_0004_03,11,196,True
