variant,sensor,treatment_site_id,period,latent_gap_norm,treated_latent_present,donors_present
paper,sentinel2,treatment_0005,P17,1.0296811167481386,True,True
paper,sentinel2,treatment_0005,P18,0.780206985059699,True,True
paper,sentinel2,treatment_0005,P19,1.2386390373708365,True,True
paper,sentinel2,treatment_0005,P20,1.305575206742609,True,True
paper,sentinel2,treatment_0006,P11,1.2594597570493826,True,True
paper,sentinel2,treatment_0006,P12,1.2859043728034105,True,True
paper,sentinel2,treatment_0006,P13,0.8320486026120003,True,True
paper,sentinel2,treatment_0006,P14,1.248328816829613,True,True
paper,sentinel2,treatment_0006,P15,,False,False
paper,sentinel2,treatment_0006,P16,1.0223843767279919,True,True
paper,sentinel2,treatment_0006,P17,1.16867359662873,True,True
paper,sentinel2,treatment_0006,P18,0.7282320005300663,True,True
paper,sentinel2,treatment_0006,P19,1.312428944860422,True,True
paper,sentinel2,treatment_0006,P20,1.3978000581883616,True,True
paper,sentinel2,treatment_0007,P11,1.110043687938056,True,True
paper,sentinel2,treatment_0007,P12,1.132146283434825,True,True
paper,sentinel2,treatment_0007,P13,1.1465430157518088,True,True
paper,sentinel2,treatment_0007,P14,0.4990853182739366,True,True
paper,sentinel2,treatment_0007,P15,,True,False
paper,sentinel2,treatment_0007,P16,1.1906916826684866,True,True
paper,sentinel2,treatment_0007,P17,1.1925296638934049,True,True
paper,sentinel2,treatment_0007,P18,1.0841001708325655,True,True
paper,sentinel2,treatment_0007,P19,1.199077392749249,True,True
paper,sentinel2,treatment_0007,P20,1.2203129548707452,True,True
paper,sentinel2,treatment_0008,P11,1.161922563129701,True,True
paper,sentinel2,treatment_0008,P12,1.255270846683885,True,True
paper,sentinel2,treatment_0008,P13,1.137449271400964,True,True
paper,sentinel2,treatment_0008,P14,1.2196707410569798,True,True
paper,sentinel2,treatment_0008,P15,,True,False
paper,sentinel2,treatment_0008,P16,0.6607831203677221,True,True
paper,sentinel2,treatment_0008,P17,1.2680793130257972,True,True
paper,sentinel2,treatment_0008,P18,0.8065533835040369,True,True
paper,sentinel2,treatment_0008,P19,1.2313242769028172,True,True
paper,sentinel2,treatment_0008,P20,1.4018876258100559,True,True
paper,sentinel2,treatment_0009,P11,1.2472894802170944,True,True
paper,sentinel2,treatment_0009,P12,1.2881382290629102,True,True
paper,sentinel2,treatment_0009,P13,0.8361196931361421,True,True
paper,sentinel2,treatment_0009,P14,1.2593732402614768,True,True
paper,sentinel2,treatment_0009,P15,,True,False
paper,sentinel2,treatment_0009,P16,0.871511665055589,True,True
paper,sentinel2,treatment_0009,P17,1.402008151791755,True,True
paper,sentinel2,treatment_0009,P18,0.8589512712716438,True,True
paper,sentinel2,treatment_0009,P19,1.3272258369785788,True,True
paper,sentinel2,treatment_0009,P20,1.411024196959619,True,True
paper,sentinel2,treatment_0010,P11,1.2695011562572645,True,True
paper,sentinel2,treatment_0010,P12,1.289913250870326,True,True
paper,sentinel2,treatment_0010,P13,0.747360220144497,True,True
paper,sentinel2,treatment_0010,P14,1.298762281834202,True,True
paper,sentinel2,treatment_0010,P15,,True,False
paper,sentinel2,treatment_0010,P16,1.0511805955735667,True,True
paper,sentinel2,treatment_0010,P17,1.2964297498946877,True,True
paper,sentinel2,treatment_0010,P18,0.8417350896903925,True,True
paper,sentinel2,treatment_0010,P19,1.2553521238949887,True,True
paper,sentinel2,treatment_0010,P20,1.395737326067421,True,True
unitnorm,sentinel1,treatment_0001,P11,1.0055820948291518,True,True
unitnorm,sentinel1,treatment_0001,P12,,False,False
unitnorm,sentinel1,treatment_0001,P13,1.0299325530905359,True,True
unitnorm,sentinel1,treatment_0001,P14,1.0178800378690993,True,True
unitnorm,sentinel1,treatment_0001,P15,,False,False
unitnorm,sentinel1,treatment_0001,P16,0.9914258083829085,True,True
unitnorm,sentinel1,treatment_0001,P17,1.0214486379243581,True,True
unitnorm,sentinel1,treatment_0001,P18,1.0217653708764078,True,True
unitnorm,sentinel1,treatment_0001,P19,1.017139797370516,True,True
unitnorm,sentinel1,treatment_0001,P20,1.0090613893636549,True,True
unitnorm,sentinel1,treatment_0002,P11,0.9583267796209095,True,True
unitnorm,sentinel1,treatment_0002,P12,,False,False
unitnorm,sentinel1,treatment_0002,P13,0.9735312311484369,True,True
unitnorm,sentinel1,treatment_0002,P14,0.9737618166690521,True,True
unitnorm,sentinel1,treatment_0002,P15,,False,False
unitnorm,sentinel1,treatment_0002,P16,0.9730832705842399,True,True
unitnorm,sentinel1,treatment_0002,P17,0.9825539658425828,True,True
unitnorm,sentinel1,treatment_0002,P18,0.9576581901667566,True,True
unitnorm,sentinel1,treatment_0002,P19,0.9852529845679102,True,True
unitnorm,sentinel1,treatment_0002,P20,0.9716306092199788,True,True
unitnorm,sentinel1,treatment_0003,P11,0.9664185474484323,True,True
unitnorm,sentinel1,treatment_0003,P12,,True,False
unitnorm,sentinel1,treatment_0003,P13,0.9700706497887073,True,True
unitnorm,sentinel1,treatment_0003,P14,0.9408808010320363,True,True
unitnorm,sentinel1,treatment_0003,P15,,True,False
unitnorm,sentinel1,treatment_0003,P16,0.9734749704375055,True,True
unitnorm,sentinel1,treatment_0003,P17,0.9654679181113002,True,True
unitnorm,sentinel1,treatment_0003,P18,0.9965959069627097,True,True
unitnorm,sentinel1,treatment_0003,P19,0.9322059928638253,True,True
unitnorm,sentinel1,treatment_0003,P20,0.9598759503630155,True,True
unitnorm,sentinel1,treatment_0004,P11,0.9886287608561393,True,True
unitnorm,sentinel1,treatment_0004,P12,,True,False
unitnorm,sentinel1,treatment_0004,P13,0.9762137480879606,True,True
unitnorm,sentinel1,treatment_0004,P14,0.977430728466308,True,True
unitnorm,sentinel1,treatment_0004,P15,,True,False
unitnorm,sentinel1,treatment_0004,P16,0.9829947203044379,True,True
unitnorm,sentinel1,treatment_0004,P17,0.9944480104447446,True,True
unitnorm,sentinel1,treatment_0004,P18,1.0205949376364423,True,True
unitnorm,sentinel1,treatment_0004,P19,0.9963569858235872,True,True
unitnorm,sentinel1,treatment_0004,P20,0.9930202282885476,True,True
unitnorm,sentinel1,treatment_0005,P11,0.9490373857444286,True,True
unitnorm,sentinel1,treatment_0005,P12,,True,False
unitnorm,sentinel1,treatment_0005,P13,0.9723673969288731,True,True
unitnorm,sentinel1,treatment_0005,P14,0.9786974066829845,True,True
unitnorm,sentinel1,treatment_0005,P15,,True,False
unitnorm,sentinel1,treatment_0005,P16,0.9711038000293927,True,True
unitnorm,sentinel1,treatment_0005,P17,0.9362111206947563,True,True
unitnorm,sentinel1,treatment_0005,P18,0.9559640947327496,True,True
unitnorm,sentinel1,treatment_0005,P19,0.9378788195058592,True,True
unitnorm,sentinel1,treatment_0005,P20,0.9388683798752224,True,True
unitnorm,sentinel1,treatment_0006,P11,1.0146596601763382,True,True
unitnorm,sentinel1,treatment_0006,P12,,False,False
unitnorm,sentinel1,treatment_0006,P13,1.0138227953317764,True,True
unitnorm,sentinel1,treatment_0006,P14,1.007860880050824,True,True
unitnorm,sentinel1,treatment_0006,P15,,False,False
unitnorm,sentinel1,treatment_0006,P16,0.9931397779210958,True,True
unitnorm,sentinel1,treatment_0006,P17,1.0050556963925272,True,True
unitnorm,sentinel1,treatment_0006,P18,1.0139467468062924,True,True
unitnorm,sentinel1,treatment_0006,P19,1.010950340551479,True,True
unitnorm,sentinel1,treatment_0006,P20,1.004742906702208,True,True
unitnorm,sentinel1,treatment_0007,P11,0.9957057554052219,True,True
unitnorm,sentinel1,treatment_0007,P12,,True,False
unitnorm,sentinel1,treatment_0007,P13,0.975849843575924,True,True
unitnorm,sentinel1,treatment_0007,P14,0.9828488908748968,True,True
unitnorm,sentinel1,treatment_0007,P15,,True,False
unitnorm,sentinel1,treatment_0007,P16,,True,False
unitnorm,sentinel1,treatment_0007,P17,0.9882497157015924,True,True
unitnorm,sentinel1,treatment_0007,P18,1.0040970070102455,True,True
unitnorm,sentinel1,treatment_0007,P19,1.0065549932879228,True,True
unitnorm,sentinel1,treatment_0007,P20,0.9787536909647321,True,True
unitnorm,sentinel1,treatment_0008,P11,0.9727363000337392,True,True
unitnorm,sentinel1,treatment_0008,P12,,True,False
unitnorm,sentinel1,treatment_0008,P13,1.0253869886170282,True,True
unitnorm,sentinel1,treatment_0008,P14,0.9890101710930229,True,True
unitnorm,sentinel1,treatment_0008,P15,,True,False
unitnorm,sentinel1,treatment_0008,P16,,True,False
unitnorm,sentinel1,treatment_0008,P17,1.0182689666949534,True,True
