cache,sensor,repr,site,test,test_rmse,train_rmse,n_test_dims
chipmean,sentinel2,latent980,treatment_0008,P10,1.257005642737155,0.8874098240425555,980
chipmean,sentinel2,latent980,treatment_0009,P10,1.306631130137819,0.9046840343687673,980
chipmean,sentinel2,latent980,treatment_0010,P10,1.3984377735556606,1.0785211346721206,980
chipmean,sentinel2,chip_mean,treatment_0001,P09,0.3494622356503615,0.35840213861805503,5
chipmean,sentinel2,chip_mean,treatment_0002,P09,0.31360027668279894,0.7077511586173411,5
chipmean,sentinel2,chip_mean,treatment_0003,P09,0.3334001807804697,0.656059029695485,5
chipmean,sentinel2,chip_mean,treatment_0004,P09,1.2935134476767072,0.958489431704429,5
chipmean,sentinel2,chip_mean,treatment_0005,P09,0.8903215639663113,1.38253234656649,5
chipmean,sentinel2,chip_mean,treatment_0006,P09,0.44592427207766605,0.5584264886055643,5
chipmean,sentinel2,chip_mean,treatment_0007,P09,0.2744164776008256,0.32551165464942855,5
chipmean,sentinel2,chip_mean,treatment_0008,P09,0.4044227161712727,0.852924893649636,5
chipmean,sentinel2,chip_mean,treatment_0009,P09,0.3914143131188439,0.7066862200514119,5
chipmean,sentinel2,chip_mean,treatment_0010,P09,1.0686229541152217,0.9027203283569613,5
chipmean,sentinel2,chip_mean,treatment_0001,P10,0.37257752149860907,0.3601510131645328,5
chipmean,sentinel2,chip_mean,treatment_0002,P10,0.5001619069170874,0.6874967147465904,5
chipmean,sentinel2,chip_mean,treatment_0003,P10,0.14240344813624478,0.6383330689199367,5
chipmean,sentinel2,chip_mean,treatment_0004,P10,0.7057331168203704,1.0110588132230138,5
chipmean,sentinel2,chip_mean,treatment_0005,P10,0.5918459815880182,1.3480324950423486,5
chipmean,sentinel2,chip_mean,treatment_0006,P10,0.2969713745022844,0.5513540104857466,5
chipmean,sentinel2,chip_mean,treatment_0007,P10,0.4181622798832031,0.32166759300556874,5
chipmean,sentinel2,chip_mean,treatment_0008,P10,0.24803975013065366,0.8228369607144659,5
chipmean,sentinel2,chip_mean,treatment_0009,P10,0.4578125591584816,0.6819863849602539,5
chipmean,sentinel2,chip_mean,treatment_0010,P10,0.2157261747165133,0.9353468857355716,5
chipmean,sentinel2,quantile,treatment_0001,P09,0.9105230519994418,0.6510576234440869,100
chipmean,sentinel2,quantile,treatment_0002,P09,0.6209274465805369,0.9743518962311083,100
chipmean,sentinel2,quantile,treatment_0003,P09,0.4983218998359369,0.7110753452353707,100
chipmean,sentinel2,quantile,treatment_0004,P09,1.1902263891030103,0.9527763276618573,100
chipmean,sentinel2,quantile,treatment_0005,P09,0.8924336570651898,1.259788299475261,100
chipmean,sentinel2,quantile,treatment_0006,P09,0.8322819823113939,0.708200932432879,100
chipmean,sentinel2,quantile,treatment_0007,P09,0.5489366848679381,0.5874705757910846,100
chipmean,sentinel2,quantile,treatment_0008,P09,0.6087021410723428,0.8874388450509779,100
chipmean,sentinel2,quantile,treatment_0009,P09,0.6747086640958438,0.7876967585201633,100
chipmean,sentinel2,quantile,treatment_0010,P09,1.1972646553030735,0.9021087722500167,100
chipmean,sentinel2,quantile,treatment_0001,P10,0.604004121323993,0.6841956757402434,100
chipmean,sentinel2,quantile,treatment_0002,P10,0.6616249876213213,0.9462662736450071,100
chipmean,sentinel2,quantile,treatment_0003,P10,0.4116931346910894,0.689434379794513,100
chipmean,sentinel2,quantile,treatment_0004,P10,0.7446520233028868,0.981896966387082,100
chipmean,sentinel2,quantile,treatment_0005,P10,0.7791358443641201,1.2230347573897842,100
chipmean,sentinel2,quantile,treatment_0006,P10,0.4936484767524555,0.724737623510586,100
chipmean,sentinel2,quantile,treatment_0007,P10,0.5617977765295116,0.5793824308043041,100
chipmean,sentinel2,quantile,treatment_0008,P10,0.48485068535370096,0.8595717726259867,100
chipmean,sentinel2,quantile,treatment_0009,P10,0.5594972332675612,0.7734477054488412,100
chipmean,sentinel2,quantile,treatment_0010,P10,0.5115811263977326,0.942929430608057,100
chipmean,sentinel2,gram,treatment_0001,P09,0.35158678617343975,0.3703907183349941,15
chipmean,sentinel2,gram,treatment_0002,P09,0.32411869264987625,0.7046461535292937,15
chipmean,sentinel2,gram,treatment_0003,P09,0.3497590652240031,0.6851485085984482,15
chipmean,sentinel2,gram,treatment_0004,P09,1.3738074645645721,0.9698270030011503,15
chipmean,sentinel2,gram,treatment_0005,P09,0.9941440868356505,1.331502977456508,15
chipmean,sentinel2,gram,treatment_0006,P09,0.5655646906496875,0.5595612763217838,15
chipmean,sentinel2,gram,treatment_0007,P09,0.2580403503228349,0.36642646295382253,15
chipmean,sentinel2,gram,treatment_0008,P09,0.51627684537979,0.8292766063300618,15
chipmean,sentinel2,gram,treatment_0009,P09,0.32370713145468866,0.6546737285856273,15
chipmean,sentinel2,gram,treatment_0010,P09,1.1934477193182238,0.8652013121634388,15
chipmean,sentinel2,gram,treatment_0001,P10,0.44417894346654635,0.372848842975104,15
chipmean,sentinel2,gram,treatment_0002,P10,0.7707145118181817,0.6848074801549897,15
chipmean,sentinel2,gram,treatment_0003,P10,0.16851561899626194,0.6607476049352279,15
chipmean,sentinel2,gram,treatment_0004,P10,0.8406826262355247,1.0255830052363828,15
chipmean,sentinel2,gram,treatment_0005,P10,0.7443226550309645,1.2994075216406495,15
chipmean,sentinel2,gram,treatment_0006,P10,0.39947199758266894,0.5617224611971816,15
chipmean,sentinel2,gram,treatment_0007,P10,0.49899626401457736,0.3573776742240419,15
chipmean,sentinel2,gram,treatment_0008,P10,0.20654574011673693,0.8024369375644538,15
chipmean,sentinel2,gram,treatment_0009,P10,0.3665245470415554,0.6284089482012373,15
chipmean,sentinel2,gram,treatment_0010,P10,0.22114119805149765,0.9156362809507116,15
chipmean,sentinel2,combined,treatment_0001,P09,0.86377006203882,0.6227067304674601,115
chipmean,sentinel2,combined,treatment_0002,P09,0.5909569454454658,0.9444050765349562,115
chipmean,sentinel2,combined,treatment_0003,P09,0.4827220061998337,0.708563082530053,115
chipmean,sentinel2,combined,treatment_0004,P09,1.2140898628691925,0.9563353373170163,115
chipmean,sentinel2,combined,treatment_0005,P09,0.9046250666434057,1.2712187044940468,115
chipmean,sentinel2,combined,treatment_0006,P09,0.8058156868161253,0.6916035817333293,115
chipmean,sentinel2,combined,treatment_0007,P09,0.5203539413718743,0.5661445199196283,115
chipmean,sentinel2,combined,treatment_0008,P09,0.5966168702385155,0.8827715332735904,115
