fill,sensor,repr,M,estimator,perm,role,site,n_donors,n_pre,n_valid_test,rmse_train,rmse_test,rms_y_test,w_max,rel_l2_test,C2,C3,n_cells_used,rmse_test_unproj,sum_w,n_negative,lambda_,lambda_flag,rmse_test_fscm
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0003,5,9,196,0.010913395242205472,0.008173669852791594,0.5569830615166519,0.572108094186392,0.014674898426057844,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0004,5,9,196,0.008211592249935026,0.01988101745155879,0.5400293652841116,0.42826320079440555,0.036814696995411185,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0005,5,9,196,0.013441530506474767,0.017173776177791516,0.5448275725041124,0.36451146913564286,0.03152148871404978,True,False,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0006,5,9,196,0.012564950175215,0.009348750028821731,0.5431111390194449,0.5139282429597926,0.017213327728281082,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0007,5,5,196,0.01056616167085473,0.005842387526038235,0.5344816979675697,0.6838390781929592,0.010930940288983905,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0008,5,9,196,0.01149203422962896,0.012937810850372626,0.5525691760009912,0.37039003341345794,0.023413920667824977,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0009,5,9,196,0.011533124612914765,0.010268024385149864,0.5440042620819244,0.46109937919965976,0.018874896946310227,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned,-,estimator,treatment_0010,5,9,196,0.009773245766553907,0.007964750392456142,0.5554742461492069,0.2865912651387636,0.014338649267128608,True,True,,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0001,5,9,196,0.011278461319306089,0.01254660703831306,0.537943469290473,0.3562081249315495,0.023323281635636472,False,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0002,5,9,196,0.01423416576267515,0.01086251312396667,0.542695340260153,0.48096236383569974,0.020015858471825985,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0003,5,9,196,0.01096406259553573,0.007239225404217801,0.5569830615166519,0.47418401819042466,0.012997209258941482,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0004,5,9,196,0.008313848245716156,0.019003115274519068,0.5400293652841116,0.3394683271337225,0.03518904062656195,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0005,5,9,196,0.013831785464000771,0.01706308374209999,0.5448275725041124,0.43197750153860587,0.03131831904849345,True,False,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0006,5,9,196,0.01292999386791282,0.008816244862756948,0.5431111390194449,0.5123797980850137,0.016232855909886434,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0007,5,5,196,0.011218021645792534,0.0073363424238780135,0.5344816979675697,0.5085733518501682,0.013726087257571828,True,True,25.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0008,5,9,196,0.011726871225944189,0.012116276263715583,0.5525691760009912,0.3389226131910227,0.021927166389197665,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0009,5,9,196,0.011887350005567591,0.011288923902893551,0.5440042620819244,0.6507725347847215,0.0207515357686545,True,True,45.0,,,,,,
chipmean,sentinel1,chip_mean,5,scm_demeaned_std,-,estimator,treatment_0010,5,9,196,0.010057520583523208,0.008240176638879403,0.5554742461492069,0.3155820455433172,0.01483448908028401,True,True,45.0,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0001,5,9,196,0.02160257124842018,0.02974327919888704,0.3241581456880685,,0.09175545823706821,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0002,5,9,196,0.02007707268799994,0.019654065156311004,0.32779944112982723,,0.05995759202202812,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0003,5,9,196,0.018238421150009954,0.01810200645304275,0.3438099826888993,,0.052651195033573454,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0004,5,9,196,0.023343036730456,0.030552909322533805,0.3255395561766472,,0.09385313932772861,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0005,5,9,196,0.018871601977835228,0.013637367258311208,0.3301136383803457,,0.041311129480202505,True,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0006,5,9,196,0.036202206024100306,0.03325515547823108,0.3297249826944926,,0.10085725141744482,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0007,5,5,196,0.028836199704170656,0.021371971159069154,0.3184718844398508,,0.0671078742057861,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0008,5,9,196,0.02500871060313038,0.02944783088487648,0.3415014911354085,,0.08623046062542708,False,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0009,5,9,196,0.018383232854987372,0.015163859233772536,0.33340698925127005,,0.045481527750290775,True,False,,,,,,,
chipmean,sentinel1,gram,15,equal_weight,-,reference,treatment_0010,5,9,196,0.019257847558073676,0.022462590238046202,0.34276004085754236,,0.06553444847843884,False,False,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0001,5,9,196,0.01238292485248788,0.008893475550967637,0.3241581456880685,,0.027435607185159763,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0002,5,9,196,0.013501160253237348,0.013764862732371739,0.32779944112982723,,0.04199172117233742,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0003,5,9,196,0.016785942286696165,0.016889179788123956,0.3438099826888993,,0.04912358755855655,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0004,5,9,196,0.015026069859999625,0.017713861426594143,0.3255395561766472,,0.05441385260408135,False,True,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0005,5,9,196,0.016964488769931018,0.02108806187759023,0.3301136383803457,,0.06388121975528101,False,False,,,,,,,
chipmean,sentinel1,gram,15,own_history_mean,-,reference,treatment_0006,5,9,196,0.012001400298194144,0.01365465687726671,0.3297249826944926,,0.041412260501711706,False,True,,,,,,,
