site_id,sensor,period_id,seq,valid_pixel_fraction,fill_method,arm
counterfactual_0001_05,sentinel1,after_P08,18,1.0,none,
counterfactual_0001_05,sentinel1,after_P09,19,1.0,none,
counterfactual_0001_05,sentinel1,after_P10,20,1.0,none,
counterfactual_0001_05,sentinel2,before_P01,1,1.0,none,
counterfactual_0001_05,sentinel2,before_P02,2,0.3674149593177139,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,before_P04,4,1.0,none,
counterfactual_0001_05,sentinel2,before_P05,5,1.0,none,
counterfactual_0001_05,sentinel2,before_P06,6,0.0,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,before_P07,7,0.2471326340554847,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,before_P08,8,1.0,none,
counterfactual_0001_05,sentinel2,before_P09,9,0.7946279776492501,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,before_P10,10,1.0,none,
counterfactual_0001_05,sentinel2,after_P01,11,1.0,none,
counterfactual_0001_05,sentinel2,after_P02,12,1.0,none,
counterfactual_0001_05,sentinel2,after_P03,13,0.0199980394079011,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,after_P04,14,0.0011763552592883,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,after_P05,15,,still_missing,
counterfactual_0001_05,sentinel2,after_P06,16,1.0,none,
counterfactual_0001_05,sentinel2,after_P07,17,0.0,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,after_P08,18,0.0,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,after_P09,19,0.9798059013822176,generated_s1_to_s2,A
counterfactual_0001_05,sentinel2,after_P10,20,0.9976472894814232,generated_s1_to_s2,A
counterfactual_0002_01,sentinel1,before_P01,1,1.0,none,
counterfactual_0002_01,sentinel1,before_P02,2,1.0,none,
counterfactual_0002_01,sentinel1,before_P03,3,1.0,none,
counterfactual_0002_01,sentinel1,before_P04,4,1.0,none,
counterfactual_0002_01,sentinel1,before_P05,5,1.0,none,
counterfactual_0002_01,sentinel1,before_P06,6,1.0,none,
counterfactual_0002_01,sentinel1,before_P07,7,1.0,none,
counterfactual_0002_01,sentinel1,before_P08,8,1.0,none,
counterfactual_0002_01,sentinel1,before_P09,9,1.0,none,
counterfactual_0002_01,sentinel1,before_P10,10,1.0,none,
counterfactual_0002_01,sentinel1,after_P01,11,1.0,none,
counterfactual_0002_01,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0002_01,sentinel1,after_P03,13,1.0,none,
counterfactual_0002_01,sentinel1,after_P04,14,1.0,none,
counterfactual_0002_01,sentinel1,after_P05,15,,still_missing,
counterfactual_0002_01,sentinel1,after_P06,16,1.0,none,
counterfactual_0002_01,sentinel1,after_P07,17,1.0,none,
counterfactual_0002_01,sentinel1,after_P08,18,1.0,none,
counterfactual_0002_01,sentinel1,after_P09,19,1.0,none,
counterfactual_0002_01,sentinel1,after_P10,20,1.0,none,
counterfactual_0002_01,sentinel2,before_P01,1,0.8570728359964709,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,before_P02,2,1.0,none,
counterfactual_0002_01,sentinel2,before_P03,3,0.0,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,before_P04,4,1.0,none,
counterfactual_0002_01,sentinel2,before_P05,5,1.0,none,
counterfactual_0002_01,sentinel2,before_P06,6,0.5521027350259778,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,before_P07,7,0.0,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,before_P08,8,1.0,none,
counterfactual_0002_01,sentinel2,before_P09,9,1.0,none,
counterfactual_0002_01,sentinel2,before_P10,10,1.0,none,
counterfactual_0002_01,sentinel2,after_P01,11,1.0,none,
counterfactual_0002_01,sentinel2,after_P02,12,1.0,none,
counterfactual_0002_01,sentinel2,after_P03,13,0.0333300656798353,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,after_P04,14,1.0,none,
counterfactual_0002_01,sentinel2,after_P05,15,,still_missing,
counterfactual_0002_01,sentinel2,after_P06,16,0.9992157631604744,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,after_P07,17,0.2217429663758455,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,after_P08,18,0.0743064405450446,generated_s1_to_s2,A
counterfactual_0002_01,sentinel2,after_P09,19,1.0,none,
counterfactual_0002_01,sentinel2,after_P10,20,1.0,none,
counterfactual_0002_02,sentinel1,before_P01,1,1.0,none,
counterfactual_0002_02,sentinel1,before_P02,2,1.0,none,
counterfactual_0002_02,sentinel1,before_P03,3,1.0,none,
counterfactual_0002_02,sentinel1,before_P04,4,1.0,none,
counterfactual_0002_02,sentinel1,before_P05,5,1.0,none,
counterfactual_0002_02,sentinel1,before_P06,6,1.0,none,
counterfactual_0002_02,sentinel1,before_P07,7,1.0,none,
counterfactual_0002_02,sentinel1,before_P08,8,1.0,none,
counterfactual_0002_02,sentinel1,before_P09,9,1.0,none,
counterfactual_0002_02,sentinel1,before_P10,10,1.0,none,
counterfactual_0002_02,sentinel1,after_P01,11,1.0,none,
counterfactual_0002_02,sentinel1,after_P02,12,,generated_s2_to_s1,B
counterfactual_0002_02,sentinel1,after_P03,13,1.0,none,
counterfactual_0002_02,sentinel1,after_P04,14,1.0,none,
counterfactual_0002_02,sentinel1,after_P05,15,,still_missing,
counterfactual_0002_02,sentinel1,after_P06,16,1.0,none,
counterfactual_0002_02,sentinel1,after_P07,17,1.0,none,
counterfactual_0002_02,sentinel1,after_P08,18,1.0,none,
counterfactual_0002_02,sentinel1,after_P09,19,1.0,none,
counterfactual_0002_02,sentinel1,after_P10,20,1.0,none,
counterfactual_0002_02,sentinel2,before_P01,1,0.0,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P02,2,0.4884815214194686,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P03,3,0.2767375747475737,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P04,4,1.0,none,
counterfactual_0002_02,sentinel2,before_P05,5,0.8682482109597098,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P06,6,0.7081658660915596,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P07,7,0.0,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,before_P08,8,1.0,none,
counterfactual_0002_02,sentinel2,before_P09,9,1.0,none,
counterfactual_0002_02,sentinel2,before_P10,10,1.0,none,
counterfactual_0002_02,sentinel2,after_P01,11,1.0,none,
counterfactual_0002_02,sentinel2,after_P02,12,1.0,none,
counterfactual_0002_02,sentinel2,after_P03,13,0.7617880599941182,generated_s1_to_s2,A
counterfactual_0002_02,sentinel2,after_P04,14,1.0,none,
counterfactual_0002_02,sentinel2,after_P05,15,,still_missing,
counterfactual_0002_02,sentinel2,after_P06,16,0.6547397313988824,generated_s1_to_s2,A
