group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,method,repr
7,1,0.2553,0.245186257598048,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,2,0.1427,0.147949482325056,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,3,0.3623,0.464711701884398,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,4,0.0,-0.223379546012927,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
7,5,0.2397,0.365532104205161,9.99994439035756,False,1.0,0.999999999999736,4,1,chipmean,sentinel1,bspline,quantile
8,1,0.1159,0.0082708910026198,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,2,0.2066,0.222341283774979,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,3,0.3076,0.334201071861307,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,4,0.136,0.125485381711439,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
8,5,0.2339,0.309701371649585,9.99994439035756,False,1.0,0.999999999999929,5,0,chipmean,sentinel1,bspline,quantile
9,1,0.4428,0.516832421136333,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,2,0.2643,0.217599858955319,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,3,0.1701,0.251389576297605,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,4,0.0215,0.0057855992054337,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
9,5,0.1012,0.0082925444055602,9.99994439035756,False,0.9999,0.999900000000251,5,0,chipmean,sentinel1,bspline,quantile
1,1,0.224,0.223988772498139,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,2,0.0542,0.0541666125320379,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,3,0.0013,0.0013452680856817,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,4,0.5345,0.534500869183278,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
1,5,0.186,0.185998477700862,0.999933893038648,False,1.0,0.999999999999999,5,0,chipmean,sentinel2,covmat,quantile
2,1,0.0,-0.518776890995513,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,2,0.6124,0.746396605452969,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,3,0.0046,0.0685974717472675,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,4,0.2683,0.217292294231293,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
2,5,0.1148,0.486590519563983,0.999933893038648,False,1.0001,1.0001,4,1,chipmean,sentinel2,covmat,quantile
3,1,0.3901,0.467445269234766,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,quantile
3,2,0.0227,0.0787249487797224,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,quantile
3,3,0.0,-0.156317568034923,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,quantile
3,4,0.5871,0.610195456532258,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,quantile
3,5,0.0,-0.0001481065118225,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,quantile
4,1,0.5658,0.572326157805299,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
4,2,0.0386,0.0844849902668476,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
4,3,0.1616,0.161082828254443,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
4,4,0.2339,0.334174709055667,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
4,5,0.0,-0.152168685382257,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
5,1,0.1486,0.254672235937887,0.999933893038648,False,1.0,0.999999999999999,3,1,chipmean,sentinel2,covmat,quantile
5,2,0.6373,0.720953554625512,0.999933893038648,False,1.0,0.999999999999999,3,1,chipmean,sentinel2,covmat,quantile
5,3,0.0,-0.51125192024234,0.999933893038648,False,1.0,0.999999999999999,3,1,chipmean,sentinel2,covmat,quantile
5,4,0.0,0.258666822209824,0.999933893038648,False,1.0,0.999999999999999,3,1,chipmean,sentinel2,covmat,quantile
5,5,0.2141,0.276959307469116,0.999933893038648,False,1.0,0.999999999999999,3,1,chipmean,sentinel2,covmat,quantile
6,1,0.3077,0.290716900825337,0.999933893038648,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,quantile
6,2,0.6288,0.630723053693259,0.999933893038648,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,quantile
6,3,0.0,-0.0902653464916332,0.999933893038648,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,quantile
6,4,0.0635,0.134129222643701,0.999933893038648,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,quantile
6,5,0.0,0.0346961693293369,0.999933893038648,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,quantile
7,1,0.1208,0.12330120349053,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
7,2,0.6476,0.652646126472948,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
7,3,0.0,-0.0111619231482006,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
7,4,0.2312,0.234804447845383,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
7,5,0.0003,0.0003101453393396,0.999933893038648,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,quantile
8,1,0.1929,0.193370384355993,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,quantile
8,2,0.0558,0.0634624585811595,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,quantile
8,3,0.5105,0.510681535149273,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,quantile
8,4,0.0,-0.0087755794299729,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,quantile
8,5,0.2408,0.241261201343548,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,quantile
9,1,0.2059,0.243665691789992,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
9,2,0.0,-0.0389065106887914,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
9,3,0.6222,0.627165403224534,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
9,4,0.0,-0.0078735514074626,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
9,5,0.1719,0.17594896708173,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
10,1,0.637,0.671345055951105,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
10,2,0.2134,0.228020490947628,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
10,3,0.0,-0.109771434372087,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
10,4,0.1496,0.249795053378788,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
10,5,0.0,-0.0393891659054342,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,quantile
1,1,0.3972,0.400584872449755,0.999946746291923,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,chip_mean
1,2,0.009,0.0115336528723723,0.999946746291923,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,chip_mean
1,3,0.0,-0.0147618527495871,0.999946746291923,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,chip_mean
1,4,0.5902,0.594482321301185,0.999946746291923,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,chip_mean
1,5,0.0035,0.0080610061262748,0.999946746291923,False,0.9999,0.9999,4,1,chipmean,sentinel2,covmat,chip_mean
2,1,0.0,-0.16826228785176,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
2,2,0.5103,0.543692045756392,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
2,3,0.0766,0.111921814537345,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
2,4,0.4131,0.438815019569992,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
2,5,0.0,0.0738334079880304,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
3,1,0.3821,0.410040850347752,0.999946746291923,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,chip_mean
3,2,0.0,-0.0158559037485781,0.999946746291923,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,chip_mean
3,3,0.0,-0.0301676060866222,0.999946746291923,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,chip_mean
3,4,0.6179,0.63176933014487,0.999946746291923,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,chip_mean
3,5,0.0,0.0042133293425781,0.999946746291923,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,chip_mean
4,1,0.7613,0.782981533553442,0.999946746291923,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,chip_mean
4,2,0.0,-0.0384333723120119,0.999946746291923,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,chip_mean
4,3,0.1484,0.17720237567181,0.999946746291923,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,chip_mean
4,4,0.0903,0.1325803889034,0.999946746291923,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,chip_mean
4,5,0.0,-0.0543309258166399,0.999946746291923,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,chip_mean
5,1,0.2934,0.323974985968809,0.999946746291923,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,chip_mean
5,2,0.7066,0.74927458835719,0.999946746291923,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,chip_mean
5,3,0.0,-0.152844523666413,0.999946746291923,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,chip_mean
5,4,0.0,0.0385504505047536,0.999946746291923,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,chip_mean
5,5,0.0,0.0410444988356612,0.999946746291923,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,chip_mean
6,1,0.1846,0.192894486582575,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
6,2,0.7425,0.748955892998318,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
6,3,0.0,-0.0329004746150859,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
6,4,0.0,0.0032766222180353,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
6,5,0.0729,0.0877734728161576,0.999946746291923,False,1.0,1.0,3,1,chipmean,sentinel2,covmat,chip_mean
7,1,0.258,0.267624484212344,0.999946746291923,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,chip_mean
7,2,0.742,0.751336962522351,0.999946746291923,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,chip_mean
7,3,0.0,-0.0171685480315946,0.999946746291923,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,chip_mean
7,4,0.0,-0.0004257958767194,0.999946746291923,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,chip_mean
7,5,0.0,-0.0013671028263811,0.999946746291923,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,chip_mean
