arm,repr,site,test,test_rmse,train_rmse,n_test_dims
masked,gram,treatment_0007,P10,0.48023184966425936,0.44093909408301524,15
masked,gram,treatment_0008,P10,0.22942937741174613,0.8870991590232229,15
masked,gram,treatment_0009,P10,0.3120176267565261,0.7025042018747498,15
masked,gram,treatment_0010,P10,0.2512845230302428,0.9102458593805973,15
masked,combined,treatment_0001,P09,0.5964785126586365,0.541549025097849,115
masked,combined,treatment_0002,P09,0.5994143735393825,0.8994193931362046,115
masked,combined,treatment_0003,P09,0.5014887371190648,0.6359291582074615,115
masked,combined,treatment_0004,P09,1.1551795125648994,1.0110305800898511,115
masked,combined,treatment_0005,P09,0.8936757736292141,1.2770186418965215,115
masked,combined,treatment_0006,P09,0.6347848533078596,0.7715692134026588,115
masked,combined,treatment_0007,P09,0.5246441413133903,0.5949837204753136,115
masked,combined,treatment_0008,P09,0.7903082557789691,0.985696938098628,115
masked,combined,treatment_0009,P09,0.6382246333924144,0.7715402654244048,115
masked,combined,treatment_0010,P09,1.2555712839226423,0.8731311435477697,115
masked,combined,treatment_0001,P10,0.5353436931784546,0.5502956720247838,115
masked,combined,treatment_0002,P10,0.6604876472875626,0.8781250528128598,115
masked,combined,treatment_0003,P10,0.42196740555529033,0.6262816744053467,115
masked,combined,treatment_0004,P10,0.7080166176563372,1.0331363758248389,115
masked,combined,treatment_0005,P10,0.8317283974451241,1.2444063225559467,115
masked,combined,treatment_0006,P10,0.46330900773900013,0.7628600715857137,115
masked,combined,treatment_0007,P10,0.5592188267461806,0.587085599274722,115
masked,combined,treatment_0008,P10,0.526464039647235,0.9681042579085336,115
masked,combined,treatment_0009,P10,0.43775696146994997,0.7586379206942868,115
masked,combined,treatment_0010,P10,0.5054340142699845,0.9289776190021932,115
maskdrop,chip_mean,treatment_0001,P09,1.1618779959927463,0.7213577030910298,5
maskdrop,chip_mean,treatment_0002,P09,0.6576582106153771,0.7323868681711709,5
maskdrop,chip_mean,treatment_0003,P09,0.5019045845125639,0.29344738985951146,5
maskdrop,chip_mean,treatment_0004,P09,2.565304939666488,0.6902371729303062,5
maskdrop,chip_mean,treatment_0005,P09,1.4034796487307017,1.0838444964322345,5
maskdrop,chip_mean,treatment_0006,P09,0.954087748643247,0.2520542995476067,5
maskdrop,chip_mean,treatment_0007,P09,0.88128728069099,0.928132371378907,5
maskdrop,chip_mean,treatment_0008,P09,1.1425711857005136,0.41250648599859796,5
maskdrop,chip_mean,treatment_0009,P09,1.499630900752813,0.5519282265843676,5
maskdrop,chip_mean,treatment_0010,P09,1.4708764031264825,0.5951888275167191,5
maskdrop,chip_mean,treatment_0001,P10,0.48425486676823876,0.7651068807456417,5
maskdrop,chip_mean,treatment_0002,P10,0.5532708821329226,0.6889380314983727,5
maskdrop,chip_mean,treatment_0003,P10,0.3664686903351759,0.3041139362377096,5
maskdrop,chip_mean,treatment_0004,P10,0.6786293860444026,1.1109014240274093,5
maskdrop,chip_mean,treatment_0005,P10,0.8158416199118215,1.090594637439768,5
maskdrop,chip_mean,treatment_0006,P10,0.29779867796874565,0.42323724632636944,5
maskdrop,chip_mean,treatment_0007,P10,0.5575587879784062,0.8252485381628802,5
maskdrop,chip_mean,treatment_0008,P10,0.3291798789252831,0.5354242465479054,5
maskdrop,chip_mean,treatment_0009,P10,0.2112312340124782,0.6167095027552865,5
maskdrop,chip_mean,treatment_0010,P10,0.4565232632026789,0.7152256810971557,5
maskdrop,quantile,treatment_0001,P09,1.0202985400125781,0.8866051656210227,100
maskdrop,quantile,treatment_0002,P09,0.9044382790566419,0.9930476454329408,100
maskdrop,quantile,treatment_0003,P09,0.7030213121928663,0.6374033316931577,100
maskdrop,quantile,treatment_0004,P09,1.7979483949393966,0.9182170996095811,100
maskdrop,quantile,treatment_0005,P09,1.2112814246273764,1.1760518531266337,100
maskdrop,quantile,treatment_0006,P09,0.9027272970540932,0.591256735184484,100
maskdrop,quantile,treatment_0007,P09,0.7832558692056291,1.0971527042119444,100
maskdrop,quantile,treatment_0008,P09,1.168900079130004,0.6914956135289736,100
maskdrop,quantile,treatment_0009,P09,0.9559233166953032,1.130087915153369,100
maskdrop,quantile,treatment_0010,P09,1.5108361316654257,0.7401252849677294,100
maskdrop,quantile,treatment_0001,P10,0.7447274978773388,0.8890053205992101,100
maskdrop,quantile,treatment_0002,P10,0.8373113604097857,0.9503597852628477,100
maskdrop,quantile,treatment_0003,P10,0.5667545885426722,0.6350533711498618,100
maskdrop,quantile,treatment_0004,P10,0.8466200612890736,1.0784948327591684,100
maskdrop,quantile,treatment_0005,P10,1.0045569160006296,1.12652655640325,100
maskdrop,quantile,treatment_0006,P10,0.5622186116265483,0.655158419482168,100
maskdrop,quantile,treatment_0007,P10,0.6930606652267988,1.0358898883229286,100
maskdrop,quantile,treatment_0008,P10,0.6344018432351338,0.7589787132643312,100
maskdrop,quantile,treatment_0009,P10,0.5209549842683158,1.112353323572749,100
maskdrop,quantile,treatment_0010,P10,0.7075163088744431,0.8778069674406033,100
maskdrop,gram,treatment_0001,P09,1.1374555126017012,0.6362062240812428,15
maskdrop,gram,treatment_0002,P09,0.6000353050618117,0.7278595231988518,15
maskdrop,gram,treatment_0003,P09,0.5823133762021757,0.37494390516602527,15
maskdrop,gram,treatment_0004,P09,1.9701947889927427,0.6688553516505424,15
maskdrop,gram,treatment_0005,P09,1.2238764757930072,1.173498235542097,15
maskdrop,gram,treatment_0006,P09,1.004117744180655,0.2776771886933742,15
maskdrop,gram,treatment_0007,P09,1.1215660008837602,0.852424711363253,15
maskdrop,gram,treatment_0008,P09,1.1208882880429174,0.41230123232187266,15
