label,repr,period,treatment_site_id,group,rank,n_units,p_site,treated_magnitude,max_control_magnitude,sensor
maskdrop,combined,P11,treatment_0001,1,4,6,0.6666666666666666,1.10822497427601,1.6438062262134,sentinel2
maskdrop,combined,P11,treatment_0002,2,1,6,0.16666666666666666,1.05958383096663,1.05681722094638,sentinel2
maskdrop,combined,P11,treatment_0003,3,2,6,0.3333333333333333,0.981386081032091,1.00325141653302,sentinel2
maskdrop,combined,P11,treatment_0004,4,5,6,0.8333333333333334,0.883898309480074,1.2280324027555,sentinel2
maskdrop,combined,P11,treatment_0005,5,3,6,0.5,1.20648288201835,1.59273328589158,sentinel2
maskdrop,combined,P11,treatment_0006,6,3,6,0.5,1.06761371782396,1.36788934728907,sentinel2
maskdrop,combined,P11,treatment_0007,7,2,6,0.3333333333333333,1.4082436720367,1.43115007549856,sentinel2
maskdrop,combined,P11,treatment_0008,8,1,6,0.16666666666666666,1.22588864231223,1.13980378858635,sentinel2
maskdrop,combined,P11,treatment_0009,9,4,6,0.6666666666666666,1.03104452072562,1.73932458052789,sentinel2
maskdrop,combined,P11,treatment_0010,10,4,6,0.6666666666666666,1.12561383380281,1.37111366487671,sentinel2
