sensor,treatment_site_id,period,latent_gap_norm,latent_frac_outside_01,treated_latent_present,donors_present
sentinel2,treatment_0008,P11,1.216841126691171,0.0,True,True
sentinel2,treatment_0008,P12,1.320231904988474,0.0,True,True
sentinel2,treatment_0008,P13,1.1623573975439987,0.0,True,True
sentinel2,treatment_0008,P14,1.2321913873357593,0.0,True,True
sentinel2,treatment_0008,P15,,,True,False
sentinel2,treatment_0008,P16,0.6613458592096234,0.0,True,True
sentinel2,treatment_0008,P17,1.4242195280260412,0.0,True,True
sentinel2,treatment_0008,P18,0.8326765203684844,0.0,True,True
sentinel2,treatment_0008,P19,1.2812969851768936,0.0,True,True
sentinel2,treatment_0008,P20,1.4420782735457014,0.0,True,True
sentinel2,treatment_0009,P11,1.3156405948620067,0.0,True,True
sentinel2,treatment_0009,P12,1.3600885363228181,0.0,True,True
sentinel2,treatment_0009,P13,0.744572569165231,0.0,True,True
sentinel2,treatment_0009,P14,1.2688824005393273,0.0,True,True
sentinel2,treatment_0009,P15,,,True,False
sentinel2,treatment_0009,P16,0.8630440912205865,0.0,True,True
sentinel2,treatment_0009,P17,1.577886838608282,0.0,True,True
sentinel2,treatment_0009,P18,0.8786654946730847,0.0,True,True
sentinel2,treatment_0009,P19,1.3817113814530995,0.0,True,True
sentinel2,treatment_0009,P20,1.4433372575125505,0.0,True,True
sentinel2,treatment_0010,P11,1.313049837771898,0.0,True,True
sentinel2,treatment_0010,P12,1.3248228612875899,0.0,True,True
sentinel2,treatment_0010,P13,0.6145563041518491,0.0,True,True
sentinel2,treatment_0010,P14,1.3170774505809346,0.0,True,True
sentinel2,treatment_0010,P15,,,True,False
sentinel2,treatment_0010,P16,1.08036797875335,0.0,True,True
sentinel2,treatment_0010,P17,1.3287550816827878,0.0,True,True
sentinel2,treatment_0010,P18,0.8281359359712178,0.0,True,True
sentinel2,treatment_0010,P19,1.293865567321579,0.0,True,True
sentinel2,treatment_0010,P20,1.4244896110609082,0.0,True,True
