sensor,method,site,band,err,sd
sentinel2,synth_bands,treatment_0002,B8,0.009424537420272827,0.06917707622051239
sentinel2,synth_bands,treatment_0002,B11,0.010384976863861084,0.0362948440015316
sentinel2,synth_bands,treatment_0002,B12,0.013209626078605652,0.028454743325710297
sentinel2,synth_bands,treatment_0002,NDVI,-0.16082996129989624,0.11497209966182709
sentinel2,synth_bands,treatment_0002,NDWI,0.1762021780014038,0.09809047728776932
sentinel2,synth_tm5,treatment_0002,B2,0.04535979777574539,0.02821251191198826
sentinel2,synth_tm5,treatment_0002,B3,0.04475924000144005,0.02412761002779007
sentinel2,synth_tm5,treatment_0002,B4,0.04333349131047726,0.02600637823343277
sentinel2,synth_tm5,treatment_0002,B8,0.019252032041549683,0.06917707622051239
sentinel2,synth_tm5,treatment_0002,B11,0.010186269879341125,0.0362948440015316
sentinel2,synth_tm5,treatment_0002,B12,0.020646139979362488,0.028454743325710297
sentinel2,synth_tm5,treatment_0002,NDVI,-0.19413721561431885,0.11497209966182709
sentinel2,synth_tm5,treatment_0002,NDWI,0.18220245838165283,0.09809047728776932
sentinel2,synth_lat980,treatment_0002,B2,0.037903934717178345,0.02821251191198826
sentinel2,synth_lat980,treatment_0002,B3,0.0367286391556263,0.02412761002779007
sentinel2,synth_lat980,treatment_0002,B4,0.04333391599357128,0.02600637823343277
sentinel2,synth_lat980,treatment_0002,B8,0.017034918069839478,0.06917707622051239
sentinel2,synth_lat980,treatment_0002,B11,-0.0008595883846282959,0.0362948440015316
sentinel2,synth_lat980,treatment_0002,B12,0.025586195290088654,0.028454743325710297
sentinel2,synth_lat980,treatment_0002,NDVI,-0.1966489553451538,0.11497209966182709
sentinel2,synth_lat980,treatment_0002,NDWI,0.15229690074920654,0.09809047728776932
sentinel2,synth_equal,treatment_0002,B2,0.048105962574481964,0.02821251191198826
sentinel2,synth_equal,treatment_0002,B3,0.04477837309241295,0.02412761002779007
sentinel2,synth_equal,treatment_0002,B4,0.046814216300845146,0.02600637823343277
sentinel2,synth_equal,treatment_0002,B8,0.01930144429206848,0.06917707622051239
sentinel2,synth_equal,treatment_0002,B11,0.0075637102127075195,0.0362948440015316
sentinel2,synth_equal,treatment_0002,B12,0.03001156449317932,0.028454743325710297
sentinel2,synth_equal,treatment_0002,NDVI,-0.20922553539276123,0.11497209966182709
sentinel2,synth_equal,treatment_0002,NDWI,0.1823154091835022,0.09809047728776932
sentinel2,floor,treatment_0003,B2,0.028858697041869164,0.02821251191198826
sentinel2,floor,treatment_0003,B3,0.03198789805173874,0.02412761002779007
sentinel2,floor,treatment_0003,B4,0.025704264640808105,0.02600637823343277
sentinel2,floor,treatment_0003,B8,-0.020389527082443237,0.06917707622051239
sentinel2,floor,treatment_0003,B11,0.019181013107299805,0.0362948440015316
sentinel2,floor,treatment_0003,B12,0.020121175795793533,0.028454743325710297
sentinel2,floor,treatment_0003,NDVI,-0.1377713680267334,0.11497209966182709
sentinel2,floor,treatment_0003,NDWI,0.15584582090377808,0.09809047728776932
sentinel2,synth_bands,treatment_0003,B2,0.029379161074757576,0.02821251191198826
sentinel2,synth_bands,treatment_0003,B3,0.03384701907634735,0.02412761002779007
sentinel2,synth_bands,treatment_0003,B4,0.028769642114639282,0.02600637823343277
sentinel2,synth_bands,treatment_0003,B8,-0.034684985876083374,0.06917707622051239
sentinel2,synth_bands,treatment_0003,B11,0.018774941563606262,0.0362948440015316
sentinel2,synth_bands,treatment_0003,B12,0.02570703998208046,0.028454743325710297
sentinel2,synth_bands,treatment_0003,NDVI,-0.1634085774421692,0.11497209966182709
sentinel2,synth_bands,treatment_0003,NDWI,0.17823708057403564,0.09809047728776932
sentinel2,synth_tm5,treatment_0003,B2,0.03832687996327877,0.02821251191198826
sentinel2,synth_tm5,treatment_0003,B3,0.04029933363199234,0.02412761002779007
sentinel2,synth_tm5,treatment_0003,B4,0.036976102739572525,0.02600637823343277
sentinel2,synth_tm5,treatment_0003,B8,-0.02696499228477478,0.06917707622051239
sentinel2,synth_tm5,treatment_0003,B11,0.004072129726409912,0.0362948440015316
sentinel2,synth_tm5,treatment_0003,B12,0.023510780185461044,0.028454743325710297
sentinel2,synth_tm5,treatment_0003,NDVI,-0.19611883163452148,0.11497209966182709
sentinel2,synth_tm5,treatment_0003,NDWI,0.1967589259147644,0.09809047728776932
sentinel2,synth_lat980,treatment_0003,B2,0.04086740501224995,0.02821251191198826
sentinel2,synth_lat980,treatment_0003,B3,0.04061155021190643,0.02412761002779007
sentinel2,synth_lat980,treatment_0003,B4,0.03751303628087044,0.02600637823343277
sentinel2,synth_lat980,treatment_0003,B8,-0.02200499176979065,0.06917707622051239
sentinel2,synth_lat980,treatment_0003,B11,0.012161210179328918,0.0362948440015316
sentinel2,synth_lat980,treatment_0003,B12,0.030141521245241165,0.028454743325710297
sentinel2,synth_lat980,treatment_0003,NDVI,-0.1943567395210266,0.11497209966182709
sentinel2,synth_lat980,treatment_0003,NDWI,0.19274133443832397,0.09809047728776932
sentinel2,synth_equal,treatment_0003,B2,0.03644492290914059,0.02821251191198826
sentinel2,synth_equal,treatment_0003,B3,0.03842849284410477,0.02412761002779007
sentinel2,synth_equal,treatment_0003,B4,0.036810241639614105,0.02600637823343277
sentinel2,synth_equal,treatment_0003,B8,-0.025943785905838013,0.06917707622051239
sentinel2,synth_equal,treatment_0003,B11,0.00614243745803833,0.0362948440015316
sentinel2,synth_equal,treatment_0003,B12,0.02558114007115364,0.028454743325710297
sentinel2,synth_equal,treatment_0003,NDVI,-0.1945490837097168,0.11497209966182709
sentinel2,synth_equal,treatment_0003,NDWI,0.1881190538406372,0.09809047728776932
sentinel2,floor,treatment_0004,B2,0.02581724524497986,0.02821251191198826
sentinel2,floor,treatment_0004,B3,0.029424410313367844,0.02412761002779007
sentinel2,floor,treatment_0004,B4,0.028600569814443588,0.02600637823343277
sentinel2,floor,treatment_0004,B8,-0.0011666715145111084,0.06917707622051239
sentinel2,floor,treatment_0004,B11,0.00521521270275116,0.0362948440015316
sentinel2,floor,treatment_0004,B12,0.006254866719245911,0.028454743325710297
sentinel2,floor,treatment_0004,NDVI,-0.1350364089012146,0.11497209966182709
sentinel2,floor,treatment_0004,NDWI,0.12998628616333008,0.09809047728776932
sentinel2,synth_bands,treatment_0004,B2,0.02340635284781456,0.02821251191198826
sentinel2,synth_bands,treatment_0004,B3,0.02135489508509636,0.02412761002779007
sentinel2,synth_bands,treatment_0004,B4,0.018692482262849808,0.02600637823343277
sentinel2,synth_bands,treatment_0004,B8,-0.01355201005935669,0.06917707622051239
sentinel2,synth_bands,treatment_0004,B11,-0.02918626368045807,0.0362948440015316
sentinel2,synth_bands,treatment_0004,B12,0.00213487446308136,0.028454743325710297
sentinel2,synth_bands,treatment_0004,NDVI,-0.10584825277328491,0.11497209966182709
sentinel2,synth_bands,treatment_0004,NDWI,0.1116938591003418,0.09809047728776932
sentinel2,synth_tm5,treatment_0004,B2,0.017359301447868347,0.02821251191198826
sentinel2,synth_tm5,treatment_0004,B3,0.01807035133242607,0.02412761002779007
sentinel2,synth_tm5,treatment_0004,B4,0.009187515825033188,0.02600637823343277
sentinel2,synth_tm5,treatment_0004,B8,0.0009362697601318359,0.06917707622051239
sentinel2,synth_tm5,treatment_0004,B11,-0.04390996694564819,0.0362948440015316
sentinel2,synth_tm5,treatment_0004,B12,-0.02192842960357666,0.028454743325710297
sentinel2,synth_tm5,treatment_0004,NDVI,-0.04856783151626587,0.11497209966182709
sentinel2,synth_tm5,treatment_0004,NDWI,0.08194994926452637,0.09809047728776932
sentinel2,synth_lat980,treatment_0004,B2,0.016381286084651947,0.02821251191198826
sentinel2,synth_lat980,treatment_0004,B3,0.01720505580306053,0.02412761002779007
sentinel2,synth_lat980,treatment_0004,B4,0.00834536924958229,0.02600637823343277
sentinel2,synth_lat980,treatment_0004,B8,-0.0035972297191619873,0.06917707622051239
sentinel2,synth_lat980,treatment_0004,B11,-0.05133996903896332,0.0362948440015316
sentinel2,synth_lat980,treatment_0004,B12,-0.023506782948970795,0.028454743325710297
sentinel2,synth_lat980,treatment_0004,NDVI,-0.04894077777862549,0.11497209966182709
sentinel2,synth_lat980,treatment_0004,NDWI,0.08336341381072998,0.09809047728776932
sentinel2,synth_equal,treatment_0004,B2,0.01244352012872696,0.02821251191198826
sentinel2,synth_equal,treatment_0004,B3,0.011005725711584091,0.02412761002779007
sentinel2,synth_equal,treatment_0004,B4,0.010678604245185852,0.02600637823343277
sentinel2,synth_equal,treatment_0004,B8,-0.00459405779838562,0.06917707622051239
sentinel2,synth_equal,treatment_0004,B11,-0.051879480481147766,0.0362948440015316
sentinel2,synth_equal,treatment_0004,B12,-0.018038809299468994,0.028454743325710297
sentinel2,synth_equal,treatment_0004,NDVI,-0.06102776527404785,0.11497209966182709
sentinel2,synth_equal,treatment_0004,NDWI,0.05737626552581787,0.09809047728776932
sentinel2,floor,treatment_0005,B2,0.02180364727973938,0.02821251191198826
sentinel2,floor,treatment_0005,B3,0.030893877148628235,0.02412761002779007
sentinel2,floor,treatment_0005,B4,0.019562486559152603,0.02600637823343277
sentinel2,floor,treatment_0005,B8,0.009660512208938599,0.06917707622051239
sentinel2,floor,treatment_0005,B11,-0.0010979324579238892,0.0362948440015316
sentinel2,floor,treatment_0005,B12,0.0037205442786216736,0.028454743325710297
sentinel2,floor,treatment_0005,NDVI,-0.10451513528823853,0.11497209966182709
sentinel2,floor,treatment_0005,NDWI,0.14353591203689575,0.09809047728776932
sentinel2,synth_bands,treatment_0005,B2,0.04606107622385025,0.02821251191198826
sentinel2,synth_bands,treatment_0005,B3,0.05448482185602188,0.02412761002779007
sentinel2,synth_bands,treatment_0005,B4,0.05102916061878204,0.02600637823343277
sentinel2,synth_bands,treatment_0005,B8,0.02930140495300293,0.06917707622051239
sentinel2,synth_bands,treatment_0005,B11,0.058299511671066284,0.0362948440015316
sentinel2,synth_bands,treatment_0005,B12,0.048572130501270294,0.028454743325710297
sentinel2,synth_bands,treatment_0005,NDVI,-0.22923040390014648,0.11497209966182709
sentinel2,synth_bands,treatment_0005,NDWI,0.2167707085609436,0.09809047728776932
