site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,w_max,arm,sensor,n_donors
treatment_0009,P10,0.3149764396658253,0.4199059265169839,0.5489102791167443,0.7218537590284192,True,True,True,0.4333247423066778,ch_joint_dm,sentinel1,
treatment_0010,P10,0.32844977643891804,0.34688098230108416,0.7165749424859096,0.7364462635713951,True,True,True,0.3066396730746888,ch_joint_dm,sentinel1,
treatment_0001,P09,0.35550726058287574,0.3062013363491413,0.8132963402049226,0.5103225728484599,True,True,True,0.9825266654782718,ch_per,sentinel2,
treatment_0002,P09,0.34285546453287785,0.6334075934105058,0.42366525030768176,0.33891673514926474,True,True,False,0.5858648983285627,ch_per,sentinel2,
treatment_0003,P09,0.3819096089940767,0.45711871241566165,0.8217699692087753,0.31244286539540356,True,True,False,0.9995106246932822,ch_per,sentinel2,
treatment_0004,P09,1.362257707309344,0.6949793520392159,0.8308324667063524,1.2966785285431006,False,False,False,1.0,ch_per,sentinel2,
treatment_0005,P09,0.8892763243458208,1.139556148056998,0.7568818580614415,0.7081847704239812,True,False,False,1.0,ch_per,sentinel2,
treatment_0006,P09,0.39825367005168066,0.3932568225759441,0.5069375113810298,0.35159670608840704,True,True,False,0.8390735753718501,ch_per,sentinel2,
treatment_0007,P09,0.33833455484187974,0.31054024143159586,0.6910553737220734,0.18506851332596633,True,True,False,0.9020378428246553,ch_per,sentinel2,
treatment_0008,P09,0.26675701696319776,0.6613447472428934,0.552039669706479,0.39998010331195943,True,True,True,1.0,ch_per,sentinel2,
treatment_0009,P09,0.49476881453641913,0.5718329200488514,0.5375520659432215,0.19093309085208046,True,True,False,0.9779592555280114,ch_per,sentinel2,
treatment_0010,P09,1.141052104013441,0.8063092429046653,2.136453333298418,1.0501804114669564,True,True,False,1.0,ch_per,sentinel2,
treatment_0001,P10,0.3492421521114814,0.3113022937824501,0.5783862105871703,0.8674325269882801,True,True,True,0.9762974059559643,ch_per,sentinel2,
treatment_0002,P10,0.4244889265528441,0.6169483337174982,1.1305797072378,0.59350061954942,True,True,True,0.5794330138956001,ch_per,sentinel2,
treatment_0003,P10,0.15156894046575042,0.4547500455255287,1.0563467734065954,0.16303055220936596,True,True,True,0.9876124572274233,ch_per,sentinel2,
treatment_0004,P10,0.5248658466852768,0.7977067648557058,0.5624748470265789,0.7390226489134908,True,True,True,1.0,ch_per,sentinel2,
treatment_0005,P10,0.587806215197602,1.1197406992961054,0.7625504022439338,0.7701907687665112,True,True,True,0.9999999999999998,ch_per,sentinel2,
