fill,sensor,n,m,n_sites,N,h_median,h_interior,n_selected_mean,most_recent_only,oldest_only,n_eff_mean,mse_pre_mean,passes_nu,delta_rms_mean,placebo_sites,placebo_rmse,placebo_rmse_raw,placebo_rmse_ownmean,placebo_beats_ownmean,nc_sites,nc_rank1,nc_p_mean,nc_controls_mean
chipmean,sentinel2,3,5,15,3,0.5011872336272725,15,1.0,15,0,1.0,0.018353447655218482,0,0.25155643542767075,,,,,,15,1,0.5575757575757575,1.67494708994709
chipmean,sentinel2,3,6,15,2,0.5011872336272725,15,1.0,15,0,1.0,0.01827671960153117,0,0.25155643542767075,,,,,,15,1,0.5575757575757575,1.67494708994709
chipmean,sentinel2,3,7,15,1,0.5011872336272725,15,1.0,15,15,1.0,0.01846107359668119,0,0.25155643542767075,,,,,,15,0,0.5636363636363636,1.3082804232804233
histfill,sentinel1,2,2,12,7,0.7126427896022376,12,1.0,12,0,1.0,0.004312161744899661,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,3,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.004179966905668328,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,4,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.004062358830215897,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,5,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.003959492414780258,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,6,12,3,0.7126427896022376,12,1.0,12,0,1.0,0.00387179851187429,0,0.23670253941510655,12.0,0.23031310020330653,0.2666431458414601,0.23601995607956275,11.0,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,7,12,2,0.7126427896022376,12,1.0,12,0,1.0,0.0037999868625569083,0,0.23670253941510655,,,,,,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,2,8,12,1,0.7126427896022376,12,1.0,12,12,1.0,0.0037450508849763233,0,0.23670253941510655,,,,,,12,0,0.6363636363636364,1.1087301587301586
histfill,sentinel1,3,2,12,6,0.7126427896022376,12,1.0,12,0,1.0,0.009378113559743623,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel1,3,3,12,5,0.7126427896022376,12,1.0,12,0,1.0,0.00910549920140502,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel1,3,4,12,4,0.7126427896022376,12,1.0,12,0,1.0,0.008865837732021585,0,0.24028276579965516,12.0,0.2477637438589871,0.30219284953589126,0.2451810143429878,2.0,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel1,3,5,12,3,0.7126427896022376,12,1.0,12,0,1.0,0.008659868967141984,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel1,3,6,12,2,0.7126427896022376,12,1.0,12,0,1.0,0.008488955827970554,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel1,3,7,12,1,0.7126427896022376,12,1.0,12,12,1.0,0.008355093254598286,0,0.24028276579965516,,,,,,12,0,0.5909090909090909,1.2884259259259259
histfill,sentinel2,2,2,15,7,0.5011872336272725,15,1.0,15,0,1.0,0.007801739519074552,0,0.224624854946792,15.0,0.21726268769792814,0.24129856959643126,0.2439112709570178,14.0,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,3,15,6,0.5011872336272725,15,1.0,15,0,1.0,0.007633438411095637,0,0.224624854946792,15.0,0.21726268769792814,0.24129856959643126,0.2439112709570178,14.0,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,4,15,5,0.5011872336272725,15,1.0,15,0,1.0,0.0075135297694977204,0,0.224624854946792,15.0,0.21726268769792814,0.24129856959643126,0.2439112709570178,14.0,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,5,15,4,0.5011872336272725,15,1.0,15,0,1.0,0.007400266076721001,0,0.224624854946792,15.0,0.21726268769792814,0.24129856959643126,0.2439112709570178,14.0,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,6,15,3,0.5011872336272725,15,1.0,15,0,1.0,0.007316769847966586,0,0.224624854946792,15.0,0.21726268769792814,0.24129856959643126,0.2439112709570178,14.0,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,7,15,2,0.5011872336272725,15,1.0,15,0,1.0,0.0072770962364003084,0,0.224624854946792,,,,,,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,2,8,15,1,0.5011872336272725,15,1.0,15,15,1.0,0.0073623384341308575,0,0.224624854946792,,,,,,15,1,0.5696969696969697,1.9036507936507936
histfill,sentinel2,3,2,15,6,0.5011872336272725,15,1.0,15,0,1.0,0.016722969682578585,0,0.2456503172370315,15.0,0.237107807047889,0.2970992461353072,0.2525201574576875,10.0,15,1,0.5454545454545455,1.8646560846560847
