sensor,treatment_site_id,scheme,eval_period,valid_rmse_scm,valid_rmse_ascm,valid_rmse_ridge_cv,valid_rmse_ridge_cv_intercept,valid_rmse_ridge_paper,valid_rmse_ridge_unitnorm,null_rmse,best_method,best_rmse,gain_over_null,beats_null,beats_mean_baseline
sentinel1,treatment_0004,expanding,P09,1.0719831658701138,1.0719831664450636,0.9829038085865615,0.9821423912490321,0.9831818358146897,0.9823834355565925,0.9834307967178678,ridge_cv_intercept,0.9821423912490321,0.001288405468835685,True,True
sentinel1,treatment_0004,expanding,P10,1.059868066344029,1.05986806288792,0.9823770040539814,0.9825000994597303,0.9823400817439044,0.9831474553523215,0.9856726654750979,ridge_paper,0.9823400817439044,0.0033325837311934947,True,True
sentinel1,treatment_0005,frozen_joint,pooled,1.0646201493024294,1.0646201492911327,0.9731932507511039,0.9739190172022819,0.9732851542965939,0.9730558951693136,0.9735072536511369,ridge_unitnorm,0.9730558951693136,0.0004513584818233163,True,True
sentinel1,treatment_0005,expanding,P09,1.0635993993171668,1.0635993993138197,0.9655856984618916,0.966076682294374,0.9656070921231615,0.9657235365757733,0.9664572657695615,ridge_cv,0.9655856984618916,0.0008715673076699071,True,True
sentinel1,treatment_0005,expanding,P10,1.0659601559252327,1.0659601559660672,0.9809548968008991,0.9817201252173297,0.9811620919844433,0.9804620210818776,0.9805065523819722,ridge_unitnorm,0.9804620210818776,4.453130009451911e-05,True,True
sentinel1,treatment_0006,frozen_joint,pooled,1.0821579671005093,1.0821579670204475,1.003387665014294,1.0028643579002685,1.0034568339496517,1.0036003163930876,1.0048945638482,ridge_cv_intercept,1.0028643579002685,0.0020302059479315737,True,False
sentinel1,treatment_0006,expanding,P09,1.0683103673910308,1.0683103731124126,0.9955988433559224,0.9948809742033461,0.9955583567296156,0.9961881785904001,0.9979684837466997,ridge_cv_intercept,0.9948809742033461,0.0030875095433535726,True,True
sentinel1,treatment_0006,expanding,P10,1.0955164018660142,1.0955163886884802,1.0107810853821504,1.0104487906004638,1.010882054251518,1.0107506376599842,1.0117732326720459,ridge_cv_intercept,1.0104487906004638,0.0013244420715821104,True,False
sentinel1,treatment_0007,frozen_joint,pooled,1.0508336504887548,1.0508336494616053,0.9942017852632173,0.9951168232422,0.9941825440615182,0.9960282435890279,1.0011745904984362,ridge_paper,0.9941825440615182,0.006992046436917976,True,True
sentinel1,treatment_0007,expanding,P09,1.0540963254167872,1.054096323695546,0.9971240393190851,0.9987536196206507,0.9970870239458124,0.9992644939194992,1.0048347296831606,ridge_paper,0.9970870239458124,0.007747705737348176,True,True
sentinel1,treatment_0007,expanding,P10,1.0475132056312397,1.0475132056089729,0.9912263260694303,0.991261434339053,0.9912281796425545,0.9927241052682395,0.9975010212235333,ridge_cv,0.9912263260694303,0.0062746951541030604,True,True
sentinel1,treatment_0008,frozen_joint,pooled,1.052431904366319,1.0524319072388515,0.9846355647294065,0.9846317283740043,0.984601487383948,0.9852702067693432,0.987145011168258,ridge_paper,0.984601487383948,0.002543523784309998,True,True
sentinel1,treatment_0008,expanding,P09,1.0593164124268981,1.059316416245219,0.9850132787859166,0.9850184957671011,0.9850478112848177,0.9853573030137177,0.9868866316103073,ridge_cv,0.9850132787859166,0.0018733528243907172,True,True
sentinel1,treatment_0008,expanding,P10,1.0454411434646242,1.0454411439892861,0.984149121646311,0.9840971919345259,0.9840698688357109,0.9851533020602514,0.9874033231145326,ridge_paper,0.9840698688357109,0.0033334542788217014,True,True
sentinel1,treatment_0009,frozen_joint,pooled,1.0549725966481789,1.0549725982919165,0.9901083665035834,0.9902344009455212,0.990190969203357,0.990316208605576,0.9930290850532981,ridge_cv,0.9901083665035834,0.0029207185497147625,True,True
sentinel1,treatment_0009,expanding,P09,1.0572733608501497,1.057273363233901,0.9931936871043399,0.9932688572255011,0.9932698326071706,0.993500709970795,0.9963715844237198,ridge_cv,0.9931936871043399,0.0031778973193798965,True,True
sentinel1,treatment_0009,expanding,P10,1.052413924728391,1.052413925540941,0.9868075982825523,0.9869448846308161,0.9868719935226019,0.9870663700721118,0.9896752968911304,ridge_cv,0.9868075982825523,0.002867698608578162,True,True
sentinel1,treatment_0010,frozen_joint,pooled,1.0405352643061878,1.0405352642839873,0.9811214358431648,0.9806649577400831,0.9810950555581625,0.9823514678758868,0.9854809964587485,ridge_cv_intercept,0.9806649577400831,0.004816038718665427,True,True
sentinel1,treatment_0010,expanding,P09,1.0344287615718546,1.034428761527275,0.9755067978246968,0.9750464463465208,0.9754522585914488,0.9770790982915498,0.9805779708515574,ridge_cv_intercept,0.9750464463465208,0.005531524505036578,True,True
sentinel1,treatment_0010,expanding,P10,1.0465395285656416,1.0465395338806887,0.9867379961523877,0.9859172337441224,0.9867460773435732,0.9875779528676746,0.9903597486990766,ridge_cv_intercept,0.9859172337441224,0.00444251495495418,True,True
sentinel2,treatment_0001,frozen_joint,pooled,1.067952439604171,1.0679524398134501,1.0195137086655282,1.0237556398001861,1.0234780311965956,1.0167303623974742,1.0601625466663744,ridge_unitnorm,1.0167303623974742,0.043432184268900276,True,False
sentinel2,treatment_0001,expanding,P09,0.9054418393211714,0.9054418411357343,0.8896696126386635,0.8945668015067509,0.8785693310911612,0.8818531310983202,0.9677880891912645,ridge_paper,0.8785693310911612,0.08921875810010327,True,True
sentinel2,treatment_0001,expanding,P10,1.2072574893206067,1.207257442151391,1.138256591926521,1.1403866510280216,1.1607053397808595,1.1386318469461072,1.1451093681949276,ridge_cv,1.138256591926521,0.006852776268406524,True,False
sentinel2,treatment_0002,frozen_joint,pooled,1.1321613797946901,1.132161385897488,1.1024065835317833,1.0998103301240882,1.1050501255156224,1.0524820474468182,0.9999736819820134,ridge_unitnorm,1.0524820474468182,-0.05250836546480475,False,False
sentinel2,treatment_0002,expanding,P09,1.0577747456754358,1.0577747530731918,1.0319537167542054,1.0295464636470937,1.0335988824572766,0.9915365454489301,0.9647987139406273,ridge_unitnorm,0.9915365454489301,-0.02673783150830278,False,True
sentinel2,treatment_0002,expanding,P10,1.1803003558594132,1.1803003620313812,1.1359981276058309,1.132848986575293,1.1444449186492638,1.0951967490291297,1.0339526927726632,ridge_unitnorm,1.0951967490291297,-0.06124405625646645,False,False
sentinel2,treatment_0003,frozen_joint,pooled,1.0168549896165109,1.0168549924861834,0.8867777774854549,0.8744926519969414,0.9413187538202559,0.8807756255349548,0.8473389276852984,ridge_cv_intercept,0.8744926519969414,-0.02715372431164298,False,True
sentinel2,treatment_0003,expanding,P09,1.106470639083454,1.106470643392242,0.915626816887986,0.905186214400144,0.9905453218774701,0.9066209167059462,0.8262592216979818,ridge_cv_intercept,0.905186214400144,-0.07892699270216219,False,True
sentinel2,treatment_0003,expanding,P10,0.9226614973065101,0.9226615301695215,0.853574202385498,0.831875060181008,0.8806842370164163,0.8531102771972018,0.8679068010453588,ridge_cv_intercept,0.831875060181008,0.03603174086435079,True,True
sentinel2,treatment_0004,frozen_joint,pooled,0.7300610487024013,0.7300610508520857,0.7162005665720305,0.716276783115939,0.7162042353452217,0.8027336933225919,0.9905108727600017,ridge_cv,0.7162005665720305,0.27431030618797125,True,True
sentinel2,treatment_0004,expanding,P09,0.7278669917908669,0.7278669929440175,0.7114484543464487,0.7116694854669152,0.7114527874036225,0.7953469128284282,0.9747416798808031,ridge_cv,0.7114484543464487,0.2632932255343544,True,True
sentinel2,treatment_0004,expanding,P10,0.730080867751268,0.7300808729121109,0.718525317439775,0.7185084770962722,0.7185260038043625,0.8047075358662377,1.0060329197470184,ridge_cv_intercept,0.7185084770962722,0.28752444265074617,True,True
sentinel2,treatment_0005,frozen_joint,pooled,0.9745149623904286,0.9745149664663824,0.9729260446536789,0.9729731460846438,0.9827327912037085,0.9765968892014537,1.0373389168753249,ridge_cv,0.9729260446536789,0.06441287222164593,True,True
sentinel2,treatment_0005,expanding,P09,0.8843013408881414,0.884301347691692,0.9106994882907438,0.9107187469291342,0.9149166737751449,0.9270066200474769,1.0085169287060762,scm,0.8843013408881414,0.12421558781793485,True,True
sentinel2,treatment_0005,expanding,P10,1.0567100313676967,1.0567100325525693,1.0334111520732436,1.0334002336813015,1.0451311802157068,1.025201772677596,1.0653814628767515,ridge_unitnorm,1.025201772677596,0.04017969019915557,True,False
sentinel2,treatment_0006,frozen_joint,pooled,1.0330803373286517,1.0330803359298044,0.9731224844412677,0.968810541417951,0.9834462436344014,0.9728277040832425,1.0059028688264402,ridge_cv_intercept,0.968810541417951,0.03709232740848922,True,True
sentinel2,treatment_0006,expanding,P09,0.9027776557613477,0.9027776511241845,0.8985145324325123,0.8953154342043813,0.8809649948278863,0.902165663039205,0.997467201651089,ridge_paper,0.8809649948278863,0.11650220682320278,True,True
sentinel2,treatment_0006,expanding,P10,1.1573540401576157,1.1573540412561072,1.0543730994133391,1.0489513777809134,1.0844238982216627,1.0421354932231564,1.0142683790086677,ridge_unitnorm,1.0421354932231564,-0.02786711421448862,False,False
sentinel2,treatment_0007,frozen_joint,pooled,1.0904108426787142,1.0904107337830615,1.0596055238372728,1.0462508537509907,1.0805795427735647,0.990577968898874,0.9671176084866188,ridge_unitnorm,0.990577968898874,-0.023460360412255188,False,True
sentinel2,treatment_0007,expanding,P09,1.1123541270840056,1.1123539447292037,1.0902394176651362,1.0807096856036738,1.1123349085018244,1.014207780308798,0.981778077730158,ridge_unitnorm,1.014207780308798,-0.032429702578640085,False,False
