fill,sensor,seq,period,n_rows,lam,lam_flag,n_leverage_one,kind,r2_ch1,r2_ch2,r2_ch3,r2_ch4,r2_ch5,feature,coef_ch1,coef_ch2,coef_ch3,coef_ch4,coef_ch5
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,intercept,0.5699214132861248,0.4280508369196163,0.5233555772894798,0.615494000483791,0.581657006966136
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_21,-9.451287502588535e-05,0.0003014961961074891,0.00027447972589772696,-0.0007869945734221951,7.001679981593186e-05
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_22,3.427648068514038e-18,2.5296548693400925e-18,3.0141271835408317e-18,3.679200530122325e-18,3.358971856141143e-18
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_42,3.422442249464924e-05,-0.00010768328186278655,0.00016234625307407638,-0.00012418445849152792,0.00015791956448038856
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_43,-8.51564727328468e-05,-6.097430158951559e-05,0.00020561073426851733,3.4096438183032366e-05,0.00021280617728798142
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_71,-0.00010488937398980808,7.767373385106984e-05,2.4257071168160525e-05,9.476175478696005e-06,6.70746872254286e-05
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,class_81,-0.00015368893765696251,0.00027421340954008537,0.0002488558159870009,0.00010428249137442712,-8.282465514576532e-05
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,elevation_m,0.0005539774477876129,-0.0007012393254584613,-0.001624679851085373,0.0011604924505032954,-0.0007314617089821612
chipmean,sentinel1,10,P10,132,1000.0,,,coef,,,,,,slope_deg,0.0006763710086452799,-0.0008501874382378904,-0.0013918160534675346,0.0008849852801679792,-0.0005984064795137692
chipmean,sentinel1,11,P11,120,1000.0,interior,0.0,r2,-0.01704230025057115,-0.016330967455649416,-0.015951057363847415,-0.016620776711996386,-0.017257984153758496,,,,,,
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,intercept,0.5715250242574578,0.4276548187285772,0.5302367426480519,0.6322778376200829,0.5815665012919604
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_21,-1.6568903294912794e-05,0.000177279924658053,0.0002573243844805732,-0.0006897895606853794,4.2631968942078135e-05
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_22,-4.157692385073524e-18,-2.9944537677562147e-18,-3.716370689503944e-18,-4.492302850945182e-18,-4.131673274614265e-18
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_42,9.18064493042811e-05,-2.6085641373467677e-05,0.00015283858922360437,-0.00011217568013587304,0.0001303813248628094
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_43,1.6744109714655185e-05,6.395231779621777e-05,0.00020663783414576057,6.375158914903784e-05,-1.7652043613419604e-05
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_71,-6.261879781617677e-06,6.848564587378278e-05,5.843141558818487e-06,4.862503562320606e-05,3.7900359364671186e-05
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,class_81,-0.00022632867927918317,0.00031430626671665347,0.00021756034057128306,-0.00010535714851148728,2.1804059128022807e-05
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,elevation_m,0.00023317569801038345,-0.0010017752774754386,-0.001537602348442695,0.0013427895046462285,-0.0004739980004428543
chipmean,sentinel1,11,P11,120,1000.0,,,coef,,,,,,slope_deg,0.0003713093329698417,-0.0010245203157050852,-0.001304932496304258,0.0009869868634558559,-0.0004478386127744534
chipmean,sentinel1,12,P12,120,1000.0,interior,0.0,r2,-0.016788142305691086,-0.016345668740082857,-0.01645664956564905,-0.016962030832861245,-0.017405180694371636,,,,,,
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,intercept,0.5673361632085335,0.4295285091567844,0.5468181736922056,0.5763360398463053,0.5963712904242886
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_21,-4.788846743208521e-05,0.0001582480237404194,0.00016485015524001154,-0.0006928522577897159,7.962567743970638e-05
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_22,-4.162915534586497e-18,-3.021982168891205e-18,-3.845881270364743e-18,-3.98571935482324e-18,-4.273362419027123e-18
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_42,1.5054533632705697e-05,-2.758080463893139e-05,0.00011214523107841849,-0.00011826940739340855,9.792055986523022e-05
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_43,-5.99404105014755e-05,7.04306834463573e-05,0.00013426602795016211,-5.945259594761433e-05,-6.808533701490274e-06
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_71,-1.755298675154514e-05,0.00013802004395584955,-5.851308365023535e-05,3.172971995764059e-05,2.5567897099482022e-05
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,class_81,-0.0002860015696144184,0.00022346722940087032,0.00021451558406203677,0.0004513017077156544,-8.2813837692975e-05
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,elevation_m,0.0008185605833778961,-0.0007833281828100183,-0.001122483077832898,0.000401212132201928,-0.0001328349403943588
chipmean,sentinel1,12,P12,120,1000.0,,,coef,,,,,,slope_deg,0.0007293153973296754,-0.0008705766427856684,-0.001012306387960765,0.00024082711554529768,-0.00024995011727182173
chipmean,sentinel1,13,P13,120,1000.0,interior,0.0,r2,-0.0166112094235617,-0.0164278937126629,-0.01671431588290221,-0.01664240515084766,-0.01693889657076554,,,,,,
chipmean,sentinel1,14,P14,120,1000.0,interior,0.0,r2,-0.016991015667896674,-0.01658326556978921,-0.01660350382834221,-0.0164569559049986,-0.01715194427345052,,,,,,
chipmean,sentinel1,15,P15,120,1000.0,interior,0.0,r2,-0.016624958772074056,-0.016309670601609167,-0.01693467688725778,-0.016606435555028852,-0.017028307530885262,,,,,,
chipmean,sentinel1,16,P16,120,1000.0,interior,0.0,r2,-0.016816842722078014,-0.016263547851919004,-0.01684078253502578,-0.017018877850214966,-0.016913073899538115,,,,,,
chipmean,sentinel1,17,P17,120,1000.0,interior,0.0,r2,-0.016936797498060343,-0.015888109345809656,-0.016986680187855714,-0.01636217700149344,-0.017091360760047896,,,,,,
chipmean,sentinel1,18,P18,120,1000.0,interior,0.0,r2,-0.016322628806559332,-0.01625691820812073,-0.01701249389086176,-0.016881045334251922,-0.016787686027686606,,,,,,
chipmean,sentinel1,19,P19,120,1000.0,interior,0.0,r2,-0.016552583588103235,-0.01640100778628306,-0.01659167771036002,-0.01630446700737631,-0.01691043787117039,,,,,,
chipmean,sentinel1,20,P20,120,1000.0,interior,0.0,r2,-0.017111259992765988,-0.016639727711669806,-0.01663196533722805,-0.016009095370573764,-0.017250556236003124,,,,,,
chipmean,sentinel1,21,P21,120,1000.0,interior,0.0,r2,-0.01691330910615504,-0.016940685819801998,-0.016860144075157027,-0.016848951832343233,-0.01751368388651023,,,,,,
chipmean,sentinel2,1,P01,61,100.0,interior,0.0,r2,-0.03129480377181325,-0.02909310602447156,-0.031057826137261296,-0.03405957323871187,-0.023794134882161616,,,,,,
chipmean,sentinel2,2,P02,165,100.0,interior,0.0,r2,-0.013402172376581725,-0.007176978156677754,-0.00888068343161948,-8.011168584061735e-05,0.0024978370584720464,,,,,,
chipmean,sentinel2,3,P03,165,100.0,interior,0.0,r2,-0.012381227344545966,0.0011047000568018132,-0.0029920705727449464,0.011901346877643616,-0.0006367780287461427,,,,,,
chipmean,sentinel2,4,P04,165,100.0,interior,0.0,r2,-0.009988458714492866,-0.009827456286974791,-0.01342599281144156,-0.009530168281550662,0.0017990226028501807,,,,,,
chipmean,sentinel2,5,P05,165,100.0,interior,0.0,r2,-0.012789201351097698,-0.012873644254607228,-0.01002994492137578,-0.00888300920645524,-0.0016386491991910157,,,,,,
chipmean,sentinel2,6,P06,165,100.0,interior,0.0,r2,-0.016233675030486543,-0.01621621407113184,-0.006874487190619184,-0.006420654406620237,-0.013467527196538306,,,,,,
chipmean,sentinel2,7,P07,165,100.0,interior,0.0,r2,-0.011142444461733412,0.0005732630015112465,-0.006799715610144863,-0.013486543915150181,-0.016373474508787202,,,,,,
chipmean,sentinel2,8,P08,164,100.0,interior,0.0,r2,-0.0050740430532676675,-0.0090131850220462,-0.01283641074893165,-0.009233859073960064,-0.011993426018966405,,,,,,
