label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
chipmean,fsc,treatment_0006,P09,9,False,0.08752039505728154,0.022597668834023022,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P10,10,False,0.0866848571789338,0.022381933881491938,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P11,11,True,0.09192054746688375,0.023733783300900604,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P13,12,True,0.0895074471620716,0.02311072348134957,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P14,13,True,0.11697170278401434,0.030201963790667415,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P16,14,True,0.10663377385194009,0.027532722018120792,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P17,15,True,0.1156305311514102,0.02985567476416864,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P18,16,True,0.074725123062201,0.019293943810880284,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P19,17,True,0.09476699146279582,0.024468731980372575,sentinel1,covmat,gram
chipmean,fsc,treatment_0006,P20,18,True,0.06930760876601831,0.01789514763441654,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P01,1,False,0.08180104557695297,0.021120939148126183,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P02,2,False,0.07878654684271225,0.020342598921801007,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P03,3,False,0.09110335572532433,0.023522785300519416,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P04,4,False,0.06550988107992067,0.01691457856230407,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P05,5,False,0.033846946765188186,0.008739244076102857,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P06,6,False,0.08979780824764164,0.023185694391269537,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P07,7,False,0.08194138334091942,0.021157174202971918,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P08,8,False,0.04258854988360013,0.010996316295887142,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P09,9,False,0.06078471011001426,0.01569454466400872,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P10,10,False,0.09724152756880579,0.025107654455583616,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P11,11,True,0.08068630476443277,0.020833114307977615,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P13,12,True,0.05795859098762119,0.01496484384431361,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P14,13,True,0.07197826668569718,0.018584708544172084,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P16,14,True,0.05399162321006926,0.013940577168486939,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P17,15,True,0.035414642519636996,0.009144021379362877,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P18,16,True,0.05712429673155147,0.014749429993673974,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P19,17,True,0.05793310793625461,0.014958264148743391,sentinel1,covmat,gram
chipmean,fsc,treatment_0008,P20,18,True,0.06796606203580755,0.017548761758132185,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P01,1,False,0.05521516684140016,0.014256494775653786,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P02,2,False,0.06197324355849288,0.01600142268083327,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P03,3,False,0.08019928928764115,0.02070736745258034,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P04,4,False,0.07643147582434583,0.01973452219958308,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P05,5,False,0.06255465522618513,0.01615154252791745,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P06,6,False,0.04424415502047314,0.011423791704087449,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P07,7,False,0.042197310380819024,0.01089529869064383,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P08,8,False,0.06299752635586751,0.016265891361902513,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P09,9,False,0.04402651990584569,0.011367598559120645,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P10,10,False,0.048293187939801,0.01246924750840761,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P11,11,True,0.04826951265819844,0.012463134576983377,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P13,12,True,0.03789211198880866,0.00978370124568549,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P14,13,True,0.08221612782575927,0.021228112923921728,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P16,14,True,0.10902993084921346,0.02815140709447667,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P17,15,True,0.07379578301143982,0.019053989241576176,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P18,16,True,0.057032322542780754,0.014725682360247981,sentinel1,covmat,gram
chipmean,fsc,treatment_0009,P19,17,True,0.05281774130408988,0.013637482163668781,sentinel1,covmat,gram
