label,estimator,treatment_site_id,period,period_index,is_post,gap_norm,gap_rmse,sensor,method,repr
genfill,fsc,treatment_0005,P01,1,False,0.6441490236191438,0.06441490236191438,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P02,2,False,0.4803172608141035,0.04803172608141034,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P03,3,False,0.5111135756146014,0.05111135756146013,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P04,4,False,0.5860465493311225,0.05860465493311226,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P05,5,False,0.5299637123586366,0.052996371235863655,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P06,6,False,0.6323461052119945,0.06323461052119946,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P07,7,False,0.5236360613455111,0.05236360613455111,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P08,8,False,0.49703561847068634,0.04970356184706864,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P09,9,False,0.5272997959237902,0.05272997959237901,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P10,10,False,0.5531653788674814,0.05531653788674814,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P11,11,True,0.5486502206886847,0.05486502206886847,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P12,12,True,0.49430066748702606,0.0494300667487026,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P13,13,True,0.5453167298453528,0.05453167298453529,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P14,14,True,0.493877733317277,0.049387773331727704,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P16,15,True,0.5651343520499852,0.05651343520499852,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P17,16,True,0.5436516266079172,0.054365162660791715,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P18,17,True,0.5437720418230654,0.05437720418230654,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P19,18,True,0.6734890453616175,0.06734890453616174,sentinel1,covmat,quantile
genfill,fsc,treatment_0005,P20,19,True,0.638132081916964,0.0638132081916964,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P01,1,False,0.5533197645199404,0.055331976451994044,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P02,2,False,0.481995421023896,0.048199542102389595,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P03,3,False,0.6022696620766539,0.06022696620766539,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P04,4,False,0.5430425117856867,0.05430425117856868,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P05,5,False,0.6503046281364102,0.06503046281364103,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P06,6,False,0.5517292242255308,0.05517292242255308,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P07,7,False,0.5517102280008247,0.05517102280008247,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P08,8,False,0.4276791538738765,0.04276791538738765,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P09,9,False,0.5356338810788961,0.053563388107889603,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P10,10,False,0.6600275324302112,0.06600275324302111,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P11,11,True,0.6300668111469797,0.06300668111469798,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P12,12,True,0.9205851840367932,0.09205851840367932,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P13,13,True,0.5255729285809488,0.052557292858094885,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P14,14,True,0.6218038723193016,0.06218038723193015,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P16,15,True,0.6413913478412848,0.06413913478412847,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P17,16,True,0.6939939941485804,0.06939939941485805,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P18,17,True,0.5818732971869175,0.05818732971869174,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P19,18,True,0.6373992145394937,0.06373992145394936,sentinel1,covmat,quantile
genfill,fsc,treatment_0006,P20,19,True,0.5103999744657134,0.051039997446571346,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P01,1,False,0.6589395683729369,0.06589395683729368,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P02,2,False,0.6344518049319839,0.06344518049319839,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P03,3,False,0.8517531045874015,0.08517531045874016,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P04,4,False,0.6755272835983918,0.06755272835983918,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P05,5,False,0.6305534640420006,0.06305534640420006,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P06,6,False,0.8360823306353843,0.08360823306353843,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P07,7,False,0.5514873868300219,0.055148738683002185,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P08,8,False,0.5885606583686691,0.05885606583686692,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P09,9,False,0.6983433388225948,0.06983433388225949,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P10,10,False,0.6865760361774693,0.06865760361774692,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P11,11,True,0.6800051038676872,0.06800051038676871,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P12,12,True,0.502345785387234,0.0502345785387234,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P13,13,True,0.7489790993754488,0.07489790993754487,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P14,14,True,0.6190432856795046,0.06190432856795046,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P16,15,True,0.6933785543050449,0.0693378554305045,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P17,16,True,0.7164904751879689,0.07164904751879689,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P18,17,True,0.6953710736790935,0.06953710736790934,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P19,18,True,0.8005214988377696,0.08005214988377696,sentinel1,covmat,quantile
genfill,fsc,treatment_0007,P20,19,True,0.782844442992032,0.0782844442992032,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P01,1,False,0.6883129908109354,0.06883129908109355,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P02,2,False,0.5637239672605824,0.05637239672605824,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P03,3,False,0.5920279424425552,0.059202794244255515,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P04,4,False,0.5415818328468409,0.05415818328468408,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P05,5,False,0.44203787153930424,0.044203787153930425,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P06,6,False,0.6136865536068039,0.061368655360680396,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P07,7,False,0.5928286202865689,0.05928286202865689,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P08,8,False,0.5246577770914184,0.052465777709141834,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P09,9,False,0.576012619337778,0.05760126193377781,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P10,10,False,0.585080489242285,0.0585080489242285,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P11,11,True,0.5874488670959175,0.05874488670959174,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P12,12,True,0.5446623062713343,0.05446623062713343,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P13,13,True,0.502319696982179,0.0502319696982179,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P14,14,True,0.6041261229744497,0.06041261229744497,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P16,15,True,0.45091021553211463,0.045091021553211465,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P17,16,True,0.4613719725466056,0.04613719725466056,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P18,17,True,0.600667567991697,0.06006675679916969,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P19,18,True,0.49391234447381116,0.04939123444738112,sentinel1,covmat,quantile
genfill,fsc,treatment_0008,P20,19,True,0.5268827093050159,0.052688270930501595,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P01,1,False,0.5055258645155947,0.050552586451559474,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P02,2,False,0.5981848939168747,0.05981848939168747,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P03,3,False,0.61762675755881,0.061762675755881014,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P04,4,False,0.5499623722422252,0.05499623722422252,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P05,5,False,0.5674052424166368,0.056740524241663676,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P06,6,False,0.47641813979171316,0.04764181397917132,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P07,7,False,0.49853075650895023,0.049853075650895015,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P08,8,False,0.5934427719391794,0.05934427719391794,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P09,9,False,0.42036201676874774,0.042036201676874774,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P10,10,False,0.5244182523775922,0.05244182523775922,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P11,11,True,0.4767877904654736,0.04767877904654736,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P12,12,True,0.5948302473509556,0.059483024735095556,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P13,13,True,0.4857935735607905,0.04857935735607905,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P14,14,True,0.4269379003633287,0.04269379003633287,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P16,15,True,0.5691020893707937,0.056910208937079376,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P17,16,True,0.509052922728745,0.0509052922728745,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P18,17,True,0.4969250699160107,0.04969250699160107,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P19,18,True,0.46186564906863714,0.04618656490686371,sentinel1,covmat,quantile
genfill,fsc,treatment_0009,P20,19,True,0.483052859311294,0.0483052859311294,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P01,1,False,0.536045159371837,0.05360451593718371,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P02,2,False,0.4847905116925996,0.04847905116925996,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P03,3,False,0.379347031848108,0.0379347031848108,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P04,4,False,0.4788657362138134,0.04788657362138134,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P05,5,False,0.6207123473272534,0.062071234732725335,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P06,6,False,0.5598126693059844,0.055981266930598426,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P07,7,False,0.4945054541120132,0.049450545411201315,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P08,8,False,0.5477002543565834,0.054770025435658336,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P09,9,False,0.4496611707898138,0.04496611707898138,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P10,10,False,0.49525543366985175,0.04952554336698518,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P11,11,True,0.4573996221840029,0.045739962218400286,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P12,12,True,0.4956326642235504,0.04956326642235504,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P13,13,True,0.5490793121021377,0.05490793121021377,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P14,14,True,0.5694547548138525,0.05694547548138526,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P16,15,True,0.4685227861267211,0.04685227861267211,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P17,16,True,0.5918229601104996,0.05918229601104996,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P18,17,True,0.5581870632245645,0.055818706322456446,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P19,18,True,0.4404464728691871,0.04404464728691871,sentinel1,covmat,quantile
genfill,fsc,treatment_0010,P20,19,True,0.5046204953565884,0.050462049535658846,sentinel1,covmat,quantile
genfill,fsc,treatment_0001,P01,1,False,0.05613871264319245,0.02510599552790104,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P02,2,False,0.040329197603112106,0.01803576546371605,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P03,3,False,0.053908477008557894,0.024108603830923992,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P04,4,False,0.036252614937089485,0.016212662272291272,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P05,5,False,0.031418859643762,0.014050941187795332,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P06,6,False,0.03526478383740874,0.015770890774456366,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P07,7,False,0.024997213158304166,0.011179093574004064,sentinel1,covmat,chip_mean
genfill,fsc,treatment_0001,P08,8,False,0.04533859673017135,0.020276036858622563,sentinel1,covmat,chip_mean
