cache,sensor,repr,site,test,own_hist_rmse,arm,test_rmse,train_rmse,n_blocks,C1,C2,n_donors,w_blocks_total,C3
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m2_diff,1.0062723029642582,0.9882444392975513,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m3,0.7579844750792659,0.7194592183020705,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m3_diff,1.0046950444563651,0.9722224428976219,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m4,0.7707995525640315,0.7456343010572466,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0002,P10,0.7331579190230583,H1_m4_diff,1.0219585832812152,0.970050439424583,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H0_own_mean,0.753285993593817,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,L_last_period,0.9907435522824309,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m2,0.7635953725649249,0.7466681941946937,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m2_diff,1.0121081537235705,0.9414307473596515,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m3,0.7634318035530588,0.7468346862192412,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m3_diff,1.0100181722739334,0.969169438663911,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m4,0.7750323110814803,0.7779605071381491,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0003,P10,0.753285993593817,H1_m4_diff,1.032666438464193,1.0039535279542693,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H0_own_mean,0.6462562086575866,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,L_last_period,0.8294878791346179,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m2,0.6611919113915427,0.6498769281088468,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m2_diff,0.8457227153156085,0.7740339215592206,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m3,0.6654312308211594,0.6598960848851848,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m3_diff,0.8561416279461928,0.8281751052918566,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m4,0.6740800087227569,0.7031952134562446,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0004,P10,0.6462562086575866,H1_m4_diff,0.8553694547001074,0.8753257569963507,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H0_own_mean,0.63521889860006,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,L_last_period,0.8672258566914355,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m2,0.6454194324310846,0.6567105615663225,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m2_diff,0.859529185910028,0.8653121781818794,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m3,0.6404370611121587,0.6606655199258723,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m3_diff,0.8749250113380904,0.842150566989598,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m4,0.6476343995601992,0.6960901347620555,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0005,P10,0.63521889860006,H1_m4_diff,0.8894275187734152,0.8807290281414937,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H0_own_mean,0.7767372266469,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,L_last_period,1.0232826550963945,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m2,0.7779679293215935,0.7851247093655372,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m2_diff,1.0331703979851499,1.0279376328087049,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m3,0.7830751026655522,0.7910762400256861,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m3_diff,1.0369120185437044,1.0538701771896657,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m4,0.7983307673507761,0.8016415323851921,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0006,P10,0.7767372266469,H1_m4_diff,1.0531149539683602,1.0539839881099926,5,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H0_own_mean,0.5994797237897904,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,L_last_period,0.7785465177536169,,0,False,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m2,0.6113090664167147,0.5883913298586992,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m2_diff,0.808970951020115,0.7253629117522326,7,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m3,0.6180002499241016,0.6017428227751407,6,True,False,,,
chipmean,sentinel1,latent980,treatment_0007,P10,0.5994797237897904,H1_m3_diff,0.8069006895757237,0.74741063288142,6,True,False,,,
