site,test,test_rmse,train_rmse,own_hist_rmse,equal_w_rmse,C1,C2,C3,n_donors,n_test_dims,w_max,arm,sensor,n_pred_positions
treatment_0007,P10,1.1368936703661319,1.1353999571693691,0.5941330248592782,1.1490980979468444,True,False,True,5.0,300.0,0.24965620939120206,C,sentinel1,
treatment_0008,P10,1.013592370939629,1.0324016788436385,0.6646255426320433,1.130246675021142,True,False,True,5.0,145.0,0.3215899363594351,C,sentinel1,
treatment_0009,P10,1.0750458014352062,1.0680700786025137,0.6793752218779436,1.09855838922896,True,False,True,5.0,365.0,0.2773520051144416,C,sentinel1,
treatment_0010,P10,1.036375452297261,1.0668652935702125,0.6669206069308439,1.0983449665142178,True,False,True,5.0,390.0,0.23121147064175332,C,sentinel1,
treatment_0001,P09,0.9004184050421958,0.8089292101344091,0.7330067786741923,0.930353646975258,True,False,True,5.0,245.0,0.2848463831426105,D_min,sentinel1,
treatment_0002,P09,0.8006701018151539,0.7420054430650795,0.7213942690743355,0.9083239369162561,True,False,True,5.0,230.0,0.2358992675773641,D_min,sentinel1,
treatment_0003,P09,0.8237857419466276,0.7742533544355836,0.743235322796114,0.8749315553042304,True,False,True,5.0,515.0,0.21144315908069483,D_min,sentinel1,
treatment_0004,P09,0.680785746200416,0.7420538152033692,0.6488096654148676,0.9110975973705814,True,False,True,3.0,255.0,0.3689456313205713,D_min,sentinel1,
treatment_0005,P09,0.8104171340053515,0.7151511153028876,0.6642415369921404,0.8435598657868539,True,False,True,4.0,225.0,0.28493398047043145,D_min,sentinel1,
treatment_0006,P09,0.8818345133268083,0.7772985134299808,0.7774994322144978,0.9155722199167325,True,False,True,5.0,715.0,0.21542573396190273,D_min,sentinel1,
treatment_0007,P09,0.7291002283301492,0.6535816882900208,0.5847053290131708,0.7716855050835758,True,False,True,5.0,335.0,0.21345380896423796,D_min,sentinel1,
treatment_0008,P09,0.8268123555195493,0.7345942424798966,0.6428506730655584,0.7939740568528212,True,False,False,5.0,95.0,0.21681007735568525,D_min,sentinel1,
treatment_0009,P09,0.7359853433911128,0.709546173107155,0.663050711366829,0.7641384238604645,True,False,True,5.0,400.0,0.2144112953170733,D_min,sentinel1,
treatment_0010,P09,0.7205508075517044,0.6840484568969465,0.6567508396324037,0.7960169203497117,True,False,True,5.0,390.0,0.23418001796695043,D_min,sentinel1,
treatment_0001,P10,0.8861483150389141,0.8197034192037236,0.7227511443444575,0.9149995719600812,True,False,True,5.0,245.0,0.2809626079107371,D_min,sentinel1,
treatment_0002,P10,0.9080711142280992,0.7487304574887668,0.7263415509992999,0.9408621152315896,True,False,True,5.0,230.0,0.25156908446875376,D_min,sentinel1,
treatment_0003,P10,0.8255878426737744,0.7802004580633047,0.7499124797055267,0.8768878109719773,True,False,True,5.0,515.0,0.21536631935516481,D_min,sentinel1,
treatment_0004,P10,0.7251329240040371,0.7357067422557981,0.6435291050464366,0.9267780735726471,True,False,True,3.0,255.0,0.3690631111033573,D_min,sentinel1,
treatment_0005,P10,0.8155611375468623,0.7265453315817668,0.6310361403163858,0.8334046099376603,True,False,True,4.0,225.0,0.2930313536494573,D_min,sentinel1,
treatment_0006,P10,0.901373992774545,0.7898520600044404,0.7707126846653085,0.9243406458954994,True,False,True,5.0,715.0,0.2128444236590451,D_min,sentinel1,
treatment_0007,P10,0.7161544415666452,0.6693457996877922,0.5941330248592782,0.7416118395860795,True,False,True,5.0,335.0,0.22305894802952383,D_min,sentinel1,
treatment_0008,P10,0.7648562403731429,0.7455580097945785,0.6646255426320433,0.815622698799973,True,False,True,5.0,95.0,0.23339509426620614,D_min,sentinel1,
treatment_0009,P10,0.7325343133231362,0.7128067578848415,0.6793752218779436,0.785726738935581,True,False,True,5.0,400.0,0.21033892545672794,D_min,sentinel1,
treatment_0010,P10,0.6908471177875113,0.6884403547306494,0.6669206069308439,0.8423879863682311,True,False,True,5.0,390.0,0.2307666477330234,D_min,sentinel1,
treatment_0001,P09,0.9336954847110197,0.8053002430381385,0.7330067786741923,0.957319936006327,True,False,True,5.0,260.0,0.2304126248562003,D_full,sentinel1,
treatment_0002,P09,0.8227447572855996,0.7990256724339186,0.7213942690743355,0.8852661424981041,True,False,True,5.0,230.0,0.2608712244692219,D_full,sentinel1,
treatment_0003,P09,0.8385396448094959,0.7825141679604255,0.743235322796114,0.8913701524611065,True,False,True,5.0,500.0,0.2295171285971163,D_full,sentinel1,
treatment_0004,P09,0.7499619489179079,0.811162979562589,0.6488096654148676,0.9706363929472487,True,False,True,3.0,255.0,0.37496826639439007,D_full,sentinel1,
treatment_0005,P09,0.7921993643588904,0.7190213975949394,0.6642415369921404,0.8832288025696494,True,False,True,4.0,230.0,0.27946990847115044,D_full,sentinel1,
treatment_0006,P09,0.9049585253540147,0.8229347875232311,0.7774994322144978,0.928204644474878,True,False,True,5.0,720.0,0.21604617971270848,D_full,sentinel1,
treatment_0007,P09,0.800016451791143,0.7017453395377912,0.5847053290131708,0.80025086002101,True,False,True,5.0,350.0,0.2621271718022237,D_full,sentinel1,
treatment_0008,P09,0.7102886373485636,0.7669798509459715,0.6428506730655584,0.808172118166252,True,False,True,5.0,75.0,0.3163526936892922,D_full,sentinel1,
treatment_0009,P09,0.7263023196118814,0.6989913717130152,0.663050711366829,0.8122941950148577,True,False,True,5.0,400.0,0.21991035025589903,D_full,sentinel1,
treatment_0010,P09,0.7696319368183921,0.7247250377145535,0.6567508396324037,0.8138317099620875,True,False,True,5.0,390.0,0.2327419292551402,D_full,sentinel1,
treatment_0001,P10,0.8880960517054723,0.8208121249014273,0.7227511443444575,0.9622811567797361,True,False,True,5.0,260.0,0.22747549580784368,D_full,sentinel1,
treatment_0002,P10,0.9054366229480865,0.8018814866099285,0.7263415509992999,0.9443737378269851,True,False,True,5.0,230.0,0.2611059868958986,D_full,sentinel1,
treatment_0003,P10,0.8403993478603644,0.7892741461079918,0.7499124797055267,0.8853733923654721,True,False,True,5.0,500.0,0.22645873542630252,D_full,sentinel1,
treatment_0004,P10,0.8365249185485844,0.8048901187570785,0.6435291050464366,0.9936587427654896,True,False,True,3.0,255.0,0.3771033558349908,D_full,sentinel1,
treatment_0005,P10,0.8362998473751385,0.7275824767635385,0.6310361403163858,0.8657508674899899,True,False,True,4.0,230.0,0.2638694672574434,D_full,sentinel1,
treatment_0006,P10,0.9288341577008913,0.8327349339547763,0.7707126846653085,0.9641566409384492,True,False,True,5.0,720.0,0.2141659919193285,D_full,sentinel1,
treatment_0007,P10,0.699122912669324,0.7223357160531555,0.5941330248592782,0.7681968905727111,True,False,True,5.0,350.0,0.2523041784950961,D_full,sentinel1,
treatment_0008,P10,0.8453808463558308,0.7608502707241626,0.6646255426320433,0.8206335521029647,True,False,False,5.0,75.0,0.32622106969806713,D_full,sentinel1,
treatment_0009,P10,0.7640629352354167,0.7023558590165818,0.6793752218779436,0.8302155641517887,True,False,True,5.0,400.0,0.21946539311320204,D_full,sentinel1,
treatment_0010,P10,0.7628144115764562,0.7298992470196808,0.6669206069308439,0.8771394465230361,True,False,True,5.0,390.0,0.2530054948238279,D_full,sentinel1,
treatment_0001,P09,0.9073856629272965,0.8169363423053064,0.7330067786741923,0.9700359593584558,True,False,True,5.0,270.0,0.23583181749525026,E,sentinel1,
treatment_0002,P09,0.82475555569425,0.8014126376500771,0.7213942690743355,0.8959338492489404,True,False,True,5.0,210.0,0.2682637667647446,E,sentinel1,
treatment_0003,P09,0.8394659000275008,0.7837072656111643,0.743235322796114,0.8813069445250187,True,False,True,5.0,500.0,0.23861940098312745,E,sentinel1,
treatment_0004,P09,0.7308888220940278,0.8270099399016089,0.6488096654148676,1.009653829167008,True,False,True,3.0,255.0,0.34640044845440754,E,sentinel1,
treatment_0005,P09,0.8211167596688816,0.7243899718505097,0.6642415369921404,0.9030920856394177,True,False,True,4.0,220.0,0.3114307696766711,E,sentinel1,
treatment_0006,P09,0.9316753122869625,0.820201942184887,0.7774994322144978,0.9482609035968724,True,False,True,5.0,725.0,0.2267178815184489,E,sentinel1,
treatment_0007,P09,0.7923483810852572,0.6895687122416488,0.5847053290131708,0.8011629564332078,True,False,True,5.0,355.0,0.2709246198347494,E,sentinel1,
treatment_0008,P09,0.7207194801923597,0.7732259157845182,0.6428506730655584,0.8352888855088962,True,False,True,5.0,75.0,0.28755214144882424,E,sentinel1,
