cache,sensor,model,period,site,ratio
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0002,0.9529099147729357
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0002,1.1989599064704832
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0002,1.198959912740025
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0002,1.1125108835764403
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0003,1.4033515448291696
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0003,1.4033515502940632
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0003,1.1498794627642763
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0003,1.1079486390047832
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0003,1.1079486784672825
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0003,1.024430274050587
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0004,0.7509860933798469
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0004,0.7509860945696247
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0004,0.8206093663859392
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0004,0.702263266952161
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0004,0.7022632719163651
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0004,0.7740465036689298
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0005,0.8060587527775729
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0005,0.8060587589791485
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0005,0.844985487889859
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0005,1.1358373014540277
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0005,1.1358373027276245
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0005,1.1019696798154228
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0006,0.8013372126917082
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0006,0.8013372085755991
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0006,0.8007939864177528
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0006,1.3984066505493453
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0006,1.3984066518766296
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0006,1.2591904930822342
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0007,1.0357650135349596
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0007,1.0357648437358649
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0007,0.9443763543653134
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0007,1.1183999849117319
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0007,1.1183999834616303
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0007,1.0297218951565381
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0008,1.0610307173883766
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0008,1.0610307093540168
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0008,0.9452069512977106
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0008,1.0716050164874262
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0008,1.0716049933845944
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0008,1.0234755445463555
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0009,0.6011795403847826
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0009,0.6011795532767051
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0009,0.6770306669165028
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0009,1.0987155395159736
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0009,1.098715524486637
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0009,1.0508574623263522
genfill,sentinel2,SCM (latent 980-d),P09,treatment_0010,1.132408282778918
genfill,sentinel2,ASCM (latent 980-d),P09,treatment_0010,1.132408338601303
genfill,sentinel2,ridge / text-SC (latent 980-d),P09,treatment_0010,1.0000215838467155
genfill,sentinel2,SCM (latent 980-d),P10,treatment_0010,1.1200383217479026
genfill,sentinel2,ASCM (latent 980-d),P10,treatment_0010,1.1200383079594203
genfill,sentinel2,ridge / text-SC (latent 980-d),P10,treatment_0010,1.0482820663293564
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0001,1.4426501780142984
chipmean,sentinel1,ASCM (latent 980-d),P09,treatment_0001,1.442650178003891
chipmean,sentinel1,ridge / text-SC (latent 980-d),P09,treatment_0001,1.3553373571571572
chipmean,sentinel1,SCM (latent 980-d),P10,treatment_0001,1.4886548283933005
chipmean,sentinel1,ASCM (latent 980-d),P10,treatment_0001,1.4886548281664145
chipmean,sentinel1,ridge / text-SC (latent 980-d),P10,treatment_0001,1.3808970688642463
chipmean,sentinel1,SCM (latent 980-d),P09,treatment_0002,1.4600764377142124
