arm,sensor,treatment_site_id,fit_window,donor,weight,largest_donor_weight,effective_donors,n_train_periods
main,sentinel2,treatment_0002,P01-08,counterfactual_0008_01,0.20548108549135888,0.3256432628157754,4.203674083105396,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0001_01,0.24601379471901957,0.3256432628157754,4.203674083105396,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0009_05,0.0652538950690651,0.3256432628157754,4.203674083105396,8
main,sentinel2,treatment_0002,P01-08,counterfactual_0003_04,0.15760796190478102,0.3256432628157754,4.203674083105396,8
main,sentinel2,treatment_0002,P01-09,counterfactual_0004_01,0.2895594268558695,0.3363854866493507,3.8998569759160313,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0008_01,0.1631104456227541,0.3363854866493507,3.8998569759160313,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0001_01,0.3363854866493507,0.3363854866493507,3.8998569759160313,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0009_05,0.032788193864392516,0.3363854866493507,3.8998569759160313,9
main,sentinel2,treatment_0002,P01-09,counterfactual_0003_04,0.17815644700763322,0.3363854866493507,3.8998569759160313,9
main,sentinel2,treatment_0003,P01-08,counterfactual_0004_05,0.2994905030502532,0.2994905030502532,4.357344223740771,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0008_03,0.11958526912123625,0.2994905030502532,4.357344223740771,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0003_05,0.24594667148721003,0.2994905030502532,4.357344223740771,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0009_03,0.10075181099767999,0.2994905030502532,4.357344223740771,8
main,sentinel2,treatment_0003,P01-08,counterfactual_0005_05,0.23422574534362048,0.2994905030502532,4.357344223740771,8
main,sentinel2,treatment_0003,P01-09,counterfactual_0004_05,0.3315279423948548,0.3315279423948548,4.183499568069795,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0008_03,0.09917209150489616,0.3315279423948548,4.183499568069795,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0003_05,0.2331365571981185,0.3315279423948548,4.183499568069795,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0009_03,0.1031476119608312,0.3315279423948548,4.183499568069795,9
main,sentinel2,treatment_0003,P01-09,counterfactual_0005_05,0.2330157969412994,0.3315279423948548,4.183499568069795,9
main,sentinel2,treatment_0004,P01-08,counterfactual_0004_04,0.7157633056730406,0.7157633056730406,1.85810780246714,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0006_03,0.10236095713862334,0.7157633056730406,1.85810780246714,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0002_02,0.1137448123858021,0.7157633056730406,1.85810780246714,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0006_01,0.04207288431292438,0.7157633056730406,1.85810780246714,8
main,sentinel2,treatment_0004,P01-08,counterfactual_0003_03,0.026058040489609663,0.7157633056730406,1.85810780246714,8
main,sentinel2,treatment_0004,P01-09,counterfactual_0004_04,0.7261098153804967,0.7261098153804967,1.8197702889761964,9
