fill,sensor,repr,M,estimator,role,perm,rmse_test,rmse_train,rel_l2_test,n_sites,C2,C3,lambda,lambda_flag
masked,sentinel2,gram,15,scm,estimator,-,0.0484393763518267,0.08451860923507663,0.09179065847881845,10,9,3,,
masked,sentinel2,gram,15,afsc,estimator,-,0.048442766517375516,0.08451933950345139,0.0917976766393512,10,9,3,100000000.0,ceiling
masked,sentinel2,quantile,100,equal_weight,reference,-,0.08452431983888406,0.14677300135572208,0.11227707427181628,10,10,0,,
masked,sentinel2,quantile,100,own_history_mean,reference,-,0.14117592598762282,0.16585985000955655,0.1871116628341278,10,0,0,,
masked,sentinel2,quantile,100,scm,estimator,-,0.08177020646683851,0.12817177519602724,0.10852704955529435,10,10,4,,
masked,sentinel2,quantile,100,afsc,estimator,-,0.0816875279405983,0.12813293548000904,0.10841703499011138,10,10,4,100000000.0,ceiling
masked,sentinel2,combined,115,equal_weight,reference,-,0.12243003554904001,0.2156716694261275,0.11118992964848202,10,10,0,,
masked,sentinel2,combined,115,own_history_mean,reference,-,0.2126072232539558,0.24496020337569568,0.19239221970420758,10,0,0,,
masked,sentinel2,combined,115,scm,estimator,-,0.11760186911431529,0.18703673025502437,0.10667941033836767,10,10,4,,
masked,sentinel2,combined,115,afsc,estimator,-,0.1174896500316021,0.18698219916065284,0.10657716519771317,10,10,4,100000000.0,ceiling
maskdrop,sentinel2,chip_mean,5,equal_weight,reference,-,0.04765110341229506,0.06410424578453391,0.0676974059518192,10,8,0,,
maskdrop,sentinel2,chip_mean,5,own_history_mean,reference,-,0.07672115748017291,0.05690456733285513,0.10748966160463373,10,0,2,,
maskdrop,sentinel2,chip_mean,5,scm,estimator,-,0.03479088791740522,0.049691015696902124,0.049091598727718386,10,10,7,,
maskdrop,sentinel2,chip_mean,5,perdim_scm,estimator,-,0.03252359504850595,0.04181791510574526,0.046018310802909704,10,10,7,,
maskdrop,sentinel2,chip_mean,5,perdim_scm_demeaned,estimator,-,0.032420392653253735,0.03488521061801153,0.04562474770387953,10,10,7,,
maskdrop,sentinel2,chip_mean,5,perdim_scm_demeaned_std,estimator,-,0.032749305458011815,0.038812775518968515,0.04598419761909745,10,10,6,,
maskdrop,sentinel2,chip_mean,5,scm_demeaned,estimator,-,0.03355615505752047,0.039313500536046195,0.04710674789464726,10,10,6,,
maskdrop,sentinel2,chip_mean,5,scm_demeaned_std,estimator,-,0.03296965250238788,0.04199384091776914,0.0461858861577491,10,10,7,,
maskdrop,sentinel2,gram,15,equal_weight,reference,-,0.05272385712917131,0.06832980855433197,0.10075910313685355,10,8,0,,
maskdrop,sentinel2,gram,15,own_history_mean,reference,-,0.09455660224830427,0.06457139647609725,0.1770697616017781,10,0,2,,
maskdrop,sentinel2,gram,15,scm,estimator,-,0.041082401959606385,0.053245711913746586,0.07747618923650926,10,10,8,,
maskdrop,sentinel2,gram,15,afsc,estimator,-,0.041082406688732795,0.05324571196710015,0.07747616157514581,10,10,8,100000000.0,ceiling
maskdrop,sentinel2,quantile,100,equal_weight,reference,-,0.08452431983888406,0.1048077889610393,0.11227707427181628,10,8,0,,
maskdrop,sentinel2,quantile,100,own_history_mean,reference,-,0.11870499731361499,0.09103939035713195,0.15706330976333557,10,0,2,,
maskdrop,sentinel2,quantile,100,scm,estimator,-,0.07452196698019752,0.09247939440304553,0.09886775950770746,10,10,8,,
maskdrop,sentinel2,quantile,100,afsc,estimator,-,0.07445594883552752,0.09241995208450991,0.09877966143942041,10,10,8,100000000.0,ceiling
maskdrop,sentinel2,combined,115,equal_weight,reference,-,0.11952380158118021,0.1484170032753559,0.11120508236593367,10,8,0,,
maskdrop,sentinel2,combined,115,own_history_mean,reference,-,0.17351418625138085,0.1304134961391623,0.160515401040852,10,0,2,,
maskdrop,sentinel2,combined,115,scm,estimator,-,0.10409729061251012,0.12979812722932688,0.09665349994078479,10,10,8,,
maskdrop,sentinel2,combined,115,afsc,estimator,-,0.10401243771082995,0.1297267714124009,0.0965741855119723,10,10,8,100000000.0,ceiling
