arm,sensor,treated,donor,n_matched
B,sentinel2,treatment_0004,counterfactual_0004_05,61
B,sentinel2,treatment_0005,counterfactual_0005_01,56
B,sentinel2,treatment_0005,counterfactual_0005_02,121
B,sentinel2,treatment_0005,counterfactual_0005_03,109
B,sentinel2,treatment_0005,counterfactual_0005_04,128
B,sentinel2,treatment_0005,counterfactual_0005_05,149
B,sentinel2,treatment_0006,counterfactual_0006_01,171
B,sentinel2,treatment_0006,counterfactual_0006_02,155
B,sentinel2,treatment_0006,counterfactual_0006_03,147
B,sentinel2,treatment_0006,counterfactual_0006_04,177
B,sentinel2,treatment_0006,counterfactual_0006_05,157
B,sentinel2,treatment_0007,counterfactual_0007_01,146
B,sentinel2,treatment_0007,counterfactual_0007_02,191
B,sentinel2,treatment_0007,counterfactual_0007_03,173
B,sentinel2,treatment_0007,counterfactual_0007_04,158
B,sentinel2,treatment_0007,counterfactual_0007_05,94
B,sentinel2,treatment_0008,counterfactual_0008_01,148
B,sentinel2,treatment_0008,counterfactual_0008_02,122
B,sentinel2,treatment_0008,counterfactual_0008_03,146
B,sentinel2,treatment_0008,counterfactual_0008_04,90
B,sentinel2,treatment_0008,counterfactual_0008_05,120
B,sentinel2,treatment_0009,counterfactual_0009_01,154
B,sentinel2,treatment_0009,counterfactual_0009_02,176
B,sentinel2,treatment_0009,counterfactual_0009_03,144
B,sentinel2,treatment_0009,counterfactual_0009_04,143
B,sentinel2,treatment_0009,counterfactual_0009_05,144
B,sentinel2,treatment_0010,counterfactual_0010_01,154
B,sentinel2,treatment_0010,counterfactual_0010_02,153
B,sentinel2,treatment_0010,counterfactual_0010_03,117
B,sentinel2,treatment_0010,counterfactual_0010_04,102
B,sentinel2,treatment_0010,counterfactual_0010_05,77
C,sentinel1,treatment_0001,counterfactual_0001_01,141
C,sentinel1,treatment_0001,counterfactual_0001_02,104
C,sentinel1,treatment_0001,counterfactual_0001_03,101
C,sentinel1,treatment_0001,counterfactual_0001_04,142
C,sentinel1,treatment_0001,counterfactual_0001_05,133
C,sentinel1,treatment_0002,counterfactual_0002_01,110
C,sentinel1,treatment_0002,counterfactual_0002_02,94
C,sentinel1,treatment_0002,counterfactual_0002_03,103
C,sentinel1,treatment_0002,counterfactual_0002_04,83
C,sentinel1,treatment_0002,counterfactual_0002_05,125
C,sentinel1,treatment_0003,counterfactual_0003_01,176
C,sentinel1,treatment_0003,counterfactual_0003_02,182
C,sentinel1,treatment_0003,counterfactual_0003_03,174
C,sentinel1,treatment_0003,counterfactual_0003_04,176
C,sentinel1,treatment_0003,counterfactual_0003_05,122
C,sentinel1,treatment_0004,counterfactual_0004_01,59
C,sentinel1,treatment_0004,counterfactual_0004_02,150
C,sentinel1,treatment_0004,counterfactual_0004_03,54
C,sentinel1,treatment_0004,counterfactual_0004_04,134
C,sentinel1,treatment_0004,counterfactual_0004_05,61
C,sentinel1,treatment_0005,counterfactual_0005_01,58
C,sentinel1,treatment_0005,counterfactual_0005_02,121
C,sentinel1,treatment_0005,counterfactual_0005_03,111
C,sentinel1,treatment_0005,counterfactual_0005_04,136
C,sentinel1,treatment_0005,counterfactual_0005_05,157
C,sentinel1,treatment_0006,counterfactual_0006_01,171
C,sentinel1,treatment_0006,counterfactual_0006_02,155
C,sentinel1,treatment_0006,counterfactual_0006_03,147
C,sentinel1,treatment_0006,counterfactual_0006_04,177
C,sentinel1,treatment_0006,counterfactual_0006_05,157
C,sentinel1,treatment_0007,counterfactual_0007_01,147
C,sentinel1,treatment_0007,counterfactual_0007_02,191
C,sentinel1,treatment_0007,counterfactual_0007_03,174
C,sentinel1,treatment_0007,counterfactual_0007_04,158
C,sentinel1,treatment_0007,counterfactual_0007_05,95
C,sentinel1,treatment_0008,counterfactual_0008_01,150
C,sentinel1,treatment_0008,counterfactual_0008_02,123
C,sentinel1,treatment_0008,counterfactual_0008_03,147
C,sentinel1,treatment_0008,counterfactual_0008_04,91
C,sentinel1,treatment_0008,counterfactual_0008_05,121
C,sentinel1,treatment_0009,counterfactual_0009_01,160
C,sentinel1,treatment_0009,counterfactual_0009_02,181
C,sentinel1,treatment_0009,counterfactual_0009_03,149
C,sentinel1,treatment_0009,counterfactual_0009_04,149
C,sentinel1,treatment_0009,counterfactual_0009_05,150
C,sentinel1,treatment_0010,counterfactual_0010_01,174
C,sentinel1,treatment_0010,counterfactual_0010_02,177
C,sentinel1,treatment_0010,counterfactual_0010_03,130
C,sentinel1,treatment_0010,counterfactual_0010_04,118
C,sentinel1,treatment_0010,counterfactual_0010_05,90
C,sentinel2,treatment_0001,counterfactual_0001_01,141
C,sentinel2,treatment_0001,counterfactual_0001_02,104
C,sentinel2,treatment_0001,counterfactual_0001_03,101
C,sentinel2,treatment_0001,counterfactual_0001_04,142
C,sentinel2,treatment_0001,counterfactual_0001_05,133
C,sentinel2,treatment_0002,counterfactual_0002_01,98
C,sentinel2,treatment_0002,counterfactual_0002_02,82
C,sentinel2,treatment_0002,counterfactual_0002_03,77
C,sentinel2,treatment_0002,counterfactual_0002_04,57
C,sentinel2,treatment_0002,counterfactual_0002_05,99
C,sentinel2,treatment_0003,counterfactual_0003_01,171
C,sentinel2,treatment_0003,counterfactual_0003_02,182
C,sentinel2,treatment_0003,counterfactual_0003_03,167
C,sentinel2,treatment_0003,counterfactual_0003_04,176
C,sentinel2,treatment_0003,counterfactual_0003_05,122
C,sentinel2,treatment_0004,counterfactual_0004_01,58
C,sentinel2,treatment_0004,counterfactual_0004_02,108
C,sentinel2,treatment_0004,counterfactual_0004_03,54
C,sentinel2,treatment_0004,counterfactual_0004_04,133
C,sentinel2,treatment_0004,counterfactual_0004_05,60
C,sentinel2,treatment_0005,counterfactual_0005_01,56
C,sentinel2,treatment_0005,counterfactual_0005_02,120
C,sentinel2,treatment_0005,counterfactual_0005_03,109
C,sentinel2,treatment_0005,counterfactual_0005_04,128
C,sentinel2,treatment_0005,counterfactual_0005_05,149
C,sentinel2,treatment_0006,counterfactual_0006_01,171
C,sentinel2,treatment_0006,counterfactual_0006_02,155
C,sentinel2,treatment_0006,counterfactual_0006_03,147
C,sentinel2,treatment_0006,counterfactual_0006_04,177
C,sentinel2,treatment_0006,counterfactual_0006_05,157
C,sentinel2,treatment_0007,counterfactual_0007_01,146
