group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,repr,method,T_0,treatment_site_id
10,1,0.3108,0.335577014916127,0.0316227766,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0010
10,2,0.2906,0.392210871819419,0.0316227766,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0010
10,3,0.0,-0.142497474118382,0.0316227766,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0010
10,4,0.3986,0.671351306576688,0.0316227766,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0010
10,5,0.0,-0.256641719193851,0.0316227766,False,1.0,1.0,3,2,maskdrop,sentinel2,chip_mean,covmat,6,treatment_0010
1,1,0.4873,0.487300147444029,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0001
1,2,0.2172,0.217200147133541,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0001
1,3,0.0,-5.89539537612378e-07,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0001
1,4,0.2561,0.256100147516743,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0001
1,5,0.0394,0.0394001474452243,1000000.0,False,1.0,1.0,4,1,maskdrop,sentinel2,quantile,covmat,6,treatment_0001
1,1,0.5034,0.503399999425673,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,7,treatment_0001
1,2,0.14,0.140000000360726,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,7,treatment_0001
1,3,0.0088,0.0088000002860425,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,7,treatment_0001
1,4,0.3421,0.342099999849883,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,7,treatment_0001
1,5,0.0056,0.0056000000776765,1000000.0,False,0.9999,0.9999,5,0,maskdrop,sentinel2,quantile,covmat,7,treatment_0001
2,1,0.072,0.0719999999968997,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,4,treatment_0002
2,2,0.0389,0.0388999999551473,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,4,treatment_0002
2,3,0.278,0.278000000010433,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,4,treatment_0002
2,4,0.2047,0.204700000040059,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,4,treatment_0002
2,5,0.4064,0.406399999997461,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,4,treatment_0002
2,1,0.0625,0.0624999999720273,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0002
2,2,0.0213,0.0213000000560787,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0002
2,3,0.3105,0.310499999998291,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0002
2,4,0.1877,0.187700000004504,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0002
2,5,0.418,0.417999999969099,1000000.0,False,1.0,1.0,5,0,maskdrop,sentinel2,quantile,covmat,5,treatment_0002
3,1,0.1476,0.147600036634546,1000000.0,False,0.9999,0.9999,4,1,maskdrop,sentinel2,quantile,covmat,4,treatment_0003
3,2,0.3825,0.38250003658981,1000000.0,False,0.9999,0.9999,4,1,maskdrop,sentinel2,quantile,covmat,4,treatment_0003
3,3,0.0474,0.0474000366075563,1000000.0,False,0.9999,0.9999,4,1,maskdrop,sentinel2,quantile,covmat,4,treatment_0003
