fill,sensor,site,group,matched_treatment,n,m,T0,post_period,k,observed,valid_frac,delta_rms,delta_raw_rms,y_post_rms,l0_rms,note,delta_ch1,delta_ch2,delta_ch3,delta_ch4,delta_ch5
chipmean,sentinel1,counterfactual_0025_04,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.2901562470094328,0.3438126724309184,0.6180058961606396,0.5914541724492254,,-0.014001944129206547,0.032684356080349274,0.023152424761933216,-0.05108026619625721,0.03506791620625532
chipmean,sentinel1,counterfactual_0025_05,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.18679708635456285,0.2414054753503463,0.6171608408689724,0.5915366686838642,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.004569319314954206,-0.00045290723427197384,0.012127229042109286,0.028599390485975863,0.00814187598366411
chipmean,sentinel1,counterfactual_0025_05,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.25129364809875915,0.27859609721013257,0.6125941675004278,0.5957379343654089,,0.010635157518886735,0.003079354770627428,0.028029103989841778,-0.04980861725752846,0.029452132078198887
chipmean,sentinel1,counterfactual_0025_06,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.22287853471016272,0.2884004565298049,0.6201372339730972,0.5898744887420158,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0043144547376291024,0.025781344435131696,0.0032119860556833616,0.010248139989255872,-0.007587675742425534
chipmean,sentinel1,counterfactual_0025_06,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.2769847048947879,0.3180023919763343,0.61054032190966,0.5939514024996585,,-0.0443323948097141,-0.0045095407006848585,0.04647234026345996,-0.05488294207592187,0.03736443337803185
chipmean,sentinel1,counterfactual_0025_07,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.22537359641091909,0.2824058632643537,0.632358192426016,0.591252146059073,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.005035279489104337,0.032832479597201175,0.018219230290972672,0.03467890017537227,-0.00944845458038853
chipmean,sentinel1,counterfactual_0025_07,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.28178467320859635,0.3218047691137833,0.6269336258785693,0.5960028530985758,,0.0046476179830230715,0.02090126337172873,0.03448092192834358,-0.057845484658459276,0.05157581693147423
chipmean,sentinel1,counterfactual_0025_08,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.23449507366408892,0.2984866556468645,0.626027692448214,0.6082748488291032,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.03953433159510103,-0.007488946763486009,-0.002346654458715287,0.017169850567015338,-0.02229450847028613
chipmean,sentinel1,counterfactual_0025_08,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.2830896831471669,0.3286960253130323,0.6182993234905897,0.6139037708623472,,-0.04944370475171614,0.0031853183348306297,0.016361395445019713,-0.08606711710486921,0.02569191599182797
chipmean,sentinel1,counterfactual_0025_09,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.2396005915565568,0.30130054439107656,0.6293464515971681,0.5907900289114012,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.0008834719715632784,0.02807896558515843,-0.014839916931124157,0.029773380377448238,0.0038500116417144016
chipmean,sentinel1,counterfactual_0025_09,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.29415669826797647,0.33338173009277794,0.6247869767142752,0.5949087026487141,,1.218774522040603e-05,0.051886161327167,0.03681695218931421,-0.05300922100521816,0.0070104090444109805
chipmean,sentinel1,counterfactual_0025_10,counterfactual,treatment_0025,2,5,10,P11,1,True,1.0,0.23128266619384327,0.2827395250674318,0.6214539631086468,0.5974219993795976,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.031333885568827366,0.01920776595936893,-0.003810890009142598,0.02185888888905181,-0.027039878289532814
chipmean,sentinel1,counterfactual_0025_10,counterfactual,treatment_0025,2,5,10,P12,2,True,1.0,0.2830871600752968,0.32939741331477884,0.6162153219271703,0.6009327420602402,,-0.030382520035117145,0.008087088125419034,0.029257697473703187,-0.0609189130640863,-0.010115687572979542
chipmean,sentinel1,counterfactual_0027_01,counterfactual,treatment_0027,2,5,10,P11,1,True,0.99009900990099,0.2151326928327434,0.2740003983736247,0.6386884669544506,0.6100445746690332,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.03191955986977497,0.002618715322364826,0.004320666174070164,0.003377636607009651,0.006582611544713101
chipmean,sentinel1,counterfactual_0027_01,counterfactual,treatment_0027,2,5,10,P12,2,True,0.99009900990099,0.2650968173509336,0.30397794794751404,0.6293118308137449,0.6167085666759805,,-0.001631503747512781,-0.0017466199532335093,0.018415226746404445,-0.06100596043741659,0.02137417569848717
chipmean,sentinel1,counterfactual_0027_02,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.18245914794428453,0.2302883996746738,0.6255648912173261,0.6107706852258005,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.012179715955156337,-0.0021064368494756514,0.012633348104054148,0.016856651445129774,-0.019920283122887947
chipmean,sentinel1,counterfactual_0027_02,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.24363155295610558,0.2706961309178299,0.632830545083621,0.6156257100536686,,0.019111853997555932,0.01921478171760983,0.01932944016161682,-0.028718910713499128,0.011690951624348701
chipmean,sentinel1,counterfactual_0027_03,counterfactual,treatment_0027,2,5,10,P11,1,True,0.9999019703950592,0.18228841926694142,0.23279802125998264,0.6325891657629618,0.6040323202205019,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.003450449929029439,0.024034780441812238,0.01948027844892758,0.02684639392380149,-0.009868166376650209
chipmean,sentinel1,counterfactual_0027_03,counterfactual,treatment_0027,2,5,10,P12,2,True,0.9999019703950592,0.2247934112036199,0.25500467584479813,0.6121157676143573,0.6064531470101725,,-0.01272970542367066,-0.007018155641414155,0.022139608961858032,-0.026488668989377632,0.007629560762206662
chipmean,sentinel1,counterfactual_0027_04,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.17745854433616068,0.20450822783940592,0.6065826678601881,0.5894335670416848,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.005762492673922464,-0.00980087532029619,0.005652667125574233,0.0172757084664231,0.006635356181280822
chipmean,sentinel1,counterfactual_0027_04,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.22354258508509328,0.23744713853026558,0.5972657038410626,0.5941645015152833,,-0.008261110242088246,-0.03205932446750034,0.00886688032127567,-0.027414708575131435,0.018828104387068386
chipmean,sentinel1,counterfactual_0027_05,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.18714661364048102,0.230564831786404,0.62142518522251,0.602502714755416,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0007573859970858497,-0.006278560895608081,0.00890423547924575,0.023131267023701295,-0.018690696280058886
chipmean,sentinel1,counterfactual_0027_05,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.24815515111889655,0.28399409345231247,0.612267056202199,0.6075164579500538,,-0.005896519182304039,0.000840935858528913,0.021116357417459982,-0.04486715518532961,-0.007665182715100067
chipmean,sentinel1,counterfactual_0027_06,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.1864531002613454,0.24284245798267998,0.6161852446953386,0.6028678553795797,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.030867293196682997,-0.00419699297673498,0.006658469506723897,0.0055524859941458345,-0.01686386341474128
chipmean,sentinel1,counterfactual_0027_06,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.25220569513337826,0.2870820952414248,0.6291906225985305,0.6062841160491976,,-0.013540701881998268,-0.0016380355803940919,0.03350601930303276,-0.018917728523291308,0.029893153762088016
chipmean,sentinel1,counterfactual_0027_07,counterfactual,treatment_0027,2,5,10,P11,1,True,0.99009900990099,0.20651478026708392,0.25478081783401807,0.6264604002296807,0.6087505090973924,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.01449630125532658,-0.013526215433498212,0.014168238397678232,0.018629068675251034,-0.02686065969231084
chipmean,sentinel1,counterfactual_0027_07,counterfactual,treatment_0027,2,5,10,P12,2,True,0.99009900990099,0.25577481847709177,0.2960749056257117,0.6245070600311665,0.614201131297887,,-0.010073233491653228,-0.0008673284823377933,0.026566076709472104,-0.038860613446038486,-0.007322754401904292
chipmean,sentinel1,counterfactual_0027_08,counterfactual,treatment_0027,2,5,10,P11,1,True,0.99009900990099,0.18991358617598925,0.22659300040054248,0.6254232711968335,0.603811516350366,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0077944407490433175,-0.0013634519791654812,0.011907886819901433,0.01874364984098555,-0.0031979353595320685
chipmean,sentinel1,counterfactual_0027_08,counterfactual,treatment_0027,2,5,10,P12,2,True,0.99009900990099,0.2590507998041463,0.28883878335944285,0.632063302011995,0.6082927922702179,,0.018662300516288675,0.01763297377312056,0.023634850201363987,-0.018382899668205287,0.01765518080243114
chipmean,sentinel1,counterfactual_0027_09,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.18687028926156612,0.23037056193929134,0.6157957475604355,0.606850756343831,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.029928107478790197,-0.03304908323847898,-0.00042406408427404107,0.012161935602875013,-0.011349908838063577
chipmean,sentinel1,counterfactual_0027_09,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.24706448887764954,0.28205353443028813,0.6237708932834761,0.6120784597158107,,-0.023776523430006576,-0.007333752574527148,0.03753929025193281,-0.03775534056030642,0.01662463978295364
chipmean,sentinel1,counterfactual_0027_10,counterfactual,treatment_0027,2,5,10,P11,1,True,1.0,0.17884854022789795,0.22247659452696145,0.6135730562278534,0.5869100903379947,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.013197131746660701,-0.0017051679907449943,0.01527989781394422,0.02750584861664678,0.008085058986232057
chipmean,sentinel1,counterfactual_0027_10,counterfactual,treatment_0027,2,5,10,P12,2,True,1.0,0.241493714355659,0.2692855022145164,0.6161599386901687,0.5908437614320659,,0.03499734229140491,0.006997572242104655,0.035701899427126045,-0.029347972322297536,0.0474231007842317
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,6,10,P11,1,True,0.99009900990099,0.24641570530696846,0.3075361913938134,0.6322271928679278,0.5995553073817236,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.009098477624466778,0.006787545425041511,0.018324648476012586,0.02205717383240593,0.003576841044531281
chipmean,sentinel1,treatment_0015,treatment,treatment_0015,2,6,10,P12,2,True,0.99009900990099,0.28905619987487946,0.32656225946832984,0.627012967768336,0.60370929649945,,0.01568036887325139,0.02612495338458437,0.028909935962908955,-0.04944087259713309,0.0017144890677559374
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,6,10,P11,1,True,1.0,0.21137285307258638,0.26951546918254393,0.6323551050802962,0.6046693113453615,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.012612761791654077,0.0006851642672350278,0.003432504244494252,0.028348201076422313,-0.01939869474856168
chipmean,sentinel1,treatment_0016,treatment,treatment_0016,2,6,10,P12,2,True,1.0,0.2782954938222721,0.31231466850271605,0.6277835216120189,0.6137020292737473,,-0.014849057641363315,0.01615444728242573,0.03385441295826935,-0.0554958739621299,-0.005470309961129013
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,6,10,P11,1,True,1.0,0.19983957391137933,0.24417026207519804,0.6163792879401045,0.5975835186448881,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.01711921857614607,-0.0020335635503070733,0.0018230886859288398,0.017357630138142493,-0.002815903753790923
chipmean,sentinel1,treatment_0017,treatment,treatment_0017,2,6,10,P12,2,True,1.0,0.2529559336965168,0.2872531455631386,0.6179497887149383,0.6019499018952188,,-0.0037038238688127784,-0.01628790448421264,0.026576113280397266,-0.06708287597393056,0.05556836510963322
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,6,10,P11,1,True,1.0,0.1935851341924835,0.2382748107261478,0.6069366469100936,0.5954183776438543,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.019967987378713165,-0.014605427322178496,0.01514325616413489,0.007238799368929864,-0.02837282693668269
chipmean,sentinel1,treatment_0018,treatment,treatment_0018,2,6,10,P12,2,True,1.0,0.2552666637223683,0.29360824217780257,0.6081158456825523,0.6007499264997238,,-0.026524987860519426,-0.03534517104274812,0.02064612412921004,-0.03825422722732957,0.04251039170232564
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,6,10,P11,1,True,1.0,0.2055975510824686,0.25614623020813576,0.6222365047231899,0.5869069729890267,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.01281503405707559,0.028660805817339676,-0.0025697131704210097,0.017958464093718884,-0.003084592252111884
chipmean,sentinel1,treatment_0019,treatment,treatment_0019,2,6,10,P12,2,True,1.0,0.2661564779463753,0.30147552955030676,0.6208066808134276,0.5897099015413809,,0.005700481230709186,0.006402269358454727,0.03834348488504134,-0.04769449588965007,0.05219182246044
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,6,10,P11,1,True,1.0,0.21311342067024885,0.26821880376234114,0.6227021975207075,0.5931801429452005,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.015046629950091008,0.007588461826241073,0.007941401922102055,0.02298295705935236,-0.002228898356202984
chipmean,sentinel1,treatment_0020,treatment,treatment_0020,2,6,10,P12,2,True,1.0,0.26877873150314097,0.3029505749623169,0.6117155949672943,0.5982561879613049,,-0.011884986024326387,-0.025146121019399226,0.03640297734767543,-0.056089548772336274,0.04690709642039965
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,6,10,P11,1,True,1.0,0.21437634599552022,0.2623270737945145,0.6348399167032861,0.6055131804548356,S1 P11 mixes 22 Sep with 28 Sep acquisitions,-0.0060546991059875445,0.0068450899340985,0.0227132579591842,0.022182689557155168,-0.008686474309966632
chipmean,sentinel1,treatment_0021,treatment,treatment_0021,2,6,10,P12,2,True,1.0,0.2750318962308941,0.31391783796401446,0.6298868581861481,0.6098789530884736,,-0.0007015262354101539,0.016681399620480913,0.028238169729568236,-0.03885244561670496,0.009865512841259977
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,6,10,P11,1,True,1.0,0.22076107824831442,0.27080198497870234,0.6391982930180944,0.602878489966331,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.016174793195210375,0.031442456533038746,0.02612647840147398,0.019573349703788687,-0.01711042252396729
chipmean,sentinel1,treatment_0022,treatment,treatment_0022,2,6,10,P12,2,True,1.0,0.2776266873596267,0.31865935487460056,0.6278731202076978,0.606307184834594,,-0.00994676070742104,0.02075525015061762,0.023611153729512786,-0.037721146382262184,0.025147115232495368
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,6,10,P11,1,True,1.0,0.19521855993675774,0.2594309233948079,0.637929901573114,0.600971067768958,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.000625379313806477,0.004499309257251175,0.025955366198098257,0.0206228016395314,0.030037676025766583
chipmean,sentinel1,treatment_0023,treatment,treatment_0023,2,6,10,P12,2,True,1.0,0.2365037835500216,0.26581544516176664,0.6339919658766516,0.6027102005853452,,-0.016393087063678716,-0.00536529398879071,0.050298007298482966,0.014911336610681149,0.05167015920574495
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,6,10,P11,1,True,1.0,0.22293582024914538,0.26942910926926295,0.630536913797327,0.5937681474153415,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.006786671219978417,0.025778399239350044,0.013538779871917452,0.016851176389240396,-0.0004319636524327462
chipmean,sentinel1,treatment_0024,treatment,treatment_0024,2,6,10,P12,2,True,1.0,0.2752786124116738,0.310082633450105,0.6241008594905678,0.5971559877205753,,0.00961277477211183,0.011959369902221552,0.05656344642031805,-0.05282901884785363,0.017534613727447156
chipmean,sentinel1,treatment_0025,treatment,treatment_0025,2,6,10,P11,1,True,0.99009900990099,0.2079869675795836,0.25522446077947425,0.6194980303842111,0.5928478867108666,S1 P11 mixes 22 Sep with 28 Sep acquisitions,0.005347086404410688,0.013491560560265991,0.0033100933953250644,0.019089282054199037,-0.019016297918308417
chipmean,sentinel1,treatment_0025,treatment,treatment_0025,2,6,10,P12,2,True,0.99009900990099,0.26526704924411443,0.3027976770224932,0.6202782560723344,0.5967947205939861,,-0.007902768357759018,0.003003096522571682,0.044167168352473085,-0.026593958913597327,0.016950954176893976
