group,donor,weight_fsc,weight_afsc,lambda,lambda_at_bound,sum_w_fsc,sum_w_afsc,n_nonzero_fsc,n_negative_afsc,label,sensor,method,repr
8,4,0.1277,0.127705007972104,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
8,5,0.4348,0.434805052963371,0.0287686612978416,False,0.9998,0.9998,5,0,chipmean,sentinel1,covmat,chip_mean
9,1,0.6668,0.67165486164028,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,2,0.0131,0.0242588839992322,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,3,0.32,0.336656728777293,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,4,0.0,-0.0107218855131661,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
9,5,0.0,-0.0219485889036389,0.0287686612978416,False,0.9999,0.9999,3,2,chipmean,sentinel1,covmat,chip_mean
1,1,0.269,0.274621710274975,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
1,2,0.0248,0.0306567286581793,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
1,3,0.0,-0.0371657803163515,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
1,4,0.5336,0.546077315973369,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
1,5,0.1726,0.185810025409828,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
2,1,0.0,-0.25039021021893,0.999933893038648,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,gram
2,2,0.6042,0.665055298905894,0.999933893038648,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,gram
2,3,0.0,0.0428093901816332,0.999933893038648,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,gram
2,4,0.3958,0.423982429168318,0.999933893038648,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,gram
2,5,0.0,0.118543091963084,0.999933893038648,False,1.0,1.0,2,1,chipmean,sentinel2,covmat,gram
3,1,0.5443,0.62580758203278,0.999933893038648,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,gram
3,2,0.0,-0.0015774100066751,0.999933893038648,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,gram
3,3,0.0,-0.113668454535112,0.999933893038648,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,gram
3,4,0.4557,0.475722128432028,0.999933893038648,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,gram
3,5,0.0,0.0137161540769792,0.999933893038648,False,1.0,1.0,2,2,chipmean,sentinel2,covmat,gram
4,1,0.5518,0.584128587955051,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
4,2,0.0,-0.0882084138946117,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
4,3,0.3228,0.377188827976271,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
4,4,0.1254,0.212870964416375,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
4,5,0.0,-0.0859799664530852,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
5,1,0.2283,0.335749666314721,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
5,2,0.6179,0.687400418005938,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
5,3,0.0,-0.292476608804769,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
5,4,0.1538,0.322112433676254,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
5,5,0.0,-0.052785909192145,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
6,1,0.2894,0.287264325906519,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
6,2,0.6088,0.610440762661319,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
6,3,0.0,-0.0496509574101252,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
6,4,0.0091,0.0388584765897421,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
6,5,0.0927,0.113087392252545,0.999933893038648,False,1.0,1.0,4,1,chipmean,sentinel2,covmat,gram
7,1,0.239,0.274985844161623,0.999933893038648,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,gram
7,2,0.761,0.79391447995129,0.999933893038648,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,gram
7,3,0.0,-0.0384687854982706,0.999933893038648,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,gram
7,4,0.0,-0.0164032042762611,0.999933893038648,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,gram
7,5,0.0,-0.0140283343383821,0.999933893038648,False,1.0,1.0,2,3,chipmean,sentinel2,covmat,gram
8,1,0.0119,0.011886418192712,0.999933893038648,False,1.0,1.0,5,0,chipmean,sentinel2,covmat,gram
8,2,0.066,0.066003106308455,0.999933893038648,False,1.0,1.0,5,0,chipmean,sentinel2,covmat,gram
8,3,0.5901,0.59007996733021,0.999933893038648,False,1.0,1.0,5,0,chipmean,sentinel2,covmat,gram
8,4,0.0227,0.0227055453794826,0.999933893038648,False,1.0,1.0,5,0,chipmean,sentinel2,covmat,gram
8,5,0.3093,0.30932496278914,0.999933893038648,False,1.0,1.0,5,0,chipmean,sentinel2,covmat,gram
9,1,0.0,-0.0099602175167625,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
9,2,0.0021,0.0093109101023771,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
9,3,0.8422,0.885261783681727,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
9,4,0.1557,0.174446065677107,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
9,5,0.0,-0.0590585419444492,0.999933893038648,False,1.0,1.0,3,2,chipmean,sentinel2,covmat,gram
10,1,0.7031,0.731041488042208,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,gram
10,2,0.2673,0.282139992183346,0.999933893038648,False,0.9999,0.9999,3,2,chipmean,sentinel2,covmat,gram
