treatment_site_id,sensor,period,band,decoded,collab09_cf,err
treatment_0024,sentinel1,before,VV_minus_VH,6.505503177642822,6.770987510681152,-0.2654843330383301
treatment_0025,sentinel1,before,VV,-9.607707977294922,-9.217175483703613,-0.3905324935913086
treatment_0025,sentinel1,before,VH,-16.0139102935791,-15.568822860717773,-0.4450874328613281
treatment_0025,sentinel1,before,VV_minus_VH,6.406202793121338,6.351646900177002,0.05455589294433594
treatment_0027,sentinel1,before,VV,-9.703392028808594,-10.220019340515137,0.516627311706543
treatment_0027,sentinel1,before,VH,-15.995857238769531,-16.451204299926758,0.45534706115722656
treatment_0027,sentinel1,before,VV_minus_VH,6.292464256286621,6.231183052062988,0.06128120422363281
treatment_0001,sentinel1,after,VV,-9.967406272888184,-11.170841217041016,1.203434944152832
treatment_0001,sentinel1,after,VH,-15.884892463684082,-17.429044723510742,1.5441522598266602
treatment_0001,sentinel1,after,VV_minus_VH,5.917485237121582,6.258203983306885,-0.34071874618530273
treatment_0002,sentinel1,after,VV,-10.372187614440918,-10.594401359558105,0.2222137451171875
treatment_0002,sentinel1,after,VH,-16.430709838867188,-16.44955825805664,0.018848419189453125
treatment_0002,sentinel1,after,VV_minus_VH,6.058520793914795,5.855156898498535,0.20336389541625977
treatment_0003,sentinel1,after,VV,-9.6925630569458,-9.471684455871582,-0.22087860107421875
treatment_0003,sentinel1,after,VH,-15.687310218811035,-15.552096366882324,-0.13521385192871094
treatment_0003,sentinel1,after,VV_minus_VH,5.994748592376709,6.080411434173584,-0.085662841796875
treatment_0004,sentinel1,after,VV,-10.25779914855957,-10.27170467376709,0.013905525207519531
treatment_0004,sentinel1,after,VH,-16.34716796875,-16.336101531982422,-0.011066436767578125
treatment_0004,sentinel1,after,VV_minus_VH,6.089367866516113,6.064395904541016,0.024971961975097656
treatment_0005,sentinel1,after,VV,-10.394157409667969,-10.332369804382324,-0.06178760528564453
treatment_0005,sentinel1,after,VH,-16.53693389892578,-16.394376754760742,-0.14255714416503906
treatment_0005,sentinel1,after,VV_minus_VH,6.142775535583496,6.062006950378418,0.08076858520507812
treatment_0006,sentinel1,after,VV,-9.935591697692871,-9.252415657043457,-0.6831760406494141
treatment_0006,sentinel1,after,VH,-15.861799240112305,-15.048141479492188,-0.8136577606201172
treatment_0006,sentinel1,after,VV_minus_VH,5.926208019256592,5.795726776123047,0.13048124313354492
treatment_0007,sentinel1,after,VV,-9.457213401794434,-9.402413368225098,-0.05480003356933594
treatment_0007,sentinel1,after,VH,-15.587334632873535,-15.46802043914795,-0.11931419372558594
treatment_0007,sentinel1,after,VV_minus_VH,6.130123138427734,6.065608501434326,0.0645146369934082
treatment_0008,sentinel1,after,VV,-9.871916770935059,-10.415507316589355,0.5435905456542969
treatment_0008,sentinel1,after,VH,-15.938150405883789,-16.436447143554688,0.49829673767089844
treatment_0008,sentinel1,after,VV_minus_VH,6.066233158111572,6.020941734313965,0.04529142379760742
treatment_0009,sentinel1,after,VV,-10.011881828308105,-10.149843215942383,0.13796138763427734
treatment_0009,sentinel1,after,VH,-15.824440002441406,-16.286176681518555,0.46173667907714844
treatment_0009,sentinel1,after,VV_minus_VH,5.812556743621826,6.136333465576172,-0.3237767219543457
treatment_0010,sentinel1,after,VV,-9.866434097290039,-10.219365119934082,0.35293102264404297
treatment_0010,sentinel1,after,VH,-15.903400421142578,-16.157861709594727,0.25446128845214844
treatment_0010,sentinel1,after,VV_minus_VH,6.036966323852539,5.938495635986328,0.09847068786621094
treatment_0011,sentinel1,after,VV,-10.085343360900879,-10.145817756652832,0.060474395751953125
treatment_0011,sentinel1,after,VH,-16.06334686279297,-16.093578338623047,0.030231475830078125
treatment_0011,sentinel1,after,VV_minus_VH,5.9780049324035645,5.947760105133057,0.030244827270507812
treatment_0012,sentinel1,after,VV,-9.802123069763184,-10.090582847595215,0.28845977783203125
treatment_0012,sentinel1,after,VH,-15.796630859375,-16.084827423095703,0.2881965637207031
treatment_0012,sentinel1,after,VV_minus_VH,5.994508266448975,5.994245529174805,0.0002627372741699219
treatment_0013,sentinel1,after,VV,-9.907339096069336,-9.097917556762695,-0.8094215393066406
treatment_0013,sentinel1,after,VH,-16.02362632751465,-15.172574996948242,-0.8510513305664062
treatment_0013,sentinel1,after,VV_minus_VH,6.116287708282471,6.074657440185547,0.04163026809692383
treatment_0014,sentinel1,after,VV,-9.586604118347168,-10.0370512008667,0.45044708251953125
treatment_0014,sentinel1,after,VH,-15.86661434173584,-15.94270133972168,0.07608699798583984
treatment_0014,sentinel1,after,VV_minus_VH,6.2800092697143555,5.905651092529297,0.3743581771850586
treatment_0015,sentinel1,after,VV,-10.020766258239746,-10.365803718566895,0.34503746032714844
treatment_0015,sentinel1,after,VH,-15.933775901794434,-16.19303321838379,0.25925731658935547
treatment_0015,sentinel1,after,VV_minus_VH,5.913010120391846,5.827230453491211,0.08577966690063477
treatment_0016,sentinel1,after,VV,-10.201973915100098,-10.07451057434082,-0.12746334075927734
treatment_0016,sentinel1,after,VH,-16.279254913330078,-16.04679298400879,-0.23246192932128906
treatment_0016,sentinel1,after,VV_minus_VH,6.077281951904297,5.972283840179443,0.10499811172485352
treatment_0017,sentinel1,after,VV,-9.446207046508789,-10.039680480957031,0.5934734344482422
treatment_0017,sentinel1,after,VH,-15.509566307067871,-15.947868347167969,0.43830204010009766
treatment_0017,sentinel1,after,VV_minus_VH,6.063358306884766,5.908187389373779,0.15517091751098633
treatment_0018,sentinel1,after,VV,-9.913887023925781,-10.22007942199707,0.30619239807128906
treatment_0018,sentinel1,after,VH,-15.989086151123047,-15.926992416381836,-0.06209373474121094
treatment_0018,sentinel1,after,VV_minus_VH,6.075199127197266,5.706913471221924,0.3682856559753418
treatment_0019,sentinel1,after,VV,-9.566216468811035,-9.207074165344238,-0.3591423034667969
treatment_0019,sentinel1,after,VH,-15.690474510192871,-15.071476936340332,-0.6189975738525391
treatment_0019,sentinel1,after,VV_minus_VH,6.1242570877075195,5.864402770996094,0.2598543167114258
treatment_0020,sentinel1,after,VV,-9.448477745056152,-9.864047050476074,0.4155693054199219
treatment_0020,sentinel1,after,VH,-15.484329223632812,-15.5392427444458,0.05491352081298828
treatment_0020,sentinel1,after,VV_minus_VH,6.03585147857666,5.675196170806885,0.3606553077697754
treatment_0021,sentinel1,after,VV,-9.897688865661621,-10.173633575439453,0.27594470977783203
treatment_0021,sentinel1,after,VH,-15.945048332214355,-15.902092933654785,-0.04295539855957031
treatment_0021,sentinel1,after,VV_minus_VH,6.047358512878418,5.728458404541016,0.31890010833740234
treatment_0022,sentinel1,after,VV,-9.988201141357422,-10.108936309814453,0.12073516845703125
treatment_0022,sentinel1,after,VH,-15.892155647277832,-15.69503402709961,-0.19712162017822266
treatment_0022,sentinel1,after,VV_minus_VH,5.90395450592041,5.586099147796631,0.3178553581237793
treatment_0023,sentinel1,after,VV,-10.14040470123291,-10.976436614990234,0.8360319137573242
treatment_0023,sentinel1,after,VH,-16.161237716674805,-17.013572692871094,0.8523349761962891
treatment_0023,sentinel1,after,VV_minus_VH,6.020833492279053,6.037135601043701,-0.016302108764648438
treatment_0024,sentinel1,after,VV,-9.559524536132812,-9.356661796569824,-0.20286273956298828
treatment_0024,sentinel1,after,VH,-15.791619300842285,-15.386726379394531,-0.4048929214477539
treatment_0024,sentinel1,after,VV_minus_VH,6.232095718383789,6.030066013336182,0.20202970504760742
treatment_0025,sentinel1,after,VV,-9.816410064697266,-9.268792152404785,-0.5476179122924805
treatment_0025,sentinel1,after,VH,-15.788951873779297,-15.24638557434082,-0.5425662994384766
treatment_0025,sentinel1,after,VV_minus_VH,5.972541809082031,5.977594375610352,-0.0050525665283203125
treatment_0027,sentinel1,after,VV,-9.879718780517578,-10.2914400100708,0.41172122955322266
treatment_0027,sentinel1,after,VH,-15.834012031555176,-16.015642166137695,0.18163013458251953
treatment_0027,sentinel1,after,VV_minus_VH,5.954292297363281,5.724203109741211,0.2300891876220703
treatment_0001,sentinel2,before,B2,0.10194132477045059,0.04496006295084953,0.05698126181960106
treatment_0001,sentinel2,before,B3,0.12682855129241943,0.06979453563690186,0.05703401565551758
treatment_0001,sentinel2,before,B4,0.11368107050657272,0.05532912164926529,0.058351948857307434
treatment_0001,sentinel2,before,B8,0.35649770498275757,0.34792229533195496,0.008575409650802612
treatment_0001,sentinel2,before,B11,0.2082798182964325,0.2464337944984436,-0.03815397620201111
treatment_0001,sentinel2,before,B12,0.15075255930423737,0.12948885560035706,0.02126370370388031
treatment_0001,sentinel2,before,NDVI,0.5164214968681335,0.7270802855491638,-0.21065878868103027
treatment_0001,sentinel2,before,NDWI,-0.4751642048358917,-0.6659269332885742,0.1907627284526825
treatment_0002,sentinel2,before,B2,0.10273567587137222,0.03737937659025192,0.0653562992811203
treatment_0002,sentinel2,before,B3,0.1295562982559204,0.059597767889499664,0.06995853036642075
treatment_0002,sentinel2,before,B4,0.11884129792451859,0.03913470357656479,0.0797065943479538
treatment_0002,sentinel2,before,B8,0.36033156514167786,0.3585977852344513,0.0017337799072265625
treatment_0002,sentinel2,before,B11,0.1989692747592926,0.20069848001003265,-0.0017292052507400513
treatment_0002,sentinel2,before,B12,0.14951500296592712,0.09627799689769745,0.053237006068229675
treatment_0002,sentinel2,before,NDVI,0.5039581060409546,0.8030534386634827,-0.2990953326225281
treatment_0002,sentinel2,before,NDWI,-0.4710557162761688,-0.7148783802986145,0.24382266402244568
treatment_0003,sentinel2,before,B2,0.10309912264347076,0.03099670819938183,0.07210241444408894
treatment_0003,sentinel2,before,B3,0.1309795081615448,0.052592404186725616,0.07838710397481918
treatment_0003,sentinel2,before,B4,0.11559364944696426,0.031056584790349007,0.08453706465661526
treatment_0003,sentinel2,before,B8,0.3594435155391693,0.37332695722579956,-0.013883441686630249
treatment_0003,sentinel2,before,B11,0.19918939471244812,0.17843779921531677,0.020751595497131348
treatment_0003,sentinel2,before,B12,0.14570045471191406,0.07533096522092819,0.07036948949098587
treatment_0003,sentinel2,before,NDVI,0.513312578201294,0.8455148935317993,-0.33220231533050537
