problem,arm,m,D,status_ours,max_abs_w_diff,sse_ours,sse_R,sse_gap_ours_minus_R
band_0002,synth() tight,10,11,0,4.095193955891691e-14,1.590573907660799,1.5905739076595653,1.233679824963474e-12
band_0002,raw ipop default,10,11,0,0.14117612618441233,0.0005222849189723371,0.0011120044583003287,-0.0005897195393279916
band_0002,raw ipop tight,10,11,0,8.984341074214086e-06,0.0005222849189723371,0.0005222897672604177,-4.848288080684313e-09
band_0003,synth() default,10,11,0,0.0011813525891039012,0.5346645534405964,0.5352959467890206,-0.000631393348424214
band_0003,synth() tight,10,11,0,1.2228199113006877e-07,0.5346645534405964,0.5346645534406912,-9.481304630298837e-14
band_0003,raw ipop default,10,11,0,0.2117898714439762,0.00033101244486309135,0.000847138054697887,-0.0005161256098347956
band_0003,raw ipop tight,10,11,0,9.949624318883465e-08,0.00033101244486309135,0.00033101253889178097,-9.402868961965252e-11
band_0004,synth() default,10,11,0,0.0006776512915406263,3.067029567570713,3.0725264770559564,-0.005496909485243506
band_0004,synth() tight,10,11,0,4.5334817844189246e-10,3.067029567570713,3.067029569124724,-1.5540111419909408e-09
band_0004,raw ipop default,10,11,0,0.12169974216865037,0.0028000886555190198,0.004143735297117002,-0.0013436466415979822
band_0005,synth() default,10,11,0,0.016739928047981537,0.7718880162522295,0.777136038645204,-0.005248022392974505
band_0005,raw ipop default,10,11,0,0.16647659528460879,0.0003998254657869824,0.0005082840331563301,-0.00010845856736934771
band_0005,raw ipop tight,10,11,0,0.0019551194076121,0.0003998254657869824,0.0003998561132066786,-3.064741969618012e-08
band_0006,synth() default,10,11,0,0.0026287703303890485,2.8557116307937305,2.8558898480971537,-0.00017821730342326703
band_0006,raw ipop default,10,11,0,0.17274204405920962,0.0019676910274339853,0.0036142592939941514,-0.001646568266560166
band_0006,raw ipop tight,10,11,0,3.510189508615369e-06,0.0019676910274339853,0.0019676918432992158,-8.15865230409385e-10
band_0007,synth() default,10,11,0,0.03747534103952532,0.6661753893089197,0.6709407098545002,-0.0047653205455804315
band_0007,raw ipop default,10,11,0,0.009209891912030588,0.02407737890581598,0.02448707535243075,-0.00040969644661476706
band_0007,raw ipop tight,10,11,0,9.324977756630659e-08,0.02407737890581598,0.02407738047409027,-1.5682742882106027e-09
band_0008,synth() default,10,11,0,0.00015222646874163415,1.0779847363567263,1.0785132518620248,-0.0005285155052985324
band_0008,synth() tight,10,11,0,5.606190521695424e-11,1.0779847363567263,1.077984736543682,-1.869557841871483e-10
band_0008,raw ipop default,10,11,0,0.10862922273060571,0.0009749408747364014,0.0014010681215814228,-0.0004261272468450214
band_0008,raw ipop tight,10,11,0,1.4428966311069713e-06,0.0009749408747364014,0.0009749409892556984,-1.1451929704010821e-10
band_0009,synth() default,10,11,0,0.06882211694452878,0.13425882963051786,0.1474479106767919,-0.013189081046274032
band_0009,raw ipop default,10,11,0,0.23797751240991433,6.154018127624565e-05,0.0003163421592960436,-0.00025480197801979794
band_0009,raw ipop tight,10,11,0,0.00048066534955151785,6.154018127624565e-05,6.154677955150504e-05,-6.598275259384208e-09
band_0010,synth() default,10,11,0,0.001956468700007652,0.19878536942709457,0.19954317804626934,-0.0007578086191747657
band_0010,synth() tight,10,11,0,1.66859176148116e-05,0.19878536942709457,0.19878689609006325,-1.5266629686816469e-06
band_0010,raw ipop default,10,11,0,0.1682620413590728,7.223043593048948e-05,0.0002678664139833594,-0.00019563597805286991
band_0010,raw ipop tight,10,11,0,4.582783368123344e-05,7.223043593048948e-05,7.223187852545076e-05,-1.4425949612797235e-09
band_0011,synth() default,10,11,0,0.008419579559151902,0.9697709832230431,0.9966402776302058,-0.02686929440716268
band_0011,synth() tight,10,11,0,2.34941878167363e-11,0.9697709832230431,0.9697709832570709,-3.4027780593248735e-11
band_0011,raw ipop default,10,11,0,0.0051069434411237236,0.003424519536365458,0.0036430651825119847,-0.00021854564614652659
band_0011,raw ipop tight,10,11,0,7.493603737529497e-09,0.003424519536365458,0.0034245198412356124,-3.048701542954224e-10
band_0012,synth() default,10,11,0,0.00020563725840633262,3.765667300643718,3.7665074823195694,-0.0008401816758514258
band_0012,synth() tight,10,11,0,4.62082429855378e-10,3.765667300643718,3.765667301980537,-1.3368190998619411e-09
band_0012,raw ipop default,10,11,0,0.10106028099302852,0.03853482873417994,0.04101695158010542,-0.0024821228459254788
band_0012,raw ipop tight,10,11,0,7.675962643283185e-11,0.03853482873417994,0.03853482873530453,-1.1245934739001484e-12
band_0013,synth() default,10,11,0,0.0011047138637118037,4.302149071198672,4.30347742620051,-0.0013283550018385881
band_0013,synth() tight,10,11,0,2.4488593097782285e-07,4.302149071198672,4.302149080114166,-8.915494120742551e-09
band_0013,raw ipop default,10,11,0,0.03751541748241738,0.07445458739885176,0.07540608222264747,-0.0009514948237957094
band_0013,raw ipop tight,10,11,0,3.2131075443364576e-05,0.07445458739885176,0.07445476024049816,-1.7284164639808086e-07
band_0014,synth() default,10,11,0,4.515354911915903e-05,7.250671813720119,7.250845626604015,-0.00017381288389550775
band_0014,synth() tight,10,11,0,5.7831517352724404e-12,7.250671813720119,7.250671813748083,-2.7963409365838743e-11
band_0014,raw ipop default,10,11,0,3.638439352360301e-06,0.6293300854128134,0.6293341550019708,-4.069589157329467e-06
band_0014,raw ipop tight,10,11,0,2.8327413748030494e-09,0.6293300854128134,0.6293300898808687,-4.468055259110315e-09
band_0015,synth() default,10,11,0,0.003486841312091829,0.5324710049567716,0.5331204197003325,-0.0006494147435609499
band_0015,synth() tight,10,11,0,8.096857335299079e-07,0.5324710049567716,0.5324710050878751,-1.3110357244272564e-10
band_0015,raw ipop default,10,11,0,0.285012989048329,0.0014680771571970927,0.003357997621693259,-0.0018899204644961664
band_0015,raw ipop tight,10,11,0,5.115642920316965e-05,0.0014680771571970927,0.0014680771040533518,5.31437409270058e-11
band_0016,synth() default,10,11,0,0.06562107740304673,0.07133906468226396,0.08159168345302142,-0.010252618770757463
band_0016,synth() tight,10,11,0,0.001859756623976796,0.07133906468226396,0.0713401426815119,-1.0779992479365008e-06
band_0016,raw ipop default,10,11,0,0.17450918597392545,1.4148660043125091e-05,0.0003708304369223559,-0.0003566817768792308
band_0016,raw ipop tight,10,11,0,0.0011990399857678968,1.4148660043125091e-05,1.4196222597806982e-05,-4.7562554681890835e-08
band_0017,synth() default,10,11,0,0.004505193810308089,10.942008180374259,10.944375405471568,-0.0023672250973092446
band_0017,raw ipop default,10,11,0,3.9806824980725963e-07,3.9293486454868827,3.929349791176222,-1.1456893393990697e-06
band_0017,raw ipop tight,10,11,0,8.286382691125027e-11,3.9293486454868827,3.929348645715679,-2.2879653727159166e-10
band_0018,synth() default,10,11,0,0.0038385779072294124,3.86401576044277,3.865128357821965,-0.0011125973791950017
band_0018,synth() tight,10,11,0,3.0545677667803695e-08,3.86401576044277,3.8640157605806067,-1.3783685304247228e-10
band_0018,raw ipop default,10,11,0,0.023635138785152998,0.010971044489645816,0.013504631509668765,-0.002533587020022949
band_0019,synth() default,10,11,0,0.0001744281642347,16.48623220763219,16.486444791033676,-0.00021258340148477828
band_0019,raw ipop default,10,11,0,0.005742715621035954,0.03411552700815523,0.034716763783278336,-0.0006012367751231026
band_0019,raw ipop tight,10,11,0,4.9746873287404014e-09,0.03411552700815523,0.034115527030249136,-2.2093903095932177e-11
band_0020,synth() default,10,11,0,0.009824062236675535,1.4903369491915357,1.5205033672771175,-0.030166418085581848
band_0020,synth() tight,10,11,0,6.539182605402871e-07,1.4903369491915357,1.4903385321428888,-1.5829513531073758e-06
band_0020,raw ipop default,10,11,0,0.02771537669385462,0.0011959359298007511,0.0017659175578142818,-0.0005699816280135307
band_0020,raw ipop tight,10,11,0,7.638407423238291e-08,0.0011959359298007511,0.0011959359318014988,-2.0007476578265404e-12
band_0021,synth() default,10,11,0,1.836875429194588e-05,4.703428261985181,4.703443281719155,-1.5019733973886673e-05
band_0021,synth() tight,10,11,0,2.9527947270624466e-07,4.703428261985181,4.703428261982683,2.497557716196752e-12
band_0021,raw ipop default,10,11,0,0.004275336356311055,0.1271391007761531,0.12808635362995224,-0.000947252853799152
band_0021,raw ipop tight,10,11,0,5.206945985491984e-14,0.1271391007761531,0.1271391007761578,-4.718447854656915e-15
band_0022,synth() default,10,11,0,9.07028627956663e-05,3.5289379756287915,3.5289624368079067,-2.4461179115142784e-05
band_0022,synth() tight,10,11,0,4.952075971509373e-08,3.5289379756287915,3.5289379756277595,1.0320633236915455e-12
band_0022,raw ipop default,10,11,0,0.03740333228896142,0.004813194437229262,0.005145405424974595,-0.0003322109877453329
band_0022,raw ipop tight,10,11,0,1.1320452302555212e-05,0.004813194437229262,0.0048131945806645605,-1.4343529836091662e-10
band_0023,synth() default,10,11,0,0.03340070438349263,2.3370571739033803,2.3692972626288733,-0.032240088725493
band_0023,raw ipop default,10,11,0,0.077306217411794,0.0011265220702093056,0.0014593994347330593,-0.0003328773645237537
band_0023,raw ipop tight,10,11,0,0.00011052779596,0.0011265220702093056,0.0011265646799675166,-4.2609758210947896e-08
band_0024,synth() default,10,11,0,5.1734737467695746e-05,1.037047619997368,1.037158585811478,-0.00011096581411007556
band_0024,synth() tight,10,11,0,1.8074726756966975e-08,1.037047619997368,1.0370476256037668,-5.606398900681597e-09
band_0024,raw ipop default,10,11,0,0.1079526635510587,0.00523008580792942,0.006563223361762434,-0.001333137553833014
band_0024,raw ipop tight,10,11,0,5.1901661851047895e-05,0.00523008580792942,0.005230100010717144,-1.4202787723682775e-08
band_0025,synth() default,10,11,0,1.4408600721882436e-05,8.424047064514616,8.424090751227745,-4.3686713128821e-05
band_0025,synth() tight,10,11,0,1.6286971771251046e-13,8.424047064514616,8.424047064527722,-1.3105960761095048e-11
band_0025,raw ipop default,10,11,0,0.0005376620973039925,0.09215178472491266,0.09217101455786,-1.9229832947345593e-05
band_0025,raw ipop tight,10,11,0,4.12729500997054e-12,0.09215178472491266,0.09215178472573982,-8.271577867091651e-13
band_0027,synth() default,10,11,0,1.3550019952068837e-05,3.72645415563167,3.726495753744019,-4.159811234893951e-05
band_0027,synth() tight,10,11,0,5.3538739386294054e-08,3.72645415563167,3.7264541577020776,-2.0704074010780005e-09
band_0027,raw ipop default,10,11,0,0.22814238423461752,0.002424594015437226,0.00311893463738605,-0.0006943406219488239
