treatment_site_id,VV,VH,VV_minus_VH,B2,B3,B4,B8,B11,B12,NDVI,NDWI
treatment_0011,0.035314083099365234,-0.06303882598876953,0.09835433959960938,0.04350835457444191,0.04888230934739113,0.04525643773376942,0.015816986560821533,-0.02310318499803543,0.017887145280838013,-0.17046070098876953,0.1755642294883728
treatment_0012,0.22651910781860352,0.17436695098876953,0.05215144157409668,0.04568569827824831,0.05295080319046974,0.05182214081287384,0.017558857798576355,-0.0007381811738014221,0.03526293858885765,-0.20676904916763306,0.1994897425174713
treatment_0013,-0.8903841972351074,-0.9453773498535156,0.054993629455566406,0.04897513333708048,0.05321705527603626,0.052997566759586334,-0.017602041363716125,-0.022735245525836945,0.026823263615369797,-0.22282704710960388,0.21717992424964905
treatment_0014,0.43373680114746094,0.04640674591064453,0.3873298168182373,0.0512339323759079,0.05345778539776802,0.05180425010621548,0.027579471468925476,-0.0117434561252594,0.02959618717432022,-0.19003072381019592,0.18103304505348206
treatment_0015,0.3810253143310547,0.26685667037963867,0.11416864395141602,0.051802339032292366,0.05712839029729366,0.055215753614902496,0.038177698850631714,0.015270836651325226,0.04330538585782051,-0.19097203016281128,0.18188613653182983
treatment_0016,-0.027240753173828125,-0.12544727325439453,0.0982048511505127,0.05153215490281582,0.05521378852427006,0.0555023904889822,0.026461169123649597,0.001602768898010254,0.03386537730693817,-0.2007349729537964,0.19104887545108795
treatment_0017,0.710444450378418,0.5985541343688965,0.11189055442810059,0.050383586436510086,0.05530262365937233,0.04976682923734188,0.015961170196533203,0.0058482736349105835,0.035469695925712585,-0.19333350658416748,0.2081114649772644
treatment_0018,0.39876317977905273,0.06226348876953125,0.3365004062652588,0.04868641495704651,0.05288551189005375,0.05061037093400955,0.030969366431236267,-0.006401523947715759,0.027181018143892288,-0.18311336636543274,0.18076956272125244
treatment_0019,-0.2582130432128906,-0.4560713768005371,0.19785761833190918,0.052887024357914925,0.05995151400566101,0.05448359716683626,0.014581471681594849,0.006650015711784363,0.038147490471601486,-0.21536555886268616,0.22621861100196838
treatment_0020,0.4451756477355957,0.15746068954467773,0.28771376609802246,0.04040335025638342,0.04686388187110424,0.049501778557896614,0.027801543474197388,0.005671396851539612,0.034586235880851746,-0.18226107954978943,0.16408678889274597
treatment_0021,0.2996859550476074,0.03007030487060547,0.26961565017700195,0.04833318758755922,0.0516546368598938,0.050777753815054893,0.03422822058200836,-0.0025459304451942444,0.03067634254693985,-0.18138644099235535,0.17157381772994995
treatment_0022,0.14677000045776367,-0.17848682403564453,0.3252558708190918,0.0453916285187006,0.052013639360666275,0.05009802617132664,0.035482823848724365,-0.0039650797843933105,0.025084491819143295,-0.17250043153762817,0.1653968095779419
treatment_0023,0.6570372581481934,0.5923538208007812,0.0646822452545166,0.04742514435201883,0.04957813210785389,0.05140616372227669,0.007117658853530884,-0.027757614850997925,0.016335073858499527,-0.1976892203092575,0.18051502108573914
treatment_0024,-0.13087987899780273,-0.09915351867675781,-0.03172731399536133,0.05396430101245642,0.05879480019211769,0.0541260652244091,-0.003395870327949524,0.0005761459469795227,0.035711560398340225,-0.21091902256011963,0.2263922393321991
treatment_0025,-0.46907520294189453,-0.49382686614990234,0.024751663208007812,0.051203759387135506,0.05787660367786884,0.05803440045565367,0.03353983163833618,0.014098279178142548,0.045646704733371735,-0.21221664547920227,0.19813129305839539
treatment_0027,0.4641742706298828,0.31848859786987305,0.14568519592285156,0.046155828051269054,0.05180002562701702,0.04768635332584381,0.0619659349322319,0.0032667890191078186,0.02858152613043785,-0.1168360561132431,0.11771926283836365
