sensor,treatment_site_id,counterfactual_site_id,control_rank,match_quality,matching_score
sentinel1,treatment_0009,counterfactual_0006_06,8,tokenizer_latent_knn,12.677377700805664
sentinel1,treatment_0009,counterfactual_0020_07,9,tokenizer_latent_knn,12.685744285583496
sentinel1,treatment_0009,counterfactual_0018_09,10,tokenizer_latent_knn,12.689441680908203
sentinel1,treatment_0010,counterfactual_0006_08,1,tokenizer_latent_knn,12.205034255981445
sentinel1,treatment_0010,counterfactual_0025_01,2,tokenizer_latent_knn,12.627240180969238
sentinel1,treatment_0010,counterfactual_0013_06,3,tokenizer_latent_knn,12.629157066345215
sentinel1,treatment_0010,counterfactual_0012_10,4,tokenizer_latent_knn,12.636345863342285
sentinel1,treatment_0010,counterfactual_0006_06,5,tokenizer_latent_knn,12.660662651062012
sentinel1,treatment_0010,counterfactual_0016_01,6,tokenizer_latent_knn,12.669020652770996
sentinel1,treatment_0010,counterfactual_0008_04,7,tokenizer_latent_knn,12.680334091186523
sentinel1,treatment_0010,counterfactual_0007_06,8,tokenizer_latent_knn,12.681396484375
sentinel1,treatment_0010,counterfactual_0025_08,9,tokenizer_latent_knn,12.687047004699707
sentinel1,treatment_0010,counterfactual_0007_09,10,tokenizer_latent_knn,12.70117473602295
sentinel1,treatment_0011,counterfactual_0025_08,1,tokenizer_latent_knn,12.20515251159668
sentinel1,treatment_0011,counterfactual_0019_02,2,tokenizer_latent_knn,12.515954971313477
sentinel1,treatment_0011,counterfactual_0019_10,3,tokenizer_latent_knn,12.52430248260498
sentinel1,treatment_0011,counterfactual_0012_08,4,tokenizer_latent_knn,12.578909873962402
sentinel1,treatment_0011,counterfactual_0017_10,5,tokenizer_latent_knn,12.60507583618164
sentinel1,treatment_0011,counterfactual_0016_05,6,tokenizer_latent_knn,12.608083724975586
sentinel1,treatment_0011,counterfactual_0021_09,7,tokenizer_latent_knn,12.609882354736328
sentinel1,treatment_0011,counterfactual_0004_07,8,tokenizer_latent_knn,12.664424896240234
sentinel1,treatment_0011,counterfactual_0013_06,9,tokenizer_latent_knn,12.69543170928955
sentinel1,treatment_0011,counterfactual_0027_01,10,tokenizer_latent_knn,12.700632095336914
sentinel1,treatment_0012,counterfactual_0025_08,1,tokenizer_latent_knn,12.352397918701172
sentinel1,treatment_0012,counterfactual_0012_08,2,tokenizer_latent_knn,12.376864433288574
sentinel1,treatment_0012,counterfactual_0022_03,3,tokenizer_latent_knn,12.407909393310547
sentinel1,treatment_0012,counterfactual_0019_10,4,tokenizer_latent_knn,12.422643661499023
sentinel1,treatment_0012,counterfactual_0019_08,5,tokenizer_latent_knn,12.513680458068848
sentinel1,treatment_0012,counterfactual_0006_03,6,tokenizer_latent_knn,12.527812004089355
sentinel1,treatment_0012,counterfactual_0018_01,7,tokenizer_latent_knn,12.52900505065918
sentinel1,treatment_0012,counterfactual_0006_09,8,tokenizer_latent_knn,12.550403594970703
sentinel1,treatment_0012,counterfactual_0016_08,9,tokenizer_latent_knn,12.559941291809082
sentinel1,treatment_0012,counterfactual_0001_01,10,tokenizer_latent_knn,12.56147289276123
sentinel1,treatment_0013,counterfactual_0003_02,1,tokenizer_latent_knn,12.440410614013672
sentinel1,treatment_0013,counterfactual_0020_02,2,tokenizer_latent_knn,12.451005935668945
sentinel1,treatment_0013,counterfactual_0025_10,3,tokenizer_latent_knn,12.511032104492188
sentinel1,treatment_0013,counterfactual_0006_06,4,tokenizer_latent_knn,12.584834098815918
sentinel1,treatment_0013,counterfactual_0001_04,5,tokenizer_latent_knn,12.599996566772461
sentinel1,treatment_0013,counterfactual_0012_06,6,tokenizer_latent_knn,12.600692749023438
sentinel1,treatment_0013,counterfactual_0015_06,7,tokenizer_latent_knn,12.608860969543457
sentinel1,treatment_0013,counterfactual_0025_07,8,tokenizer_latent_knn,12.650017738342285
sentinel1,treatment_0013,counterfactual_0019_08,9,tokenizer_latent_knn,12.679544448852539
sentinel1,treatment_0013,counterfactual_0017_07,10,tokenizer_latent_knn,12.691680908203125
sentinel1,treatment_0014,counterfactual_0010_06,1,tokenizer_latent_knn,12.459972381591797
sentinel1,treatment_0014,counterfactual_0010_08,2,tokenizer_latent_knn,12.58980941772461
sentinel1,treatment_0014,counterfactual_0005_06,3,tokenizer_latent_knn,12.617094039916992
sentinel1,treatment_0014,counterfactual_0003_06,4,tokenizer_latent_knn,12.654342651367188
sentinel1,treatment_0014,counterfactual_0021_04,5,tokenizer_latent_knn,12.704389572143555
sentinel1,treatment_0014,counterfactual_0017_04,6,tokenizer_latent_knn,12.711702346801758
sentinel1,treatment_0014,counterfactual_0012_10,7,tokenizer_latent_knn,12.735297203063965
sentinel1,treatment_0014,counterfactual_0011_02,8,tokenizer_latent_knn,12.742502212524414
sentinel1,treatment_0014,counterfactual_0024_05,9,tokenizer_latent_knn,12.797733306884766
sentinel1,treatment_0014,counterfactual_0009_03,10,tokenizer_latent_knn,12.819058418273926
sentinel1,treatment_0015,counterfactual_0012_08,1,tokenizer_latent_knn,12.159555435180664
sentinel1,treatment_0015,counterfactual_0001_04,2,tokenizer_latent_knn,12.416670799255371
sentinel1,treatment_0015,counterfactual_0019_02,3,tokenizer_latent_knn,12.42093563079834
sentinel1,treatment_0015,counterfactual_0010_08,4,tokenizer_latent_knn,12.48448371887207
sentinel1,treatment_0015,counterfactual_0018_09,5,tokenizer_latent_knn,12.506962776184082
sentinel1,treatment_0015,counterfactual_0017_07,6,tokenizer_latent_knn,12.574222564697266
sentinel1,treatment_0015,counterfactual_0007_09,7,tokenizer_latent_knn,12.592767715454102
sentinel1,treatment_0015,counterfactual_0011_07,8,tokenizer_latent_knn,12.593596458435059
sentinel1,treatment_0015,counterfactual_0017_08,9,tokenizer_latent_knn,12.601299285888672
sentinel1,treatment_0015,counterfactual_0019_10,10,tokenizer_latent_knn,12.614054679870605
sentinel1,treatment_0016,counterfactual_0021_09,1,tokenizer_latent_knn,12.400639533996582
sentinel1,treatment_0016,counterfactual_0006_06,2,tokenizer_latent_knn,12.456169128417969
sentinel1,treatment_0016,counterfactual_0020_02,3,tokenizer_latent_knn,12.480145454406738
sentinel1,treatment_0016,counterfactual_0015_08,4,tokenizer_latent_knn,12.525460243225098
sentinel1,treatment_0016,counterfactual_0012_10,5,tokenizer_latent_knn,12.561684608459473
sentinel1,treatment_0016,counterfactual_0019_10,6,tokenizer_latent_knn,12.575072288513184
